"","V1","mRRB","mRRCa","mRRCu","mRRFe","mRRK","mRRMg","mRRMn","mRRN","mRRP","mRRS","mRRZn","LocYrCrWNTC","LocYrCrWNTCCO2.x","Zn.x","Fe.x","N.x","P.x","K.x","S.x","B.x","Ca.x","Mg.x","Mn.x","Cu.x","co2.x","LocYrCrWNTCCO2.y","Zn.y","Fe.y","N.y","P.y","K.y","S.y","B.y","Ca.y","Mg.y","Mn.y","Cu.y","co2.y"
"12","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Pana ","0.957771260997068","0.929558011049724","0.883683360258481","0.970212765957447","1.00789473684211","0.969331872946331","0.995697074010327","1.01064701064701","0.981788079470199","0.989769820971867","0.908767772511848","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Pana ","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Pana aCO2",42.2,76.375,6.105,0.604,1.9,2932.5,42.625,0.362,0.22825,29.05,15.475," aCO2","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Pana eCO2",38.35,74.1,6.17,0.593,1.915,2902.5,40.825,0.3365,0.22125,28.925,13.675," eCO2"
"13","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer ","0.948991696322657","0.945823927765237","0.914728682170543","0.92373720699901","1.00858895705521","0.980414746543779","1.00274223034735","0.980112570356473","1.00293009627459","0.945482866043614","0.943046357615894","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer ","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer aCO2",37.75,75.725,6.6625,0.59725,2.0375,3210,42.15,0.2215,0.217,27.35,12.9," aCO2","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer eCO2",35.6,69.95,6.53,0.599,2.055,3035,40,0.2095,0.21275,27.425,11.8," eCO2"
"14","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams ","0.946857142857143","0.941239316239316","0.949596774193548","1.03804737975592","1.01554404145078","0.98661800486618","0.997153700189753","0.97452934662237","1.02255639097744","0.949286846275753","0.941986947063089","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams ","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams aCO2",34.475,69.65,6.7725,0.532,1.93,3155,43.75,0.234,0.2055,26.35,12.4," aCO2","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams eCO2",32.475,72.3,6.6,0.544,1.96,2995,41.425,0.22025,0.20275,26.275,11.775," eCO2"
"15","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark ","0.938717067583047","0.94165170556553","0.961538461538461","0.925762711864407","1.00791556728232","0.936936936936937","0.907509157509158","1.02448657187994","1.04102316602317","0.994252873563218","1.03556771545828","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark ","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark aCO2",36.55,73.75,6.33,0.518,1.895,3045,43.65,0.2785,0.222,27.3,14.3," aCO2","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark eCO2",37.85,68.275,6.485,0.53925,1.91,3027.5,40.975,0.26225,0.208,24.775,13.75," eCO2"
"16","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight ","1.00233372228705","0.912096774193548","0.93109243697479","0.96756937479104","0.971241830065359","0.945295404814004","1.0104620749782","1.05832628909552","0.978001833180568","0.982352941176471","0.947972972972973","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight ","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight aCO2",37,74.775,5.915,0.5455,1.9125,2975,42.85,0.31,0.2285,28.675,14.875," aCO2","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight eCO2",35.075,72.35,6.26,0.5335,1.8575,2922.5,42.95,0.28275,0.216,28.975,13.85," eCO2"
"17","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer ","0.939480097481722","0.946261682242991","0.943298969072165","0.977900552486188","1.02310536044362","0.996231155778894","1.0225321888412","1.00859453993933","1.07073329007138","0.9675","0.954802259887006","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer ","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer aCO2",35.4,72.4,6.59333333333333,0.513666666666667,1.80333333333333,3333.33333333333,41.0333333333333,0.249666666666667,0.199,23.3,12.9333333333333," aCO2","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer eCO2",33.8,70.8,6.65,0.55,1.845,3225,38.55,0.23625,0.19825,23.825,12.2," eCO2"
"18","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda ","0.93812375249501","0.899590163934426","0.909688013136289","0.964748418198253","0.970783532536521","0.952076677316294","0.971070395371263","1.02723577235772","1.00600343053173","0.980876494023904","0.914798206278027","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda ","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda aCO2",39.025,82.975,6.15,0.583,1.8825,3137.5,37.575,0.244,0.23475,25.925,15.225," aCO2","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda eCO2",35.7,80.05,6.3175,0.5865,1.8275,3077.5,35.25,0.2195,0.2235,25.175,13.85," eCO2"
"19","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Pana ","0.924134139637163","0.964824120603015","0.91969696969697","0.971715328467153","0.981792717086835","0.965336134453782","0.990671641791045","1.02594728171334","0.941278065630397","0.978947368421053","0.913094539048737","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Pana ","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Pana aCO2",42.575,82.2,6.07,0.579,1.785,3087.5,45.475,0.34825,0.238,26.8,16.5," aCO2","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Pana eCO2",38.875,79.875,6.2275,0.545,1.7525,3022.5,42.025,0.336,0.22975,26.55,15.175," eCO2"
"20","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Spencer ","0.936111111111111","0.889800703399766","0.916071428571429","0.971467858370574","1.00386597938144","0.976442873969376","1.02839756592292","1.01698841698842","1.05288673424416","0.960062646828504","0.979020979020979","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Spencer ","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Spencer aCO2",39.325,72.725,6.475,0.56725,1.94,3192.5,45,0.21325,0.21225,24.65,14," aCO2","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Spencer eCO2",38.5,70.65,6.585,0.59725,1.9475,3065,42.125,0.18975,0.20725,25.35,12.825," eCO2"
"21","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Williams ","0.915860014892033","0.91049798115747","0.933928571428571","0.902183502426114","0.981481481481482","0.950738916256158","0.924671052631579","1.01303317535545","1.0463368816531","0.958730158730159","0.961106115107914","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Williams ","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Williams aCO2",37.0666666666667,75.5666666666667,6.33,0.532333333333333,1.89,3150,44.7666666666667,0.247666666666667,0.203,25.3333333333333,14," aCO2","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Williams eCO2",35.625,68.175,6.4125,0.557,1.855,3020,41,0.2255,0.193,23.425,13.075," eCO2"
"22","Champaign__Illinois 2006 soybean Dry Low 24/05/2002 Pana ","0.969001148105626","0.880668257756563","0.947626841243862","1.02987637362637","1.06027397260274","0.974039460020768","0.963366336633663","0.975677830940989","1.03157031570316","0.976210705182668","0.969040247678019","Champaign__Illinois 2006 soybean Dry Low 24/05/2002 Pana ","Champaign__Illinois 2006 soybean Dry Low 24/05/2002 Pana aCO2",40.375,72.8,6.27,0.60975,1.825,2942.5,43.55,0.31425,0.24075,25.25,15.275," aCO2","Champaign__Illinois 2006 soybean Dry Low 24/05/2002 Pana eCO2",39.125,74.975,6.1175,0.629,1.935,2872.5,42.2,0.27675,0.2345,24.325,14.475," eCO2"
"23","Champaign__Illinois 2007 soybean Dry Low 21/05/2003 Pana ","0.963560334528077","0.944107744107744","0.958904109589041","0.91579594345421","0.952624839948784","0.935357492654261","0.882648784576697","1.00954356846473","0.930561330561331","0.960636515912898","0.938242280285036","Champaign__Illinois 2007 soybean Dry Low 21/05/2003 Pana ","Champaign__Illinois 2007 soybean Dry Low 21/05/2003 Pana aCO2",42.1,81.35,6.025,0.60125,1.9525,2985,41.85,0.37125,0.25525,29.825,14.6," aCO2","Champaign__Illinois 2007 soybean Dry Low 21/05/2003 Pana eCO2",39.5,74.5,6.0825,0.5595,1.86,2867.5,40.325,0.3505,0.23875,26.325,14," eCO2"
"24","Champaign__Illinois 2008 Corn Dry Low NA Cv34B43 ","1.13218390804598","1.0952380952381","1.02816901408451","0.989655172413793","0.978571428571429","0.914893617021276","0.973509933774834","1.07068062827225","0.904045155221073","1.08139534883721","0.88135593220339","Champaign__Illinois 2008 Corn Dry Low NA Cv34B43 ","Champaign__Illinois 2008 Corn Dry Low NA Cv34B43 aCO2",19.175,14.5,0.955,0.26575,0.35,860,4.35,0.00525,0.094,3.775,1.775," aCO2","Champaign__Illinois 2008 Corn Dry Low NA Cv34B43 eCO2",16.9,14.35,1.0225,0.24025,0.3425,930,4.925,0.00575,0.086,3.675,1.825," eCO2"
"25","Champaign__Illinois 2008 Corn Dry Low NA DKC61-19 ","0.982954545454545","1.0625","0.959459459459459","0.978723404255319","0.968992248062015","0.946835443037975","1","0.988980716253444","0.935860058309038","1.03561643835616","0.970705725699068","Champaign__Illinois 2008 Corn Dry Low NA DKC61-19 ","Champaign__Illinois 2008 Corn Dry Low NA DKC61-19 aCO2",18.775,12.925,0.9075,0.25725,0.3225,912.5,4.4,0.004,0.09875,3.925,1.85," aCO2","Champaign__Illinois 2008 Corn Dry Low NA DKC61-19 eCO2",18.225,12.65,0.8975,0.24075,0.3125,945,4.325,0.00425,0.0935,3.925,1.775," eCO2"
"26","Champaign__Illinois 2008 Corn Dry Medium NA Cv34B43 ","1.02873563218391","0.769230769230769","0.868686868686869","0.932952924393723","0.96969696969697","0.907563025210084","0.865384615384615","0.882716049382716","0.927813163481953","0.981865284974093","0.92797783933518","Champaign__Illinois 2008 Corn Dry Medium NA Cv34B43 ","Champaign__Illinois 2008 Corn Dry Medium NA Cv34B43 aCO2",18.05,17.525,1.215,0.2355,0.33,965,4.35,0.0065,0.08925,3.9,2.475," aCO2","Champaign__Illinois 2008 Corn Dry Medium NA Cv34B43 eCO2",16.75,16.35,1.0725,0.2185,0.32,947.5,4.475,0.005,0.081,3.375,2.15," eCO2"
"27","Champaign__Illinois 2008 Corn Dry Medium NA DKC61-19 ","1.05625","1","0.770833333333333","0.872531418312388","0.975806451612903","1.00516795865633","1","0.885106382978724","0.950787401574803","0.989873417721519","1.01560468140442","Champaign__Illinois 2008 Corn Dry Medium NA DKC61-19 ","Champaign__Illinois 2008 Corn Dry Medium NA DKC61-19 aCO2",19.225,13.925,1.175,0.254,0.31,987.5,4,0.00325,0.09675,3.825,2.4," aCO2","Champaign__Illinois 2008 Corn Dry Medium NA DKC61-19 eCO2",19.525,12.15,1.04,0.2415,0.3025,977.5,4.225,0.00325,0.09725,3.825,1.85," eCO2"
"28","Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Loda ","0.955213903743316","0.908084163898117","0.903945111492281","0.99696151249156","1.01221166892809","0.968879668049793","0.995712754555198","1.00408830744072","0.992129629629629","0.965936739659367","0.911857958148383","Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Loda ","Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Loda aCO2",39.425,74.05,6.115,0.54,1.8425,3082.5,37.4,0.22575,0.241,23.325,14.575," aCO2","Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Loda eCO2",35.95,73.825,6.14,0.53575,1.865,2977.5,35.725,0.205,0.2335,23.225,13.175," eCO2"
"29","Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Pana ","0.998760842627013","0.931309904153355","1.00169491525424","1.03674351585014","1.01560283687943","0.992677824267783","0.994703389830508","1.01313002964845","1.02172928927116","0.99664147774979","1.01503267973856","Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Pana ","Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Pana aCO2",38.25,69.4,5.9025,0.55225,1.7625,2977.5,40.35,0.313,0.239,23.6,14.75," aCO2","Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Pana eCO2",38.825,71.95,5.98,0.56425,1.79,2967.5,40.3,0.2915,0.23725,23.475,14.775," eCO2"
"30","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Bohatyr ","0.986013986013986","1.1123595505618","0.955357142857143","0.983596214511041","1.03225806451613","1.00437636761488","0.943661971830986","0.98957557706627","0.986733001658375","0.970588235294118","0.918324607329843","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Bohatyr ","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Bohatyr aCO2",23.875,39.625,3.3575,0.3015,0.93,1700,7.15,0.06675,0.11425,8.875,5.6," aCO2","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Bohatyr eCO2",21.925,38.975,3.3225,0.2975,0.96,1650,7.05,0.07425,0.11475,8.375,5.35," eCO2"
"31","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Kaspa ","1.06206896551724","1.01672240802676","1.02448979591837","0.888772298006296","1.02061855670103","1.01834862385321","0.973372781065089","1.00455580865604","0.954135338345865","0.968834688346883","0.946022727272727","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Kaspa ","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Kaspa aCO2",26.4,47.65,3.2925,0.3325,0.97,1845,7.25,0.07475,0.109,8.45,6.125," aCO2","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Kaspa eCO2",24.975,42.35,3.3075,0.31725,0.99,1787.5,7.7,0.076,0.111,8.225,6.275," eCO2"
"32","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 OZP0601 ","0.963210702341137","0.972868217054264","1.04273504273504","0.951984635083227","1.02992518703242","1.00731707317073","1.01238390092879","0.993655828707375","0.983739837398374","0.995626822157434","1.00647948164147","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 OZP0601 ","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 OZP0601 aCO2",23.15,39.05,3.1525,0.3075,1.0025,1715,7.475,0.0645,0.1025,8.075,5.85," aCO2","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 OZP0601 eCO2",23.3,37.175,3.1325,0.3025,1.0325,1707.5,7.2,0.06275,0.10325,8.175,6.1," eCO2"
"33","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 OZP0902 ","0.975352112676056","1.0251572327044","0.990610328638498","0.929515418502203","0.986111111111111","0.981438515081206","0.938775510204082","0.925636007827789","0.911352040816326","0.961916461916462","0.959798994974874","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 OZP0902 ","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 OZP0902 aCO2",29.85,45.4,3.8325,0.392,1.26,2035,7.1,0.03975,0.10775,11.025,5.325," aCO2","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 OZP0902 eCO2",28.65,42.2,3.5475,0.35725,1.2425,1957.5,6.925,0.04075,0.10575,10.35,5.275," eCO2"
"34","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Sturt ","0.970695970695971","0.922005571030641","0.963963963963964","0.940713853599516","1.05494505494505","0.989059080962801","0.997198879551821","0.988505747126437","0.980912863070539","1","0.976318622174381","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Sturt ","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Sturt aCO2",23.225,41.325,3.2625,0.30125,0.91,1812.5,6.825,0.08975,0.11425,8.925,5.55," aCO2","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Sturt eCO2",22.675,38.875,3.225,0.2955,0.96,1812.5,6.625,0.08275,0.113,8.9,5.35," eCO2"
"35","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Bohatyr ","0.99644128113879","1.01544401544402","0.969298245614035","0.968730456535335","1.06084656084656","0.969498910675381","0.970027247956403","0.948642699926632","0.968118195956454","1.00455235204856","0.908333333333333","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Bohatyr ","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Bohatyr aCO2",24,39.975,3.4075,0.3215,0.945,1647.5,7.025,0.06475,0.11475,9.175,5.7," aCO2","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Bohatyr eCO2",21.8,38.725,3.2325,0.31125,1.0025,1655,7,0.06575,0.11125,8.9,5.525," eCO2"
"36","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Kaspa ","0.979381443298969","0.980891719745223","0.988095238095238","1.04290822407628","1.03580562659847","1.02888888888889","0.991689750692521","1.0247005988024","1.03996983408748","1.00136425648022","0.972273567467653","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Kaspa ","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Kaspa aCO2",27.05,41.95,3.34,0.3315,0.9775,1832.5,7.275,0.0785,0.1125,9.025,6.3," aCO2","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Kaspa eCO2",26.3,43.75,3.4225,0.34475,1.0125,1835,7.125,0.077,0.11575,8.95,6.225," eCO2"
"37","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0601 ","0.968531468531469","1","0.934108527131783","0.939168218497828","1.01694915254237","1.02836879432624","1.0137741046832","1.003861003861","1.02334630350195","0.978323699421965","0.8720703125","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0601 ","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0601 aCO2",25.6,40.275,3.2375,0.32125,1.0325,1730,7.15,0.06675,0.10575,9.075,6.45," aCO2","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0601 eCO2",22.325,37.825,3.25,0.32875,1.05,1692.5,6.925,0.06675,0.10875,9.2,6.025," eCO2"
"38","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0902 ","0.947916666666667","1.12048192771084","0.961702127659575","0.967120181405896","0.944554455445545","1.00231481481481","0.904109589041096","0.926364234056542","0.848271821909783","0.896260554885404","0.888245033112583","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0902 ","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0902 aCO2",30.2,44.1,3.8025,0.42675,1.2625,2072.5,7.2,0.0415,0.108,10.95,5.875," aCO2","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0902 eCO2",26.825,42.65,3.5225,0.362,1.1925,1857.5,6.825,0.0465,0.10825,9.9,5.65," eCO2"
"39","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Sturt ","0.973684210526316","0.89080459770115","0.934156378600823","0.95045871559633","1.00260416666667","0.969498910675381","0.964467005076142","0.974493623405851","0.909984871406959","0.974632843791722","0.859311740890688","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Sturt ","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Sturt aCO2",24.7,40.875,3.3325,0.3305,0.96,1872.5,6.65,0.087,0.11475,9.85,6.075," aCO2","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Sturt eCO2",21.225,38.85,3.2475,0.30075,0.9625,1825,6.475,0.0775,0.11125,9.5,5.675," eCO2"
