GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,CountryYear,Comments
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1988,1988,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,129.4 [123.5-135.2],129.4,123.5,135.2,Algeria1988,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1989,1989,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,129.1 [123.2-134.9],129.1,123.2,134.9,Algeria1989,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1995,1995,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,127.8 [122.1-133.5],127.8,122.1,133.5,Algeria1995,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1996,1996,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,127.7 [122.1-133.3],127.7,122.1,133.3,Algeria1996,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1997,1997,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,127.7 [122.2-133.1],127.7,122.2,133.1,Algeria1997,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1998,1998,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,127.6 [122.3-132.9],127.6,122.3,132.9,Algeria1998,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2003,2003,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,128.0 [123.2-132.8],128,123.2,132.8,Algeria2003,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2004,2004,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,128.0 [123.3-132.9],128,123.3,132.9,Algeria2004,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2005,2005,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,128.1 [123.2-133.2],128.1,123.2,133.2,Algeria2005,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2006,2006,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,128.2 [123.0-133.7],128.2,123,133.7,Algeria2006,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1981,1981,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,132.7 [123.2-142.5],132.7,123.2,142.5,Angola1981,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1982,1982,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,132.4 [123.4-141.3],132.4,123.4,141.3,Angola1982,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1983,1983,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,132.1 [123.6-140.6],132.1,123.6,140.6,Angola1983,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1984,1984,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,131.8 [123.7-140.0],131.8,123.7,140,Angola1984,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1985,1985,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,131.6 [123.8-139.6],131.6,123.8,139.6,Angola1985,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1990,1990,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,131.0 [123.6-138.7],131,123.6,138.7,Angola1990,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1991,1991,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,130.9 [123.3-138.6],130.9,123.3,138.6,Angola1991,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1992,1992,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,130.7 [123.1-138.5],130.7,123.1,138.5,Angola1992,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1993,1993,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,130.5 [122.7-138.4],130.5,122.7,138.4,Angola1993,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1998,1998,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,129.9 [122.2-137.7],129.9,122.2,137.7,Angola1998,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1999,1999,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,129.9 [122.4-137.4],129.9,122.4,137.4,Angola1999,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2000,2000,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,129.9 [122.5-137.3],129.9,122.5,137.3,Angola2000,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2001,2001,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,130.0 [122.7-137.3],130,122.7,137.3,Angola2001,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2006,2006,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,130.6 [123.0-137.9],130.6,123,137.9,Angola2006,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2007,2007,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,130.8 [122.9-138.4],130.8,122.9,138.4,Angola2007,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2008,2008,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,131.0 [122.7-139.0],131,122.7,139,Angola2008,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2009,2009,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,FMLE,Female,,122.5 [113.1-131.8],122.5,113.1,131.8,Afghanistan2009,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1980,1980,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,131.7 [121.6-142.4],131.7,121.6,142.4,Argentina1980,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1985,1985,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,129.8 [123.1-136.4],129.8,123.1,136.4,Argentina1985,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1986,1986,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,129.4 [123.1-135.8],129.4,123.1,135.8,Argentina1986,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1987,1987,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,129.1 [123.0-135.3],129.1,123,135.3,Argentina1987,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1988,1988,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,128.8 [122.8-134.8],128.8,122.8,134.8,Argentina1988,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1993,1993,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,127.4 [121.5-133.2],127.4,121.5,133.2,Argentina1993,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1994,1994,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,127.3 [121.3-133.0],127.3,121.3,133,Argentina1994,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1995,1995,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,127.2 [121.3-132.9],127.2,121.3,132.9,Argentina1995,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1996,1996,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,127.1 [121.2-132.7],127.1,121.2,132.7,Argentina1996,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2001,2001,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,127.4 [121.7-133.1],127.4,121.7,133.1,Argentina2001,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2002,2002,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,127.5 [121.7-133.1],127.5,121.7,133.1,Argentina2002,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2003,2003,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,127.6 [121.7-133.4],127.6,121.7,133.4,Argentina2003,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2004,2004,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,127.7 [121.6-133.8],127.7,121.6,133.8,Argentina2004,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2005,2005,,AMR,Americas,,ARG,Argentina,,AGE25-PLUS,25+,,MLE,Male,,128.0 [121.5-134.4],128,121.5,134.4,Argentina2005,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1980,1980,,EUR,Europe,,ARM,Armenia,,AGE25-PLUS,25+,,MLE,Male,,135.6 [126.3-145.5],135.6,126.3,145.5,Armenia1980,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1981,1981,,EUR,Europe,,ARM,Armenia,,AGE25-PLUS,25+,,MLE,Male,,135.6 [127.0-144.7],135.6,127,144.7,Armenia1981,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1982,1982,,EUR,Europe,,ARM,Armenia,,AGE25-PLUS,25+,,MLE,Male,,135.6 [127.7-143.9],135.6,127.7,143.9,Armenia1982,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1983,1983,,EUR,Europe,,ARM,Armenia,,AGE25-PLUS,25+,,MLE,Male,,135.6 [128.0-143.4],135.6,128,143.4,Armenia1983,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1988,1988,,EUR,Europe,,ARM,Armenia,,AGE25-PLUS,25+,,MLE,Male,,135.0 [128.6-141.7],135,128.6,141.7,Armenia1988,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1989,1989,,EUR,Europe,,ARM,Armenia,,AGE25-PLUS,25+,,MLE,Male,,134.9 [128.4-141.5],134.9,128.4,141.5,Armenia1989,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1990,1990,,EUR,Europe,,ARM,Armenia,,AGE25-PLUS,25+,,MLE,Male,,134.8 [128.3-141.5],134.8,128.3,141.5,Armenia1990,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1991,1991,,EUR,Europe,,ARM,Armenia,,AGE25-PLUS,25+,,MLE,Male,,134.7 [128.1-141.4],134.7,128.1,141.4,Armenia1991,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1997,1997,,EUR,Europe,,ARM,Armenia,,AGE25-PLUS,25+,,MLE,Male,,134.0 [127.2-140.6],134,127.2,140.6,Armenia1997,
