RecordOrder,Survey,Breakdown Variable,Indicator,Measure,Unit,Value
117,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,3833
118,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,15.54
119,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.77
120,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3833
121,Cambodia - 2004,Country-level,Protein consumption,Mean,g/capita/day,55.09
122,Cambodia - 2004,Country-level,Protein consumption,Standard Deviation,g/capita/day,38.52
123,Cambodia - 2004,Country-level,Protein consumption,Number Observations,g/capita/day,14981
124,Cambodia - 2004,Country-level,Share of dietary energy consumption from protein,Mean,%,11.32
125,Cambodia - 2004,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,3.97
126,Cambodia - 2004,Country-level,Share of dietary energy consumption from protein,Number Observations,%,14981
127,Cambodia - 2004,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,41.44
128,Cambodia - 2004,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,14.48
129,Cambodia - 2004,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,4804
130,Cambodia - 2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,11.01
131,Cambodia - 2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.94
132,Cambodia - 2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,4804
133,Cambodia - 2004,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,54.96
134,Cambodia - 2004,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,17.53
135,Cambodia - 2004,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,4895
136,Cambodia - 2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,10.95
137,Cambodia - 2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.94
138,Cambodia - 2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,4895
139,Cambodia - 2004,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,73.15
140,Cambodia - 2004,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,62.33
141,Cambodia - 2004,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,5282
142,Cambodia - 2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,12.13
143,Cambodia - 2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.81
144,Cambodia - 2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,5282
145,Cambodia - 2009,Country-level,Protein consumption,Mean,g/capita/day,63.12
146,Cambodia - 2009,Country-level,Protein consumption,Standard Deviation,g/capita/day,58.5
147,Cambodia - 2009,Country-level,Protein consumption,Number Observations,g/capita/day,11970
148,Cambodia - 2009,Country-level,Share of dietary energy consumption from protein,Mean,%,12.56
149,Cambodia - 2009,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,5.14
150,Cambodia - 2009,Country-level,Share of dietary energy consumption from protein,Number Observations,%,11970
151,Cambodia - 2009,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,51.63
152,Cambodia - 2009,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,45.75
153,Cambodia - 2009,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,3942
154,Cambodia - 2009,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,11.99
155,Cambodia - 2009,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.83
156,Cambodia - 2009,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3942
157,Cambodia - 2009,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,60.18
158,Cambodia - 2009,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,41.88
159,Cambodia - 2009,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,3977
160,Cambodia - 2009,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,12.29
161,Cambodia - 2009,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.94
162,Cambodia - 2009,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,3977
163,Cambodia - 2009,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,81.78
164,Cambodia - 2009,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,81.09
165,Cambodia - 2009,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,4051
166,Cambodia - 2009,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,13.62
167,Cambodia - 2009,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,5.57
168,Cambodia - 2009,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,4051
169,Chad - 2009,Country-level,Protein consumption,Mean,g/capita/day,82.11
170,Chad - 2009,Country-level,Protein consumption,Standard Deviation,g/capita/day,60.1
171,Chad - 2009,Country-level,Protein consumption,Number Observations,g/capita/day,4632
172,Chad - 2009,Country-level,Share of dietary energy consumption from protein,Mean,%,13.15
173,Chad - 2009,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,3.39
174,Chad - 2009,Country-level,Share of dietary energy consumption from protein,Number Observations,%,4632
175,Chad - 2009,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,53.51
176,Chad - 2009,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,25.59
177,Chad - 2009,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,1454
178,Chad - 2009,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,12.92
179,Chad - 2009,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.83
180,Chad - 2009,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1454
181,Chad - 2009,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,78.79
182,Chad - 2009,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,33.89
183,Chad - 2009,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,1610
184,Chad - 2009,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,13.06
185,Chad - 2009,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.73
186,Chad - 2009,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,1610
187,Chad - 2009,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,129.51
188,Chad - 2009,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,86.95
189,Chad - 2009,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,1568
190,Chad - 2009,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,13.61
191,Chad - 2009,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.67
192,Chad - 2009,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1568
193,Côte d'Ivoire - 2002,Country-level,Protein consumption,Mean,g/capita/day,63.69
194,Côte d'Ivoire - 2002,Country-level,Protein consumption,Standard Deviation,g/capita/day,44.71
195,Côte d'Ivoire - 2002,Country-level,Protein consumption,Number Observations,g/capita/day,10760
196,Côte d'Ivoire - 2002,Country-level,Share of dietary energy consumption from protein,Mean,%,12.13
197,Côte d'Ivoire - 2002,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,4.12
198,Côte d'Ivoire - 2002,Country-level,Share of dietary energy consumption from protein,Number Observations,%,10760
199,Côte d'Ivoire - 2002,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,47.99
200,Côte d'Ivoire - 2002,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,28.34
201,Côte d'Ivoire - 2002,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,3643
202,Côte d'Ivoire - 2002,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,11.43
203,Côte d'Ivoire - 2002,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.5
204,Côte d'Ivoire - 2002,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3643
205,Côte d'Ivoire - 2002,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,64.35
206,Côte d'Ivoire - 2002,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,37.68
207,Côte d'Ivoire - 2002,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,3627
208,Côte d'Ivoire - 2002,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,12.29
209,Côte d'Ivoire - 2002,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.38
210,Côte d'Ivoire - 2002,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,3627
211,Côte d'Ivoire - 2002,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,91.34
212,Côte d'Ivoire - 2002,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,61.59
213,Côte d'Ivoire - 2002,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,3490
214,Côte d'Ivoire - 2002,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,13.17
215,Côte d'Ivoire - 2002,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.51
216,Côte d'Ivoire - 2002,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3490
217,Egypt - 1997,Country-level,Protein consumption,Mean,g/capita/day,84.53
218,Egypt - 1997,Country-level,Protein consumption,Standard Deviation,g/capita/day,38.86
219,Egypt - 1997,Country-level,Protein consumption,Number Observations,g/capita/day,2249
220,Egypt - 1997,Country-level,Share of dietary energy consumption from protein,Mean,%,12.85
221,Egypt - 1997,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2.3
222,Egypt - 1997,Country-level,Share of dietary energy consumption from protein,Number Observations,%,2249
223,Egypt - 1997,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,70.54
224,Egypt - 1997,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,29.89
225,Egypt - 1997,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,769
226,Egypt - 1997,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,12.51
227,Egypt - 1997,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.27
228,Egypt - 1997,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,769
229,Egypt - 1997,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,84.42
230,Egypt - 1997,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,32.33
231,Egypt - 1997,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,748
232,Egypt - 1997,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,12.9
233,Egypt - 1997,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.21
234,Egypt - 1997,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,748
235,Egypt - 1997,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,106.83
236,Egypt - 1997,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,48.16
237,Egypt - 1997,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,732
238,Egypt - 1997,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,13.3
239,Egypt - 1997,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.38
240,Egypt - 1997,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,732
241,Ghana - 1998-1999,Country-level,Protein consumption,Mean,g/capita/day,52.51
242,Ghana - 1998-1999,Country-level,Protein consumption,Standard Deviation,g/capita/day,31.46
243,Ghana - 1998-1999,Country-level,Protein consumption,Number Observations,g/capita/day,5998
244,Ghana - 1998-1999,Country-level,Share of dietary energy consumption from protein,Mean,%,9.39
245,Ghana - 1998-1999,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,3.02
246,Ghana - 1998-1999,Country-level,Share of dietary energy consumption from protein,Number Observations,%,5998
247,Ghana - 1998-1999,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,36.86
248,Ghana - 1998-1999,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,14.68
249,Ghana - 1998-1999,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2076
250,Ghana - 1998-1999,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,9.39
251,Ghana - 1998-1999,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.92
252,Ghana - 1998-1999,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2076
253,Ghana - 1998-1999,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,52.45
254,Ghana - 1998-1999,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,20.42
255,Ghana - 1998-1999,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,2068
256,Ghana - 1998-1999,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,9.19
257,Ghana - 1998-1999,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.73
258,Ghana - 1998-1999,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,2068
259,Ghana - 1998-1999,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,83.08
260,Ghana - 1998-1999,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,44.45
261,Ghana - 1998-1999,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,1854
262,Ghana - 1998-1999,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,9.69
263,Ghana - 1998-1999,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.56
264,Ghana - 1998-1999,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1854
265,Guatemala - 2006,Country-level,Protein consumption,Mean,g/capita/day,65.02
266,Guatemala - 2006,Country-level,Protein consumption,Standard Deviation,g/capita/day,32.8
267,Guatemala - 2006,Country-level,Protein consumption,Number Observations,g/capita/day,13603
268,Guatemala - 2006,Country-level,Share of dietary energy consumption from protein,Mean,%,11.42
269,Guatemala - 2006,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2
270,Guatemala - 2006,Country-level,Share of dietary energy consumption from protein,Number Observations,%,13603
271,Guatemala - 2006,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,47.09
272,Guatemala - 2006,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,18.79
273,Guatemala - 2006,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,5113
