"","AreaName","ElementName","ItemName","Value","VegOrMeat"
"223","Philippines","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"225","El Salvador","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"237","China, Taiwan Province of","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"238","Paraguay","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"245","Democratic People's Republic of Korea","Food supply (kcal/capita/day)","Apples and products",32,"Veg"
"246","Tajikistan","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"248","Nepal","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"249","Thailand","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"254","Netherlands","Food supply (kcal/capita/day)","Apples and products",43,"Veg"
"264","CEEAEU","Food supply (kcal/capita/day)","Apples and products",21.069829743089,"Veg"
"268","Japan","Food supply (kcal/capita/day)","Apples and products",11,"Veg"
"271","Morocco","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"277","Belarus","Food supply (kcal/capita/day)","Apples and products",27,"Veg"
"279","Eastern Africa","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"280","Chad","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"283","Sudan (former)","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"287","Ecuador","Food supply (kcal/capita/day)","Apples and products",6,"Veg"
"301","Egypt","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"303","Iceland","Food supply (kcal/capita/day)","Apples and products",25,"Veg"
"306","Jamaica","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"322","Sweden","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"326","Cameroon","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"329","Mongolia","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"332","Central Asia","Food supply (kcal/capita/day)","Apples and products",14,"Veg"
"335","Seychelles","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"337","South Africa","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"338","Bangladesh","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"342","Côte d'Ivoire","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"345","Georgia","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"349","China","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"355","Denmark","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"362","Zambia","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"367","Austria","Food supply (kcal/capita/day)","Apples and products",70,"Veg"
"373","Uzbekistan","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"376","Poland","Food supply (kcal/capita/day)","Apples and products",23,"Veg"
"377","Low Income Food Deficit Countries","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"383","Lebanon","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"385","Ukraine","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"389","Armenia","Food supply (kcal/capita/day)","Apples and products",26,"Veg"
"390","Viet Nam","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"394","Dominican Republic","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"396","CANAME","Food supply (kcal/capita/day)","Apples and products",17.1940301916528,"Veg"
"399","Swaziland","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"403","Malta","Food supply (kcal/capita/day)","Apples and products",14,"Veg"
"406","Least Developed Countries","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"414","Algeria","Food supply (kcal/capita/day)","Apples and products",18,"Veg"
"427","Saint Lucia","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"433","Gambia","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"437","Southern Europe","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"438","Barbados","Food supply (kcal/capita/day)","Apples and products",16,"Veg"
"443","Lesotho","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"444","French Polynesia","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"445","Comoros","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"447","Australia","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"452","Guyana","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"454","Ireland","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"458","Costa Rica","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"462","Turkmenistan","Food supply (kcal/capita/day)","Apples and products",12,"Veg"
"463","Albania","Food supply (kcal/capita/day)","Apples and products",30,"Veg"
"474","Burundi","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"480","CALACA","Food supply (kcal/capita/day)","Apples and products",5.40557597468362,"Veg"
"485","Botswana","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"497","Africa","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"504","United States of America","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"506","Uruguay","Food supply (kcal/capita/day)","Apples and products",23,"Veg"
"520","Greece","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"526","SUSAAF","Food supply (kcal/capita/day)","Apples and products",0.742637289280141,"Veg"
"544","Brunei Darussalam","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"549","Czech Republic","Food supply (kcal/capita/day)","Apples and products",14,"Veg"
"553","Croatia","Food supply (kcal/capita/day)","Apples and products",31,"Veg"
"575","Luxembourg","Food supply (kcal/capita/day)","Apples and products",24,"Veg"
"577","The former Yugoslav Republic of Macedonia","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"587","Yemen","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"591","Vanuatu","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"594","Australia & New Zealand","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"596","Southern Africa","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"597","China, mainland","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"599","Democratic Republic of the Congo","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"604","Zimbabwe","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"605","Western Asia","Food supply (kcal/capita/day)","Apples and products",17,"Veg"
"607","United Arab Emirates","Food supply (kcal/capita/day)","Apples and products",17,"Veg"
"611","Small Island Developing States","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"614","Southern Asia","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"618","Solomon Islands","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"623","Namibia","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"625","Niger","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"630","Saint Kitts and Nevis","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"633","Myanmar","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"636","Venezuela (Bolivarian Republic of)","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"639","Syrian Arab Republic","Food supply (kcal/capita/day)","Apples and products",14,"Veg"
"643","SOTRLA","Food supply (kcal/capita/day)","Apples and products",9.97029004106776,"Veg"
"647","United Republic of Tanzania","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"656","Rwanda","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"659","Northern America","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"661","Net Food Importing Developing Countries","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"671","Nicaragua","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"673","Belgium","Food supply (kcal/capita/day)","Apples and products",12,"Veg"
"675","Romania","Food supply (kcal/capita/day)","Apples and products",31,"Veg"
"680","Mozambique","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"682","HIGHIN","Food supply (kcal/capita/day)","Apples and products",18.3678096278022,"Veg"
"691","Ethiopia","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"694","Colombia","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"701","Melanesia","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"704","Guinea-Bissau","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"708","New Zealand","Food supply (kcal/capita/day)","Apples and products",24,"Veg"
"712","Sri Lanka","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"716","Cabo Verde","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"725","Hungary","Food supply (kcal/capita/day)","Apples and products",38,"Veg"
"735","Saint Vincent and the Grenadines","Food supply (kcal/capita/day)","Apples and products",18,"Veg"
"745","Turkey","Food supply (kcal/capita/day)","Apples and products",33,"Veg"
"746","Iraq","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"747","Eastern Asia","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"762","Liberia","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"763","Europe","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"765","Congo","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"769","Germany","Food supply (kcal/capita/day)","Apples and products",25,"Veg"
"773","Kiribati","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"774","Kuwait","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"780","Fiji","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"784","Montenegro","Food supply (kcal/capita/day)","Apples and products",31,"Veg"
"807","Spain","Food supply (kcal/capita/day)","Apples and products",16,"Veg"
"808","Belize","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"814","Kenya","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"817","France","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"819","Tunisia","Food supply (kcal/capita/day)","Apples and products",14,"Veg"
"842","Italy","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"844","Afghanistan","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"846","China, Hong Kong SAR","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"850","Brazil","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"851","Grenada","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"854","ESEASP","Food supply (kcal/capita/day)","Apples and products",0.995419225293928,"Veg"
"858","Samoa","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"864","India","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"868","World","Food supply (kcal/capita/day)","Apples and products",11,"Veg"
"881","Libya","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"882","Chile","Food supply (kcal/capita/day)","Apples and products",12,"Veg"
"887","Sao Tome and Principe","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"888","Eastern Europe","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"889","Bulgaria","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"892","Guatemala","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"901","Finland","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"902","Kyrgyzstan","Food supply (kcal/capita/day)","Apples and products",24,"Veg"
"909","Dominica","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"917","Mexico","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"920","Northern Africa","Food supply (kcal/capita/day)","Apples and products",11,"Veg"
"926","Russian Federation","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"928","Madagascar","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"933","Eritrea","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"937","Republic of Korea","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"943","Cambodia","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"945","Mauritius","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"951","Bosnia and Herzegovina","Food supply (kcal/capita/day)","Apples and products",22,"Veg"
"961","Bolivia (Plurinational State of)","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"969","Lithuania","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"973","Azerbaijan","Food supply (kcal/capita/day)","Apples and products",15,"Veg"
"977","Cuba","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"978","Serbia","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"979","Haiti","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"983","Cyprus","Food supply (kcal/capita/day)","Apples and products",13,"Veg"
"1000","Middle Africa","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1002","Malawi","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"1011","China, Macao SAR","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"1015","Argentina","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"1020","Micronesia","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1033","Nigeria","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"1039","Honduras","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"1042","Western Africa","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"1044","Republic of Moldova","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1046","Lao People's Democratic Republic","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"1051","Norway","Food supply (kcal/capita/day)","Apples and products",26,"Veg"
"1052","Latvia","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"1057","Israel","Food supply (kcal/capita/day)","Apples and products",16,"Veg"
"1060","Trinidad and Tobago","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"1061","Polynesia","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"1064","Angola","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1068","Peru","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"1069","European Union","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"1077","Caribbean","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1080","Mauritania","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1081","Western Europe","Food supply (kcal/capita/day)","Apples and products",24,"Veg"
"1896","Guinea","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1899","Mali","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1900","Ukraine","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1905","Cambodia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1908","Bahamas","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1920","SOTRLA","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1922","Japan","Food supply (kcal/capita/day)","Aquatic Plants",1,"Veg"
"1925","Kazakhstan","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1926","Philippines","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1941","Lithuania","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1949","Barbados","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1956","Eritrea","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1960","Lao People's Democratic Republic","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1965","India","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1969","Benin","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1995","Switzerland","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"1996","Iraq","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2005","Melanesia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2041","CEEAEU","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2054","The former Yugoslav Republic of Macedonia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2058","Ghana","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2068","Sweden","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2069","Venezuela (Bolivarian Republic of)","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2072","Sierra Leone","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2080","Bangladesh","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2086","Chile","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2097","Ecuador","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2101","Southern Europe","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2106","Spain","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2109","Morocco","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2115","Bulgaria","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2116","China, Hong Kong SAR","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2122","Swaziland","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2130","Armenia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2132","Uruguay","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2135","Western Europe","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2143","South Africa","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2145","Uganda","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2147","United Kingdom","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2157","Hungary","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2171","Czech Republic","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2173","Georgia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2174","Russian Federation","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2176","Eastern Asia","Food supply (kcal/capita/day)","Aquatic Plants",8,"Veg"
"2178","Burkina Faso","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2180","Lebanon","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2181","Mozambique","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2183","Suriname","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2184","Antigua and Barbuda","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2187","Grenada","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2192","Land Locked Developing Countries","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2194","Zambia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2195","Indonesia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2196","Tunisia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2198","Angola","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2199","Australia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2203","Cameroon","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2205","Democratic People's Republic of Korea","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2207","Fiji","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2210","Asia","Food supply (kcal/capita/day)","Aquatic Plants",3,"Veg"
"2211","Tajikistan","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2215","Nigeria","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2217","Mexico","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2219","Africa","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2236","Jordan","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2237","Bolivia (Plurinational State of)","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2238","Denmark","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2242","Germany","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2244","Europe","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2249","Samoa","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2260","Costa Rica","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2262","Comoros","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2263","Slovenia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2272","Southern Africa","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2275","China, mainland","Food supply (kcal/capita/day)","Aquatic Plants",9,"Veg"
"2280","Finland","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2281","Trinidad and Tobago","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2284","Western Asia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2292","Northern Europe","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2293","Burundi","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2301","Guatemala","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2302","Solomon Islands","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2318","Honduras","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2329","Haiti","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2330","Djibouti","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2332","Côte d'Ivoire","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2334","United States of America","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2339","Small Island Developing States","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2341","Central America","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2350","Poland","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2353","Saint Vincent and the Grenadines","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2358","Brazil","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2361","French Polynesia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2362","Eastern Africa","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2368","Austria","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2371","Ethiopia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2378","Polynesia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2379","Sudan (former)","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2380","Iceland","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2385","Malaysia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2386","Occupied Palestinian Territory","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2403","ESEASP","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2404","Thailand","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2406","Brunei Darussalam","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2410","Paraguay","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2414","China, Macao SAR","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2415","CALACA","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2425","Saudi Arabia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2432","South America","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2433","Low Income Food Deficit Countries","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2434","South-Eastern Asia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2438","Malta","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2450","Portugal","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2455","Norway","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2457","Jamaica","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2459","Sri Lanka","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2460","SOASIA","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2471","Panama","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2479","Micronesia","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2480","Cuba","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2482","Greece","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
"2488","France","Food supply (kcal/capita/day)","Aquatic Plants",0,"Veg"
