"","AreaName","ElementName","ItemName","Value","VegOrMeat"
"443","Lesotho","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"444","French Polynesia","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"445","Comoros","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"447","Australia","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"452","Guyana","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"454","Ireland","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"458","Costa Rica","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"462","Turkmenistan","Food supply (kcal/capita/day)","Apples and products",12,"Veg"
"463","Albania","Food supply (kcal/capita/day)","Apples and products",30,"Veg"
"474","Burundi","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"480","CALACA","Food supply (kcal/capita/day)","Apples and products",5.40557597468362,"Veg"
"485","Botswana","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"497","Africa","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"504","United States of America","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"506","Uruguay","Food supply (kcal/capita/day)","Apples and products",23,"Veg"
"520","Greece","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"526","SUSAAF","Food supply (kcal/capita/day)","Apples and products",0.742637289280141,"Veg"
"544","Brunei Darussalam","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"549","Czech Republic","Food supply (kcal/capita/day)","Apples and products",14,"Veg"
"553","Croatia","Food supply (kcal/capita/day)","Apples and products",31,"Veg"
"575","Luxembourg","Food supply (kcal/capita/day)","Apples and products",24,"Veg"
"577","The former Yugoslav Republic of Macedonia","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"587","Yemen","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"591","Vanuatu","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"594","Australia & New Zealand","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"596","Southern Africa","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"597","China, mainland","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"599","Democratic Republic of the Congo","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"604","Zimbabwe","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"605","Western Asia","Food supply (kcal/capita/day)","Apples and products",17,"Veg"
"607","United Arab Emirates","Food supply (kcal/capita/day)","Apples and products",17,"Veg"
"611","Small Island Developing States","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"614","Southern Asia","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"618","Solomon Islands","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"623","Namibia","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"625","Niger","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"630","Saint Kitts and Nevis","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"633","Myanmar","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"636","Venezuela (Bolivarian Republic of)","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"639","Syrian Arab Republic","Food supply (kcal/capita/day)","Apples and products",14,"Veg"
"643","SOTRLA","Food supply (kcal/capita/day)","Apples and products",9.97029004106776,"Veg"
"647","United Republic of Tanzania","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"656","Rwanda","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"659","Northern America","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"661","Net Food Importing Developing Countries","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"671","Nicaragua","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"673","Belgium","Food supply (kcal/capita/day)","Apples and products",12,"Veg"
"675","Romania","Food supply (kcal/capita/day)","Apples and products",31,"Veg"
"680","Mozambique","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"682","HIGHIN","Food supply (kcal/capita/day)","Apples and products",18.3678096278022,"Veg"
"691","Ethiopia","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"694","Colombia","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"701","Melanesia","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"704","Guinea-Bissau","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"708","New Zealand","Food supply (kcal/capita/day)","Apples and products",24,"Veg"
"712","Sri Lanka","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"716","Cabo Verde","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"725","Hungary","Food supply (kcal/capita/day)","Apples and products",38,"Veg"
"735","Saint Vincent and the Grenadines","Food supply (kcal/capita/day)","Apples and products",18,"Veg"
"745","Turkey","Food supply (kcal/capita/day)","Apples and products",33,"Veg"
"746","Iraq","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"747","Eastern Asia","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"762","Liberia","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"763","Europe","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"765","Congo","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"769","Germany","Food supply (kcal/capita/day)","Apples and products",25,"Veg"
"773","Kiribati","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"774","Kuwait","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"780","Fiji","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"784","Montenegro","Food supply (kcal/capita/day)","Apples and products",31,"Veg"
"807","Spain","Food supply (kcal/capita/day)","Apples and products",16,"Veg"
"808","Belize","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"814","Kenya","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"817","France","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"819","Tunisia","Food supply (kcal/capita/day)","Apples and products",14,"Veg"
"842","Italy","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"844","Afghanistan","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"846","China, Hong Kong SAR","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"850","Brazil","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"851","Grenada","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"854","ESEASP","Food supply (kcal/capita/day)","Apples and products",0.995419225293928,"Veg"
"858","Samoa","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"864","India","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"868","World","Food supply (kcal/capita/day)","Apples and products",11,"Veg"
"881","Libya","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"882","Chile","Food supply (kcal/capita/day)","Apples and products",12,"Veg"
"887","Sao Tome and Principe","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"888","Eastern Europe","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"889","Bulgaria","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"892","Guatemala","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"901","Finland","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"902","Kyrgyzstan","Food supply (kcal/capita/day)","Apples and products",24,"Veg"
"909","Dominica","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"917","Mexico","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"920","Northern Africa","Food supply (kcal/capita/day)","Apples and products",11,"Veg"
"926","Russian Federation","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"928","Madagascar","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"933","Eritrea","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"937","Republic of Korea","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"943","Cambodia","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"945","Mauritius","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"951","Bosnia and Herzegovina","Food supply (kcal/capita/day)","Apples and products",22,"Veg"
"961","Bolivia (Plurinational State of)","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"969","Lithuania","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"973","Azerbaijan","Food supply (kcal/capita/day)","Apples and products",15,"Veg"
"977","Cuba","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"978","Serbia","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"979","Haiti","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"983","Cyprus","Food supply (kcal/capita/day)","Apples and products",13,"Veg"
"1000","Middle Africa","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1002","Malawi","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"1011","China, Macao SAR","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"1015","Argentina","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"1020","Micronesia","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1033","Nigeria","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"1039","Honduras","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"1042","Western Africa","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"1044","Republic of Moldova","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1046","Lao People's Democratic Republic","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"1051","Norway","Food supply (kcal/capita/day)","Apples and products",26,"Veg"
"1052","Latvia","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"1057","Israel","Food supply (kcal/capita/day)","Apples and products",16,"Veg"
"1060","Trinidad and Tobago","Food supply (kcal/capita/day)","Apples and products",9,"Veg"
"1061","Polynesia","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"1064","Angola","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1068","Peru","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"1069","European Union","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"1077","Caribbean","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1080","Mauritania","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"1081","Western Europe","Food supply (kcal/capita/day)","Apples and products",24,"Veg"
"1094","SOTRLA","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1096","Africa","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1099","Cyprus","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1114","Kazakhstan","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1115","Eritrea","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1121","Cuba","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1124","China, Hong Kong SAR","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1129","Small Island Developing States","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1133","Central America","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1137","Northern America","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1142","Gabon","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1164","Latvia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1171","Canada","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1172","Japan","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1183","Oceania","Food supply (kcal/capita/day)","Aquatic Animals, Others",1,"nonveg"
"1194","Nicaragua","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1196","Europe","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1203","HIGHIN","Food supply (kcal/capita/day)","Aquatic Animals, Others",0.121084369496771,"nonveg"
"1206","Honduras","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1207","Eastern Europe","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1209","Central Asia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1214","Low Income Food Deficit Countries","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1219","Turkey","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1220","Grenada","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1223","Micronesia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1231","Argentina","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1234","Fiji","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1235","Democratic People's Republic of Korea","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1236","Australia","Food supply (kcal/capita/day)","Aquatic Animals, Others",1,"nonveg"
"1248","Belarus","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1255","Chile","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1262","United Republic of Tanzania","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1268","Haiti","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1270","China, Taiwan Province of","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1274","CANAME","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1279","Samoa","Food supply (kcal/capita/day)","Aquatic Animals, Others",1,"nonveg"
"1282","Lithuania","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1284","Turkmenistan","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1286","Philippines","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1297","South America","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1301","Azerbaijan","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1303","Venezuela (Bolivarian Republic of)","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1305","Americas","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1308","Denmark","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1310","France","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1317","Asia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1318","Northern Europe","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1324","Southern Asia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1327","Least Developed Countries","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1331","Ireland","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1342","Australia & New Zealand","Food supply (kcal/capita/day)","Aquatic Animals, Others",1,"nonveg"
"1344","Spain","Food supply (kcal/capita/day)","Aquatic Animals, Others",1,"nonveg"
"1350","Iran (Islamic Republic of)","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1351","Finland","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1352","United Arab Emirates","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1357","Austria","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1365","Egypt","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1366","Bahamas","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1376","Malaysia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1380","Botswana","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1387","Senegal","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1391","Northern Africa","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1395","Dominican Republic","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1407","Iraq","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1408","Uruguay","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1410","Namibia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1412","India","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1416","Comoros","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1417","Solomon Islands","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1422","Poland","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1426","Malta","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1427","Sweden","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1432","Portugal","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1434","CEEAEU","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1437","Iceland","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1440","Burundi","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1443","Mauritius","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1449","Russian Federation","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1471","SUSAAF","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1472","French Polynesia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1478","Lao People's Democratic Republic","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1480","Liberia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1487","The former Yugoslav Republic of Macedonia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1488","Benin","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1492","Saudi Arabia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1502","Slovenia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1505","Brazil","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1510","Democratic Republic of the Congo","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1516","Middle Africa","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1529","Bangladesh","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1535","Cambodia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1539","Costa Rica","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1549","Indonesia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1552","Kuwait","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1558","Western Asia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1559","CALACA","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1560","Djibouti","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1566","Brunei Darussalam","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
"1570","Ukraine","Food supply (kcal/capita/day)","Aquatic Animals, Others",0,"nonveg"
