Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Population (Total),SP.POP.TOTL,China,CHN,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000
Population (Total),SP.POP.TOTL,Colombia,COL,39897984,40558648,41216304,41872051,42527623,43184026,43841370,44498390,45153037,45802561,46444798,47078792,47704427
Population (Total),SP.POP.TOTL,Comoros,COM,528312,541976,556028,570491,585389,600733,616526,632736,649291,666097,683081,700216,717503
Population (Total),SP.POP.TOTL,"Congo, Dem. Rep.",ZAR,46949244,48167045,49516960,50972323,52487293,54028003,55590838,57187942,58819038,60486276,62191161,63931512,65705093
Population (Total),SP.POP.TOTL,"Congo, Rep.",COG,3126204,3205636,3283719,3363418,3448868,3542867,3646653,3758858,3876475,3995146,4111715,4225359,4337051
Population (Total),SP.POP.TOTL,Costa Rica,CRI,3929588,4013488,4093840,4171145,4246336,4320130,4392493,4463226,4532711,4601424,4669685,4737680,4805295
Population (Total),SP.POP.TOTL,Cote d'Ivoire,CIV,16131332,16420173,16674987,16909801,17144325,17393994,17662417,17949061,18260044,18601342,18976588,19389954,19839750
Population (Total),SP.POP.TOTL,Croatia,HRV,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558
Population (Total),SP.POP.TOTL,Cuba,CUB,11138416,11175465,11212125,11245926,11273363,11292078,11301100,11301674,11296355,11288826,11281768,11276053,11270957
Population (Total),SP.POP.TOTL,Curacao,CUW,133860,128905,128804,131253,133363,136708,140217,143026,144971,145890,149311,150612,152056
Population (Total),SP.POP.TOTL,Cyprus,CYP,943287,961481,979877,998142,1015820,1032586,1048314,1063095,1077089,1090553,1103685,1116513,1128994
Population (Total),SP.POP.TOTL,Czech Republic,CZE,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785
Population (Total),SP.POP.TOTL,Denmark,DNK,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572
Population (Total),SP.POP.TOTL,Djibouti,DJI,722887,733732,744434,755085,765776,776585,787544,798690,810100,821865,834036,846646,859652
Population (Total),SP.POP.TOTL,Dominica,DMA,69679,69660,69806,70058,70325,70542,70690,70795,70883,70996,71167,71401,71684
Population (Total),SP.POP.TOTL,Dominican Republic,DOM,8663421,8799298,8935261,9071318,9207389,9343362,9479269,9615015,9750195,9884265,10016797,10147598,10276621
Population (Total),SP.POP.TOTL,Ecuador,ECU,12533087,12780869,13030041,13279806,13529091,13777131,14023503,14268397,14512402,14756424,15001072,15246481,15492264
Population (Total),SP.POP.TOTL,"Egypt, Arab Rep.",EGY,66136590,67204189,68302914,69432477,70591288,71777678,72990754,74229577,75491922,76775023,78075705,79392466,80721874
Population (Total),SP.POP.TOTL,El Salvador,SLV,5958794,5985299,6008308,6029366,6050297,6072538,6096692,6122952,6151776,6183484,6218195,6256242,6297394
Population (Total),SP.POP.TOTL,Equatorial Guinea,GNQ,518179,534592,551399,568552,585983,603648,621517,639618,658025,676851,696167,715996,736296
Population (Total),SP.POP.TOTL,Eritrea,ERI,3939348,4101609,4281576,4472533,4665522,4854066,5035036,5209846,5382163,5557889,5741159,5932852,6130922
Population (Total),SP.POP.TOTL,Estonia,EST,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1325016
Population (Total),SP.POP.TOTL,Ethiopia,ETH,66024199,67956866,69948344,71989666,74066147,76167240,78290649,80440708,82621190,84838032,87095281,89393063,91728849
Population (Total),SP.POP.TOTL,Faeroe Islands,FRO,46491,47135,47751,48308,48782,49157,49414,49554,49601,49600,49581,49551,49506
Population (Total),SP.POP.TOTL,Fiji,FJI,811647,814700,816237,817224,818995,822484,828060,835392,843851,852479,860559,867921,874742
Population (Total),SP.POP.TOTL,Finland,FIN,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971
Population (Total),SP.POP.TOTL,France,FRA,60911057,61355725,61803229,62242474,62702121,63176246,63617975,64012572,64371099,64702921,65023142,65343588,65676758
Population (Total),SP.POP.TOTL,French Polynesia,PYF,237267,241276,245032,248536,251811,254884,257731,260361,262877,265412,268065,270874,273814
Population (Total),SP.POP.TOTL,Gabon,GAB,1225527,1255299,1285318,1315820,1347125,1379465,1412907,1447388,1482843,1519155,1556222,1594034,1632572
Population (Total),SP.POP.TOTL,"Gambia, The",GMB,1228863,1266691,1306667,1348548,1391934,1436549,1482324,1529406,1577984,1628332,1680640,1734966,1791225
Population (Total),SP.POP.TOTL,Georgia,GEO,4418300,4386400,4357000,4328900,4318300,4361400,4398000,4388400,4383800,4410900,4452800,4483350,4490700
Population (Total),SP.POP.TOTL,Germany,DEU,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,81797673,80425823
Population (Total),SP.POP.TOTL,Ghana,GHA,18825034,19293392,19786307,20301686,20835514,21384034,21947779,22525659,23110139,23691533,24262901,24820706,25366462
Population (Total),SP.POP.TOTL,Greece,GRC,10917482,10951764,10983723,11018324,11055729,11092913,11127947,11163002,11186439,11187085,11153454,11123213,11092771
Population (Total),SP.POP.TOTL,Greenland,GRL,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810
Population (Total),SP.POP.TOTL,Grenada,GRD,101620,101849,102099,102369,102655,102951,103260,103586,103932,104296,104677,105074,105483
Population (Total),SP.POP.TOTL,Guam,GUM,155328,156417,157241,157823,158194,158401,158429,158331,158310,158621,159440,160858,162810
Population (Total),SP.POP.TOTL,Guatemala,GTM,11204183,11478984,11765738,12062835,12367800,12678919,12995374,13317931,13648307,13988988,14341576,14706578,15082831
Population (Total),SP.POP.TOTL,Guinea,GIN,8746128,8895353,9045748,9204581,9379621,9576331,9798963,10046967,10314678,10593248,10876033,11161530,11451273
Population (Total),SP.POP.TOTL,Guinea-Bissau,GNB,1273312,1301748,1330849,1360559,1390791,1421515,1452659,1484337,1516920,1550905,1586624,1624228,1663558
Population (Total),SP.POP.TOTL,Guyana,GUY,744471,747657,750629,753612,756939,760834,765367,770407,775739,781055,786126,790882,795369
Population (Total),SP.POP.TOTL,Haiti,HTI,8578234,8720247,8859635,8996229,9129933,9260879,9388642,9513714,9638255,9765153,9896400,10032864,10173775
Population (Total),SP.POP.TOTL,Honduras,HND,6235561,6365040,6495801,6628171,6762426,6898825,7037428,7178436,7322368,7469844,7621204,7776669,7935846
Population (Total),SP.POP.TOTL,"Hong Kong SAR, China",HKG,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600
Population (Total),SP.POP.TOTL,Hungary,HUN,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362
Population (Total),SP.POP.TOTL,Iceland,ISL,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716
Population (Total),SP.POP.TOTL,India,IND,1042261758,1059500888,1076705723,1093786762,1110626108,1127143548,1143289350,1159095250,1174662334,1190138069,1205624648,1221156319,1236686732
Population (Total),SP.POP.TOTL,Indonesia,IDN,208938698,211970371,215038285,218145617,221293797,224480901,227709821,230972808,234243489,237486894,240676485,243801639,246864191
Population (Total),SP.POP.TOTL,"Iran, Islamic Rep.",IRN,65911052,66857624,67727274,68543171,69342126,70152384,70976584,71809219,72660887,73542954,74462314,75424285,76424443
Population (Total),SP.POP.TOTL,Iraq,IRQ,23801156,24516842,25238267,25959531,26673536,27377045,28064095,28740630,29429829,30163199,30962380,31760020,32578209
Population (Total),SP.POP.TOTL,Ireland,IRL,3805174,3866243,3931947,3996521,4070262,4159914,4274137,4398942,4489544,4535375,4560155,4576794,4586897
Population (Total),SP.POP.TOTL,Isle of Man,IMY,76806,77616,78338,79001,79658,80345,81068,81812,82561,83293,83992,84654,85284
Population (Total),SP.POP.TOTL,Israel,ISR,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500
Population (Total),SP.POP.TOTL,Italy,ITA,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717
Population (Total),SP.POP.TOTL,Jamaica,JAM,2589389,2605556,2615253,2624695,2634145,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805
Population (Total),SP.POP.TOTL,Japan,JPN,126870000,127149000,127445000,127718000,127761000,127773000,127756000,127770750,127704040,127557958,127450459,127817277,127561489
Population (Total),SP.POP.TOTL,Jordan,JOR,4797000,4917000,5038000,5164000,5290000,5411000,5536000,5661000,5786000,5915000,6046000,6181000,6318000
Population (Total),SP.POP.TOTL,Kazakhstan,KAZ,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425
Population (Total),SP.POP.TOTL,Kenya,KEN,31285050,32126351,33000524,33905011,34834606,35785718,36757498,37752304,38773277,39824734,40909194,42027891,43178141
Population (Total),SP.POP.TOTL,Kiribati,KIR,82788,84261,85799,87371,88936,90468,91953,93401,94832,96272,97743,99250,100786
Population (Total),SP.POP.TOTL,"Korea, Dem. Rep.",PRK,22840225,23043449,23248059,23449180,23639303,23813333,23969917,24111989,24243894,24371865,24500520,24631291,24763188
Population (Total),SP.POP.TOTL,"Korea, Rep.",KOR,47008111,47357362,47622179,47859311,48039415,48138077,48371946,48597652,48948698,49182038,49410366,49779440,50004441
Population (Total),SP.POP.TOTL,Kosovo,KSV,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1790957,1807106
Population (Total),SP.POP.TOTL,Kuwait,KWT,1906231,1980604,2048232,2116353,2196466,2296314,2417445,2554920,2702221,2850102,2991580,3124705,3250496
Population (Total),SP.POP.TOTL,Kyrgyz Republic,KGZ,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200
Population (Total),SP.POP.TOTL,Lao PDR,LAO,5388281,5470169,5545245,5619069,5699112,5790646,5895930,6013278,6139127,6267968,6395713,6521314,6645827
Population (Total),SP.POP.TOTL,Latvia,LVA,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319
Population (Total),SP.POP.TOTL,Lebanon,LBN,3235380,3357600,3515604,3690110,3853582,3986865,4079823,4139813,4186088,4246924,4341092,4382790,4424888
Population (Total),SP.POP.TOTL,Lesotho,LSO,1856225,1871500,1885487,1898757,1912022,1925844,1940413,1955784,1972199,1989873,2008921,2029516,2051545
Population (Total),SP.POP.TOTL,Liberia,LBR,2891968,2998770,3070673,3124222,3184643,3269786,3384791,3522294,3672714,3821440,3957990,4079697,4190435
Population (Total),SP.POP.TOTL,Libya,LBY,5176185,5258677,5340389,5422612,5507000,5594450,5686475,5782108,5876805,5964325,6040612,6103233,6154623
Population (Total),SP.POP.TOTL,Liechtenstein,LIE,33093,33475,33821,34141,34445,34740,35028,35308,35582,35851,36120,36388,36656
Population (Total),SP.POP.TOTL,Lithuania,LTU,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773
Population (Total),SP.POP.TOTL,Luxembourg,LUX,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946
Population (Total),SP.POP.TOTL,"Macao SAR, China",MAC,431907,438080,444150,450711,458542,468149,479808,493206,507528,521617,534626,546278,556783
Population (Total),SP.POP.TOTL,"Macedonia, FYR",MKD,2052129,2065098,2074441,2080866,2085728,2090044,2093801,2096620,2098769,2100558,2102216,2103890,2105575
Population (Total),SP.POP.TOTL,Madagascar,MDG,15744811,16235767,16736029,17245275,17763367,18290394,18826126,19371023,19926785,20495695,21079532,21678934,22293914
Population (Total),SP.POP.TOTL,Malawi,MWI,11321496,11623166,11926778,12238739,12569091,12924746,13307535,13713758,14138207,14573338,15013694,15457531,15906483
Population (Total),SP.POP.TOTL,Malaysia,MYS,23420751,23925742,24413795,24890654,25365089,25843466,26327098,26813819,27302348,27790324,28275835,28758968,29239927
Population (Total),SP.POP.TOTL,Maldives,MDV,272745,277825,282743,287594,292505,297576,302825,308239,313843,319660,325694,331964,338442
Population (Total),SP.POP.TOTL,Mali,MLI,10260577,10562768,10882662,11219737,11572936,11941258,12325545,12725629,13138299,13559296,13985961,14416737,14853572
Population (Total),SP.POP.TOTL,Malta,MLT,381363,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,419455
Population (Total),SP.POP.TOTL,Marshall Islands,MHL,52161,52184,52161,52115,52074,52058,52084,52150,52245,52341,52428,52495,52555
Population (Total),SP.POP.TOTL,Mauritania,MRT,2708095,2791403,2877431,2965667,3055425,3146164,3237713,3330037,3422901,3516077,3609420,3702763,3796141
Population (Total),SP.POP.TOTL,Mauritius,MUS,1186873,1199881,1210196,1222811,1233386,1243253,1252698,1260403,1268565,1275032,1280924,1286051,1291167
Population (Total),SP.POP.TOTL,Mexico,MEX,103873607,105339877,106723661,108056312,109381550,110731826,112116694,113529819,114968039,116422752,117886404,119361233,120847477
Population (Total),SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,107430,107170,106983,106816,106575,106198,105686,105097,104498,103983,103619,103424,103395
Population (Total),SP.POP.TOTL,Moldova,MDA,3639592,3631462,3623062,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519
Population (Total),SP.POP.TOTL,Monaco,MCO,32081,32366,32653,32968,33346,33808,34369,35013,35686,36314,36845,37261,37579
Population (Total),SP.POP.TOTL,Mongolia,MNG,2397473,2419669,2443231,2468595,2496248,2526502,2559496,2595068,2632834,2672223,2712738,2754209,2796484
Population (Total),SP.POP.TOTL,Montenegro,MNE,611196,611525,612325,613448,614670,615820,616854,617800,618649,619408,620078,620644,621081
Population (Total),SP.POP.TOTL,Morocco,MAR,28710123,29021156,29311443,29586937,29855820,30125445,30395097,30667086,30955151,31276564,31642360,32059424,32521143
Population (Total),SP.POP.TOTL,Mozambique,MOZ,18275618,18785719,19319894,19873460,20438827,21010376,21587317,22171404,22762525,23361025,23967265,24581367,25203395
Population (Total),SP.POP.TOTL,Myanmar,MMR,48453000,48894203,49261313,49577152,49875169,50181020,50500070,50828959,51174018,51540490,51931231,52350763,52797319
Population (Total),SP.POP.TOTL,Namibia,NAM,1897953,1931282,1958303,1981237,2003320,2027026,2052931,2080700,2110791,2143498,2178967,2217618,2259393
Population (Total),SP.POP.TOTL,Nepal,NPL,23184177,23655119,24102862,24525527,24921910,25292058,25634043,25950022,26249412,26544943,26846016,27156367,27474377
Population (Total),SP.POP.TOTL,Netherlands,NLD,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962
Population (Total),SP.POP.TOTL,New Caledonia,NCL,213230,217324,221490,225735,230068,234393,238459,242400,243985,245580,250000,254000,258000
Population (Total),SP.POP.TOTL,New Zealand,NZL,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4228300,4268900,4315800,4367800,4405200,4433000
Population (Total),SP.POP.TOTL,Nicaragua,NIC,5100920,5176685,5248577,5317878,5386299,5455219,5524927,5595533,5667983,5743329,5822209,5905146,5991733
Population (Total),SP.POP.TOTL,Niger,NER,10989815,11396434,11817297,12254040,12708897,13183798,13679705,14197289,14737895,15302948,15893746,16511462,17157042
Population (Total),SP.POP.TOTL,Nigeria,NGA,122876727,126004992,129224641,132550146,135999250,139585891,143314909,147187353,151208080,155381020,159707780,164192925,168833776
Population (Total),SP.POP.TOTL,Northern Mariana Islands,MNP,68434,68817,68499,67562,66143,64372,62235,59792,57345,55278,53860,53230,53305
Population (Total),SP.POP.TOTL,Norway,NOR,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573
Population (Total),SP.POP.TOTL,Oman,OMN,2192535,2239025,2308409,2389121,2464001,2522325,2554905,2569739,2593523,2663224,2802768,3024774,3314001
Population (Total),SP.POP.TOTL,Pakistan,PAK,143832014,146857081,149693684,152419974,155151394,157971415,160905794,163928329,167008083,170093999,173149306,176166353,179160111
Population (Total),SP.POP.TOTL,Palau,PLW,19174,19404,19575,19700,19805,19907,20012,20118,20228,20344,20470,20606,20754
Population (Total),SP.POP.TOTL,Panama,PAN,3054812,3116409,3178450,3240805,3303335,3365929,3428509,3491034,3553480,3615846,3678128,3740282,3802281
Population (Total),SP.POP.TOTL,Papua New Guinea,PNG,5379226,5518971,5660267,5803302,5948461,6095959,6245797,6397623,6550877,6704829,6858945,7012977,7167010
Population (Total),SP.POP.TOTL,Paraguay,PRY,5350253,5460621,5571371,5682350,5793330,5904170,6014781,6125285,6236005,6347383,6459721,6573097,6687361
Population (Total),SP.POP.TOTL,Peru,PER,26000080,26372358,26729909,27073334,27403845,27723281,28030688,28328410,28625628,28934303,29262830,29614887,29987800
Population (Total),SP.POP.TOTL,Philippines,PHL,77651848,79297756,80953652,82604681,84231329,85821214,87366573,88875548,90371287,91886400,93444322,95053437,96706764
Population (Total),SP.POP.TOTL,Poland,POL,38258629,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38183683,38534157,38535873
Population (Total),SP.POP.TOTL,Portugal,PRT,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844
Population (Total),SP.POP.TOTL,Puerto Rico,PRI,3810605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721208,3686580,3651545
Population (Total),SP.POP.TOTL,Qatar,QAT,593693,611808,629745,660238,720383,821159,967602,1152459,1359114,1564082,1749713,1910902,2050514
Population (Total),SP.POP.TOTL,Romania,ROM,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20076727
Population (Total),SP.POP.TOTL,Russian Federation,RUS,146596870,145976473,145408033,144667468,143821212,143113885,142487260,142114903,141956409,141909244,142385523,142956460,143178000
Population (Total),SP.POP.TOTL,Rwanda,RWA,8395577,8760003,8987523,9126167,9254379,9429457,9660946,9928143,10222961,10529668,10836732,11144315,11457801
Population (Total),SP.POP.TOTL,Samoa,WSM,174614,175567,176592,177677,178794,179928,181073,182240,183444,184704,186029,187429,188889
Population (Total),SP.POP.TOTL,San Marino,SMR,26969,27467,28064,28700,29290,29775,30130,30377,30549,30698,30861,31048,31247
Population (Total),SP.POP.TOTL,Sao Tome and Principe,STP,139428,141783,144447,147455,150842,154615,158806,163390,168253,173240,178228,183177,188098
Population (Total),SP.POP.TOTL,Saudi Arabia,SAU,20144584,20891594,21825217,22852333,23839231,24690067,25371936,25915624,26366358,26796375,27258387,27761728,28287855
Population (Total),SP.POP.TOTL,Senegal,SEN,9861679,10119118,10390050,10673535,10967568,11270826,11582925,11904974,12238791,12586827,12950564,13330737,13726021
Population (Total),SP.POP.TOTL,Serbia,SRB,7516346,7503433,7500031,7480591,7463157,7440769,7411569,7381579,7350221,7320807,7291436,7234099,7199077
Population (Total),SP.POP.TOTL,Seychelles,SYC,81131,81202,83700,82800,82500,82900,84600,85033,86956,87298,89770,87441,88303
Population (Total),SP.POP.TOTL,Sierra Leone,SLE,4139757,4295667,4493047,4712763,4928175,5119895,5280909,5416015,5532139,5641182,5751976,5865491,5978727
Population (Total),SP.POP.TOTL,Singapore,SGP,4027900,4138000,4176000,4114800,4166700,4265800,4401400,4588600,4839400,4987600,5076700,5183700,5312400
Population (Total),SP.POP.TOTL,Sint Maarten (Dutch part),SXM,30519,31189,32566,33791,35318,36936,38272,39464,40459,39133,37850,38486,39088
Population (Total),SP.POP.TOTL,Slovak Republic,SVK,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579
Population (Total),SP.POP.TOTL,Slovenia,SVN,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159
Population (Total),SP.POP.TOTL,Solomon Islands,SLB,412336,423529,434880,446335,457827,469306,480745,492148,503541,514964,526447,537997,549598
Population (Total),SP.POP.TOTL,Somalia,SOM,7385416,7609265,7825924,8037706,8249965,8466938,8687671,8910851,9140259,9380854,9636173,9907903,10195134
Population (Total),SP.POP.TOTL,South Africa,ZAF,44000000,44909738,45808736,46409243,47019452,47639556,48269753,48910248,49561256,50222996,50895698,51579599,52274945
Population (Total),SP.POP.TOTL,South Sudan,SSD,6652984,6924455,7186820,7449905,7730180,8039351,8376893,8736736,9118386,9520571,9940929,10381110,10837527
Population (Total),SP.POP.TOTL,Spain,ESP,40263216,40756001,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46761264
Population (Total),SP.POP.TOTL,Sri Lanka,LKA,19102000,18797000,18921000,19173000,19435000,19644000,19858000,20039000,20217000,20450000,20653000,20869000,20328000
Population (Total),SP.POP.TOTL,St. Kitts and Nevis,KNA,45544,46214,46934,47679,48421,49139,49823,50478,51110,51731,52352,52971,53584
Population (Total),SP.POP.TOTL,St. Lucia,LCA,156949,158650,160217,161766,163460,165407,167658,170149,172734,175200,177397,179271,180870
Population (Total),SP.POP.TOTL,St. Martin (French part),MAF,28384,27782,27450,27363,27514,27906,28414,28905,29376,29820,30235,30615,30959
Population (Total),SP.POP.TOTL,St. Vincent and the Grenadines,VCT,107897,107989,108150,108353,108562,108749,108908,109045,109158,109249,109316,109357,109373
