"CC","Country","Year","Survey","Topic","Table","Indicator","By-Variable","Category","Characteristic","Precision","Value"
"BJ","Benin",2001,"2001 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"BJ","Benin",2001,"2001 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"BJ","Benin",2001,"2001 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"BJ","Benin",2001,"2001 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,21.8
"BJ","Benin",1996,"1996 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.2
"BJ","Benin",1996,"1996 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"BJ","Benin",1996,"1996 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"BJ","Benin",1996,"1996 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"BJ","Benin",1996,"1996 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"BJ","Benin",1996,"1996 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,22.8
"BT","Botswana",1988,"1988 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"BT","Botswana",1988,"1988 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"BT","Botswana",1988,"1988 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"BT","Botswana",1988,"1988 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"BT","Botswana",1988,"1988 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,17.8
"BF","Burkina Faso",2010,"2010 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.6
"BF","Burkina Faso",2010,"2010 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.9
"BF","Burkina Faso",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"BF","Burkina Faso",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"BF","Burkina Faso",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"BF","Burkina Faso",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"BF","Burkina Faso",2010,"2010 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,23.8
"BF","Burkina Faso",2003,"2003 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.7
"BF","Burkina Faso",2003,"2003 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98.4
"BF","Burkina Faso",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"BF","Burkina Faso",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"BF","Burkina Faso",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"BF","Burkina Faso",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"BF","Burkina Faso",2003,"2003 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,24.5
"BF","Burkina Faso",1999,"1998-99 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.3
"BF","Burkina Faso",1999,"1998-99 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98.5
"BF","Burkina Faso",1999,"1998-99 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"BF","Burkina Faso",1999,"1998-99 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"BF","Burkina Faso",1999,"1998-99 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"BF","Burkina Faso",1999,"1998-99 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"BF","Burkina Faso",1999,"1998-99 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,25.8
"BF","Burkina Faso",1993,"1993 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.4
"BF","Burkina Faso",1993,"1993 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98.3
"BF","Burkina Faso",1993,"1993 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"BF","Burkina Faso",1993,"1993 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"BF","Burkina Faso",1993,"1993 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"BF","Burkina Faso",1993,"1993 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"BF","Burkina Faso",1993,"1993 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,25.2
"BU","Burundi",2010,"2010 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.5
"BU","Burundi",2010,"2010 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98.1
"BU","Burundi",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"BU","Burundi",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"BU","Burundi",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"BU","Burundi",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"BU","Burundi",2010,"2010 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,22.4
"BU","Burundi",1987,"1987 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"BU","Burundi",1987,"1987 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"BU","Burundi",1987,"1987 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"BU","Burundi",1987,"1987 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"BU","Burundi",1987,"1987 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,23.8
"CM","Cameroon",2011,"2011 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,96.8
"CM","Cameroon",2011,"2011 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,96.3
"CM","Cameroon",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"CM","Cameroon",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"CM","Cameroon",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"CM","Cameroon",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"CM","Cameroon",2011,"2011 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,16.5
"CM","Cameroon",2004,"2004 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,95.2
"CM","Cameroon",2004,"2004 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,93.6
"CM","Cameroon",2004,"2004 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"CM","Cameroon",2004,"2004 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"CM","Cameroon",2004,"2004 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"CM","Cameroon",2004,"2004 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"CM","Cameroon",2004,"2004 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,17.4
"CM","Cameroon",1998,"1998 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.3
"CM","Cameroon",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"CM","Cameroon",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"CM","Cameroon",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"CM","Cameroon",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"CM","Cameroon",1998,"1998 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,18.1
"CM","Cameroon",1991,"1991 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97
"CM","Cameroon",1991,"1991 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.2
"CM","Cameroon",1991,"1991 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"CM","Cameroon",1991,"1991 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"CM","Cameroon",1991,"1991 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"CM","Cameroon",1991,"1991 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"CM","Cameroon",1991,"1991 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,17.4
"CV","Cape Verde",1998,"1998 RHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"CV","Cape Verde",1998,"1998 RHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"CV","Cape Verde",1998,"1998 RHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"CV","Cape Verde",1998,"1998 RHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"CF","Central African Republic",1994,"1994-95 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.9
"CF","Central African Republic",1994,"1994-95 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"CF","Central African Republic",1994,"1994-95 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"CF","Central African Republic",1994,"1994-95 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"CF","Central African Republic",1994,"1994-95 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"CF","Central African Republic",1994,"1994-95 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.6
"TD","Chad",2004,"2004 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.5
"TD","Chad",2004,"2004 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98.4
"TD","Chad",2004,"2004 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,21.3
"TD","Chad",1997,"1996-97 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.3
"TD","Chad",1997,"1996-97 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98.1
"TD","Chad",1997,"1996-97 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"TD","Chad",1997,"1996-97 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"TD","Chad",1997,"1996-97 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"TD","Chad",1997,"1996-97 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"TD","Chad",1997,"1996-97 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,21.4
"KM","Comoros",2012,"2012 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,89.6
"KM","Comoros",2012,"2012 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,86.6
"KM","Comoros",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"KM","Comoros",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"KM","Comoros",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"KM","Comoros",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"KM","Comoros",2012,"2012 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,19
"KM","Comoros",1996,"1996 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.2
"KM","Comoros",1996,"1996 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"KM","Comoros",1996,"1996 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"KM","Comoros",1996,"1996 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"KM","Comoros",1996,"1996 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"KM","Comoros",1996,"1996 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.1
"CG","Congo (Brazzaville)",2005,"2005 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,94.5
"CG","Congo (Brazzaville)",2005,"2005 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,93.7
"CG","Congo (Brazzaville)",2005,"2005 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,17.4
"CD","Congo Democratic Republic",2007,"2007 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,96.5
"CD","Congo Democratic Republic",2007,"2007 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,95.3
"CD","Congo Democratic Republic",2007,"2007 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"CD","Congo Democratic Republic",2007,"2007 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"CD","Congo Democratic Republic",2007,"2007 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"CD","Congo Democratic Republic",2007,"2007 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"CD","Congo Democratic Republic",2007,"2007 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,21
"CI","Cote d'Ivoire",2012,"2011-12 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,94.7
"CI","Cote d'Ivoire",2012,"2011-12 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,93.5
"CI","Cote d'Ivoire",2012,"2011-12 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"CI","Cote d'Ivoire",2012,"2011-12 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"CI","Cote d'Ivoire",2012,"2011-12 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"CI","Cote d'Ivoire",2012,"2011-12 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"CI","Cote d'Ivoire",2012,"2011-12 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,18.9
"CI","Cote d'Ivoire",1998,"1998-99 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.4
"CI","Cote d'Ivoire",1998,"1998-99 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,96.6
"CI","Cote d'Ivoire",1998,"1998-99 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"CI","Cote d'Ivoire",1998,"1998-99 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"CI","Cote d'Ivoire",1998,"1998-99 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"CI","Cote d'Ivoire",1998,"1998-99 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"CI","Cote d'Ivoire",1998,"1998-99 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.5
"CI","Cote d'Ivoire",1994,"1994 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.7
"CI","Cote d'Ivoire",1994,"1994 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"CI","Cote d'Ivoire",1994,"1994 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"CI","Cote d'Ivoire",1994,"1994 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"CI","Cote d'Ivoire",1994,"1994 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"CI","Cote d'Ivoire",1994,"1994 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.3
"ER","Eritrea",2002,"2002 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.2
"ER","Eritrea",2002,"2002 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98
"ER","Eritrea",2002,"2002 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"ER","Eritrea",2002,"2002 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"ER","Eritrea",2002,"2002 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"ER","Eritrea",2002,"2002 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"ER","Eritrea",2002,"2002 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,21.8
"ER","Eritrea",1995,"1995 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.7
"ER","Eritrea",1995,"1995 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"ER","Eritrea",1995,"1995 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"ER","Eritrea",1995,"1995 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"ER","Eritrea",1995,"1995 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"ER","Eritrea",1995,"1995 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,22
"ET","Ethiopia",2011,"2011 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,96.4
"ET","Ethiopia",2011,"2011 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,96.4
"ET","Ethiopia",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"ET","Ethiopia",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"ET","Ethiopia",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"ET","Ethiopia",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"ET","Ethiopia",2011,"2011 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,25.2
"ET","Ethiopia",2005,"2005 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,96.6
"ET","Ethiopia",2005,"2005 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,96
"ET","Ethiopia",2005,"2005 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,25.8
"ET","Ethiopia",2000,"2000 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,96.4
"ET","Ethiopia",2000,"2000 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,96.3
"ET","Ethiopia",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"ET","Ethiopia",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"ET","Ethiopia",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"ET","Ethiopia",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"ET","Ethiopia",2000,"2000 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,25.5
"GA","Gabon",2012,"2012 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,90.9
"GA","Gabon",2012,"2012 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,91.8
"GA","Gabon",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"GA","Gabon",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"GA","Gabon",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"GA","Gabon",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"GA","Gabon",2012,"2012 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,11.3
"GA","Gabon",2000,"2000 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,86.3
"GA","Gabon",2000,"2000 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,86.2
"GA","Gabon",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"GA","Gabon",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"GA","Gabon",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"GA","Gabon",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"GA","Gabon",2000,"2000 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,12.1
"GH","Ghana",2008,"2008 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.4
"GH","Ghana",2008,"2008 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.5
"GH","Ghana",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"GH","Ghana",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"GH","Ghana",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"GH","Ghana",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"GH","Ghana",2008,"2008 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.2
"GH","Ghana",2003,"2003 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.5
"GH","Ghana",2003,"2003 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97
"GH","Ghana",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
