country,SK_2011_SOFI,CV_2011_SOFI,skewlog_applied_2011
Sweden,0.614,0.202,0
Switzerland,0.613,0.202,0
Syrian Arab Republic,0.824,0.268,0
Tajikistan,0.719,0.347,1
Thailand,0.833,0.271,1
The former Yugoslav Republic of Macedonia,0.663,0.217,0
Timor Leste,0.847,0.275,0
Togo,0.910,0.295,0
Trinidad and Tobago,0.815,0.265,0
Tunisia,0.669,0.219,0
Turkey,0.811,0.264,0
Turkmenistan,0.725,0.237,0
Uganda,0.990,0.327,1
Ukraine,0.645,0.212,0
United Arab Emirates,0.655,0.215,0
United Kingdom,0.614,0.202,0
United Republic of Tanzania,0.990,0.338,1
United States of America,0.614,0.202,0
Uruguay,0.633,0.208,0
Uzbekistan,0.686,0.225,0
Vanuatu,0.876,0.284,0
Venezuela (Bolivarian Republic of),0.709,0.232,0
Vietnam,0.460,0.272,1
Yemen,0.890,0.289,0
Zambia,0.920,0.298,0
Zimbabwe,0.978,0.316,0
,,,
,,,
