"CC","Country","Year","Survey","Topic","Table","Indicator","By-Variable","Category","Characteristic","Precision","Value"
"ET","Ethiopia",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20.2
"ET","Ethiopia",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156.9
"ET","Ethiopia",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20.2
"ET","Ethiopia",2000,"2000 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156.5
"ET","Ethiopia",2000,"2000 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,19.9
"GA","Gabon",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,159.7
"GA","Gabon",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,25.2
"GA","Gabon",2000,"2000 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.9
"GA","Gabon",2000,"2000 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,23.5
"GH","Ghana",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,159.1
"GH","Ghana",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,23.5
"GH","Ghana",2003,"2003 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.9
"GH","Ghana",2003,"2003 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,23
"GH","Ghana",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.7
"GH","Ghana",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.1
"GH","Ghana",1993,"1993 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.6
"GH","Ghana",1993,"1993 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.7
"GN","Guinea",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,159.5
"GN","Guinea",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.3
"GN","Guinea",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.8
"GN","Guinea",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.7
"GN","Guinea",1999,"1999 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.8
"GN","Guinea",1999,"1999 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.7
"KE","Kenya",2008,"2008-09 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,159.5
"KE","Kenya",2008,"2008-09 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.6
"KE","Kenya",2003,"2003 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,159.9
"KE","Kenya",2003,"2003 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.4
"KE","Kenya",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,160
"KE","Kenya",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.9
"KE","Kenya",1993,"1993 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,159.2
"KE","Kenya",1993,"1993 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22
"LS","Lesotho",2009,"2009 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,157.2
"LS","Lesotho",2009,"2009 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,25.4
"LS","Lesotho",2004,"2004 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,157.5
"LS","Lesotho",2004,"2004 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,25.1
"LB","Liberia",2007,"2007 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,157
"LB","Liberia",2007,"2007 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.3
"MD","Madagascar",2008,"2008-09 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,153.1
"MD","Madagascar",2008,"2008-09 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20.1
"MD","Madagascar",2004,"2003-04 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,153.3
"MD","Madagascar",2004,"2003-04 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20.5
"MD","Madagascar",1997,"1997 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,152.9
"MD","Madagascar",1997,"1997 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20.4
"MW","Malawi",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156.4
"MW","Malawi",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.4
"MW","Malawi",2004,"2004 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156
"MW","Malawi",2004,"2004 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.9
"MW","Malawi",2000,"2000 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,155.9
"MW","Malawi",2000,"2000 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.9
"MW","Malawi",1992,"1992 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156
"MW","Malawi",1992,"1992 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.5
"ML","Mali",2006,"2006 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,161.3
"ML","Mali",2006,"2006 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.1
"ML","Mali",2001,"2001 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,161.5
"ML","Mali",2001,"2001 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.9
"ML","Mali",1996,"1995-96 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,161.4
"ML","Mali",1996,"1995-96 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.1
"MR","Mauritania",2000,"2000-01 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,161
"MR","Mauritania",2000,"2000-01 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,25.1
"MZ","Mozambique",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,155
"MZ","Mozambique",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.2
"MZ","Mozambique",2003,"2003 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,155
"MZ","Mozambique",2003,"2003 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22
"MZ","Mozambique",1997,"1997 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,155.3
"MZ","Mozambique",1997,"1997 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.6
"NM","Namibia",2006,"2006-07 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,160.7
"NM","Namibia",2006,"2006-07 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,23.5
"NM","Namibia",1992,"1992 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,160.7
"NM","Namibia",1992,"1992 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.6
"NI","Niger",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,160.4
"NI","Niger",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.1
"NI","Niger",2006,"2006 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,159.8
"NI","Niger",2006,"2006 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.6
"NI","Niger",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,160.2
"NI","Niger",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20.7
"NI","Niger",1992,"1992 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,160.2
"NI","Niger",1992,"1992 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20.8
"NG","Nigeria",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.4
"NG","Nigeria",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,23
"NG","Nigeria",2003,"2003 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.3
"NG","Nigeria",2003,"2003 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.5
"NG","Nigeria",1999,"1999 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.9
"NG","Nigeria",1999,"1999 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.8
"RW","Rwanda",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156.6
"RW","Rwanda",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.5
"RW","Rwanda",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,157.3
"RW","Rwanda",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22
"RW","Rwanda",2000,"2000 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,157.8
"RW","Rwanda",2000,"2000 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.2
"ST","Sao Tome and Principe",2008,"2008-09 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,159.6
"ST","Sao Tome and Principe",2008,"2008-09 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,24.7
"SN","Senegal",2010,"2010-11 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,163.5
"SN","Senegal",2010,"2010-11 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.3
"SN","Senegal",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,163
"SN","Senegal",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.6
"SN","Senegal",1993,"1992-93 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,162.4
"SN","Senegal",1993,"1992-93 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.9
"SL","Sierra Leone",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156
"SL","Sierra Leone",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,23.3
"SZ","Swaziland",2006,"2006-07 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.9
"SZ","Swaziland",2006,"2006-07 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,26.5
"TZ","Tanzania",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156.3
"TZ","Tanzania",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.5
"TZ","Tanzania",2004,"2004-05 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156.8
"TZ","Tanzania",2004,"2004-05 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.2
"TZ","Tanzania",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156.4
"TZ","Tanzania",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22
"TZ","Tanzania",1992,"1991-92 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,155.9
"TZ","Tanzania",1992,"1991-92 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.7
"TG","Togo",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.7
"TG","Togo",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.6
"UG","Uganda",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.9
"UG","Uganda",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.2
"UG","Uganda",2006,"2006 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.7
"UG","Uganda",2006,"2006 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22
"UG","Uganda",2000,"2000-01 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.2
"UG","Uganda",2000,"2000-01 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.7
"UG","Uganda",1995,"1995 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.3
"UG","Uganda",1995,"1995 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.5
"ZM","Zambia",2007,"2007 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,157.5
"ZM","Zambia",2007,"2007 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.4
"ZM","Zambia",2002,"2001-02 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,157.8
"ZM","Zambia",2002,"2001-02 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.5
"ZM","Zambia",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.1
"ZM","Zambia",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.9
"ZM","Zambia",1992,"1992 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.1
"ZM","Zambia",1992,"1992 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.8
"ZW","Zimbabwe",2010,"2010-11 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,160
"ZW","Zimbabwe",2010,"2010-11 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,23.6
"ZW","Zimbabwe",2005,"2005-06 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,160
"ZW","Zimbabwe",2005,"2005-06 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.9
