GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,Display Value,Numeric,Low,High,order,Comments
NCD_BMI_MEAN,PUBLISHED,1980,WPR,PLW,AGE20-PLUS,MLE,25.5 [22.5-28.4],25.5,22.5,28.4,902,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,PRY,AGE20-PLUS,MLE,23.4 [20.5-26.3],23.4,20.5,26.3,923,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,POL,AGE20-PLUS,MLE,25.0 [23.9-26.2],25,23.9,26.2,944,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,ROU,AGE20-PLUS,MLE,24.6 [23.0-26.1],24.6,23,26.1,966,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,KNA,AGE20-PLUS,MLE,25.0 [22.7-27.3],25,22.7,27.3,987,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,WSM,AGE20-PLUS,MLE,25.8 [24.3-27.3],25.8,24.3,27.3,1007,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,SEN,AGE20-PLUS,MLE,20.2 [18.4-22.1],20.2,18.4,22.1,1030,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,SDN,AGE20-PLUS,MLE,20.7 [18.1-23.3],20.7,18.1,23.3,1119,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,SWE,AGE20-PLUS,MLE,24.7 [23.7-25.7],24.7,23.7,25.7,1140,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,TJK,AGE20-PLUS,MLE,24.0 [21.2-26.9],24,21.2,26.9,1162,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,GMB,AGE20-PLUS,MLE,19.9 [18.1-21.7],19.9,18.1,21.7,1182,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,TTO,AGE20-PLUS,MLE,24.7 [22.9-26.6],24.7,22.9,26.6,1204,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,TKM,AGE20-PLUS,MLE,24.3 [21.4-27.1],24.3,21.4,27.1,1226,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,GBR,AGE20-PLUS,MLE,24.7 [23.8-25.5],24.7,23.8,25.5,1246,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,URY,AGE20-PLUS,MLE,24.2 [21.9-26.5],24.2,21.9,26.5,1267,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,VEN,AGE20-PLUS,MLE,24.6 [22.4-26.8],24.6,22.4,26.8,1288,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,AUS,AGE20-PLUS,FMLE,23.6 [22.7-24.4],23.6,22.7,24.4,1378,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,BHS,AGE20-PLUS,FMLE,25.4 [22.0-28.8],25.4,22,28.8,1400,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,BRB,AGE20-PLUS,FMLE,26.4 [24.5-28.4],26.4,24.5,28.4,1420,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,BLZ,AGE20-PLUS,FMLE,25.3 [22.3-28.1],25.3,22.3,28.1,1440,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,BOL,AGE20-PLUS,FMLE,23.6 [21.2-26.1],23.6,21.2,26.1,1463,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,BRA,AGE20-PLUS,FMLE,24.1 [22.5-25.8],24.1,22.5,25.8,1484,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,BFA,AGE20-PLUS,FMLE,19.3 [17.2-21.4],19.3,17.2,21.4,1505,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,CMR,AGE20-PLUS,FMLE,21.5 [19.2-23.9],21.5,19.2,23.9,1527,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,CAF,AGE20-PLUS,FMLE,19.9 [17.5-22.3],19.9,17.5,22.3,1547,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,CHN,AGE20-PLUS,FMLE,21.9 [21.1-22.7],21.9,21.1,22.7,1568,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,CYP,AGE20-PLUS,FMLE,23.8 [21.3-26.2],23.8,21.3,26.2,1638,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,DJI,AGE20-PLUS,FMLE,21.9 [18.5-25.3],21.9,18.5,25.3,1659,
NCD_BMI_MEAN,PUBLISHED,1980,SEAR,TLS,AGE20-PLUS,FMLE,19.5 [16.0-22.9],19.5,16,22.9,1679,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,SLV,AGE20-PLUS,FMLE,23.6 [20.7-26.4],23.6,20.7,26.4,1702,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,EST,AGE20-PLUS,FMLE,26.0 [24.0-28.0],26,24,28,1722,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,FIN,AGE20-PLUS,FMLE,25.0 [23.9-26.1],25,23.9,26.1,1743,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,GEO,AGE20-PLUS,FMLE,25.8 [22.1-29.4],25.8,22.1,29.4,1765,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,GRC,AGE20-PLUS,FMLE,24.1 [21.6-26.5],24.1,21.6,26.5,1785,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,GIN,AGE20-PLUS,FMLE,20.4 [18.0-22.9],20.4,18,22.9,1805,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,HTI,AGE20-PLUS,FMLE,20.4 [18.2-22.7],20.4,18.2,22.7,1828,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,JOR,AGE20-PLUS,FMLE,27.4 [25.0-29.6],27.4,25,29.6,1917,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,KIR,AGE20-PLUS,FMLE,25.8 [22.7-29.1],25.8,22.7,29.1,1939,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,LAO,AGE20-PLUS,FMLE,19.6 [16.8-22.5],19.6,16.8,22.5,1959,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,LSO,AGE20-PLUS,FMLE,25.1 [22.8-27.6],25.1,22.8,27.6,1979,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,LTU,AGE20-PLUS,FMLE,27.0 [25.1-28.9],27,25.1,28.9,2002,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,MDG,AGE20-PLUS,FMLE,20.2 [18.0-22.5],20.2,18,22.5,2023,
NCD_BMI_MEAN,PUBLISHED,1980,SEAR,MDV,AGE20-PLUS,FMLE,21.7 [19.1-24.2],21.7,19.1,24.2,2043,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,DZA,AGE20-PLUS,MLE,22.2 [20.2-24.2],22.2,20.2,24.2,2059,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,ATG,AGE20-PLUS,MLE,23.3 [20.7-25.9],23.3,20.7,25.9,2081,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,AUS,AGE20-PLUS,MLE,24.9 [24.2-25.5],24.9,24.2,25.5,2101,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,BHS,AGE20-PLUS,MLE,24.2 [21.6-26.9],24.2,21.6,26.9,2124,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,BRB,AGE20-PLUS,MLE,24.4 [22.9-25.9],24.4,22.9,25.9,2145,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,BLZ,AGE20-PLUS,MLE,24.3 [22.1-26.4],24.3,22.1,26.4,2167,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,BOL,AGE20-PLUS,MLE,22.9 [20.1-25.9],22.9,20.1,25.9,2189,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,BRA,AGE20-PLUS,MLE,22.6 [21.3-24.0],22.6,21.3,24,2210,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,COL,AGE20-PLUS,MLE,22.1 [20.2-23.8],22.1,20.2,23.8,2298,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,COD,AGE20-PLUS,MLE,20.7 [17.5-24.0],20.7,17.5,24,2318,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,CIV,AGE20-PLUS,MLE,21.1 [18.8-23.5],21.1,18.8,23.5,2340,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,CYP,AGE20-PLUS,MLE,25.2 [23.3-27.0],25.2,23.3,27,2361,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,DJI,AGE20-PLUS,MLE,21.2 [18.6-23.9],21.2,18.6,23.9,2382,
NCD_BMI_MEAN,PUBLISHED,1980,SEAR,TLS,AGE20-PLUS,MLE,19.9 [17.3-22.6],19.9,17.3,22.6,2403,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,SLV,AGE20-PLUS,MLE,23.7 [21.3-26.1],23.7,21.3,26.1,2424,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,EST,AGE20-PLUS,MLE,24.6 [23.1-26.2],24.6,23.1,26.2,2446,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,AFG,AGE20-PLUS,MLE,21.4 [18.7-24.2],21.4,18.7,24.2,2455,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,AND,AGE20-PLUS,MLE,25.7 [23.3-28.1],25.7,23.3,28.1,2476,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,BEL,AGE20-PLUS,MLE,25.1 [24.4-25.8],25.1,24.4,25.8,2564,
NCD_BMI_MEAN,PUBLISHED,1980,SEAR,BTN,AGE20-PLUS,MLE,21.6 [19.1-24.2],21.6,19.1,24.2,2585,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,BWA,AGE20-PLUS,MLE,19.5 [17.2-22.0],19.5,17.2,22,2606,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,BGR,AGE20-PLUS,MLE,25.1 [23.2-26.9],25.1,23.2,26.9,2627,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,KHM,AGE20-PLUS,MLE,19.9 [17.7-22.0],19.9,17.7,22,2648,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,CPV,AGE20-PLUS,MLE,20.6 [18.4-22.8],20.6,18.4,22.8,2670,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,CHL,AGE20-PLUS,MLE,24.4 [22.5-26.4],24.4,22.5,26.4,2691,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,COM,AGE20-PLUS,MLE,21.0 [18.3-23.5],21,18.3,23.5,2714,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,COK,AGE20-PLUS,MLE,26.2 [23.7-28.6],26.2,23.7,28.6,2735,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,HRV,AGE20-PLUS,MLE,25.1 [23.3-27.1],25.1,23.3,27.1,2757,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,EGY,AGE20-PLUS,MLE,24.1 [22.1-26.1],24.1,22.1,26.1,2824,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,ERI,AGE20-PLUS,MLE,19.8 [17.5-22.1],19.8,17.5,22.1,2845,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,ALB,AGE20-PLUS,MLE,25.0 [22.8-27.2],25,22.8,27.2,2871,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,AGO,AGE20-PLUS,MLE,20.9 [17.5-24.5],20.9,17.5,24.5,2894,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,ARM,AGE20-PLUS,MLE,23.8 [21.4-26.2],23.8,21.4,26.2,2914,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,AZE,AGE20-PLUS,MLE,24.4 [22.0-26.8],24.4,22,26.8,2934,
NCD_BMI_MEAN,PUBLISHED,1980,SEAR,BGD,AGE20-PLUS,MLE,20.5 [18.4-22.5],20.5,18.4,22.5,2956,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,BFA,AGE20-PLUS,MLE,20.0 [17.5-22.4],20,17.5,22.4,3046,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,CMR,AGE20-PLUS,MLE,21.8 [19.6-24.0],21.8,19.6,24,3068,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,CAF,AGE20-PLUS,MLE,20.9 [17.5-24.6],20.9,17.5,24.6,3089,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,CHN,AGE20-PLUS,MLE,21.6 [21.0-22.2],21.6,21,22.2,3109,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,COG,AGE20-PLUS,MLE,20.6 [17.7-23.8],20.6,17.7,23.8,3131,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,CRI,AGE20-PLUS,MLE,23.7 [21.4-25.9],23.7,21.4,25.9,3152,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,CUB,AGE20-PLUS,MLE,22.6 [21.6-23.8],22.6,21.6,23.8,3172,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,DNK,AGE20-PLUS,MLE,24.6 [23.4-25.7],24.6,23.4,25.7,3194,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,DOM,AGE20-PLUS,MLE,22.9 [21.3-24.6],22.9,21.3,24.6,3215,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,FJI,AGE20-PLUS,MLE,22.3 [20.0-24.9],22.3,20,24.9,3275,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,GAB,AGE20-PLUS,MLE,22.4 [19.2-25.9],22.4,19.2,25.9,3297,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,GHA,AGE20-PLUS,MLE,21.0 [18.9-23.1],21,18.9,23.1,3317,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,GTM,AGE20-PLUS,MLE,23.1 [20.8-25.3],23.1,20.8,25.3,3339,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,GUY,AGE20-PLUS,MLE,22.5 [19.9-25.2],22.5,19.9,25.2,3360,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,HUN,AGE20-PLUS,MLE,25.2 [24.2-26.2],25.2,24.2,26.2,3381,
NCD_BMI_MEAN,PUBLISHED,1980,SEAR,IDN,AGE20-PLUS,MLE,19.9 [18.5-21.3],19.9,18.5,21.3,3402,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,IRL,AGE20-PLUS,MLE,25.8 [24.3-27.3],25.8,24.3,27.3,3424,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,LBN,AGE20-PLUS,MLE,23.9 [22.0-25.6],23.9,22,25.6,3514,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,LBY,AGE20-PLUS,MLE,24.3 [22.4-26.3],24.3,22.4,26.3,3534,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,MKD,AGE20-PLUS,MLE,25.2 [22.7-27.7],25.2,22.7,27.7,3556,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,MYS,AGE20-PLUS,MLE,21.6 [19.7-23.4],21.6,19.7,23.4,3577,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,MLT,AGE20-PLUS,MLE,25.6 [24.2-27.0],25.6,24.2,27,3598,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,MUS,AGE20-PLUS,MLE,22.0 [20.8-23.2],22,20.8,23.2,3619,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,MDA,AGE20-PLUS,MLE,24.6 [21.9-27.3],24.6,21.9,27.3,3640,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,MAR,AGE20-PLUS,MLE,22.3 [20.4-24.2],22.3,20.4,24.2,3662,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,MHL,AGE20-PLUS,FMLE,25.3 [22.1-28.5],25.3,22.1,28.5,3701,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,MEX,AGE20-PLUS,FMLE,24.5 [22.5-26.4],24.5,22.5,26.4,3721,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,NIC,AGE20-PLUS,FMLE,24.4 [21.9-26.8],24.4,21.9,26.8,3812,
NCD_BMI_MEAN,PUBLISHED,1980,SEAR,PRK,AGE20-PLUS,FMLE,22.0 [18.5-25.5],22,18.5,25.5,3834,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,PAK,AGE20-PLUS,FMLE,21.9 [19.9-23.8],21.9,19.9,23.8,3854,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,PNG,AGE20-PLUS,FMLE,20.8 [18.3-23.2],20.8,18.3,23.2,3875,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,PHL,AGE20-PLUS,FMLE,21.2 [19.2-23.2],21.2,19.2,23.2,3896,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,QAT,AGE20-PLUS,FMLE,27.1 [24.3-30.1],27.1,24.3,30.1,3917,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,RWA,AGE20-PLUS,FMLE,20.4 [17.8-23.1],20.4,17.8,23.1,3939,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,VCT,AGE20-PLUS,FMLE,23.7 [20.4-27.0],23.7,20.4,27,3960,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,SAU,AGE20-PLUS,FMLE,26.3 [24.7-27.9],26.3,24.7,27.9,3980,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,SYC,AGE20-PLUS,FMLE,24.6 [22.9-26.3],24.6,22.9,26.3,4003,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,GEO,AGE20-PLUS,MLE,24.6 [21.8-27.4],24.6,21.8,27.4,4123,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,GRC,AGE20-PLUS,MLE,24.7 [23.2-26.3],24.7,23.2,26.3,4145,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,GIN,AGE20-PLUS,MLE,21.1 [18.4-23.9],21.1,18.4,23.9,4165,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,HTI,AGE20-PLUS,MLE,22.7 [20.2-25.3],22.7,20.2,25.3,4186,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,ISL,AGE20-PLUS,MLE,24.8 [23.6-26.0],24.8,23.6,26,4208,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,IRN,AGE20-PLUS,MLE,23.1 [21.1-25.3],23.1,21.1,25.3,4229,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,ISR,AGE20-PLUS,MLE,24.7 [23.3-26.1],24.7,23.3,26.1,4250,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,JPN,AGE20-PLUS,MLE,22.1 [21.3-22.8],22.1,21.3,22.8,4271,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,KEN,AGE20-PLUS,MLE,20.2 [18.5-22.0],20.2,18.5,22,4291,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,KGZ,AGE20-PLUS,MLE,24.3 [22.3-26.3],24.3,22.3,26.3,4313,
NCD_BMI_MEAN,PUBLISHED,1980,SEAR,MDV,AGE20-PLUS,MLE,20.4 [18.0-23.0],20.4,18,23,4404,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,MHL,AGE20-PLUS,MLE,24.7 [22.3-27.1],24.7,22.3,27.1,4424,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,MEX,AGE20-PLUS,MLE,24.5 [22.5-26.3],24.5,22.5,26.3,4446,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,MNG,AGE20-PLUS,MLE,23.4 [21.0-25.7],23.4,21,25.7,4466,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,MOZ,AGE20-PLUS,MLE,20.4 [18.2-22.5],20.4,18.2,22.5,4487,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,NRU,AGE20-PLUS,MLE,28.1 [25.1-30.9],28.1,25.1,30.9,4510,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,NZL,AGE20-PLUS,MLE,25.2 [23.9-26.7],25.2,23.9,26.7,4530,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,NGA,AGE20-PLUS,MLE,21.0 [19.5-22.5],21,19.5,22.5,4551,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,OMN,AGE20-PLUS,MLE,23.0 [21.5-24.5],23,21.5,24.5,4573,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,RWA,AGE20-PLUS,MLE,21.7 [18.5-24.7],21.7,18.5,24.7,4662,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,VCT,AGE20-PLUS,MLE,23.0 [20.4-25.5],23,20.4,25.5,4685,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,SAU,AGE20-PLUS,MLE,25.0 [23.8-26.3],25,23.8,26.3,4705,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,SYC,AGE20-PLUS,MLE,22.2 [20.8-23.6],22.2,20.8,23.6,4725,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,SVK,AGE20-PLUS,MLE,25.4 [22.9-27.9],25.4,22.9,27.9,4747,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,SOM,AGE20-PLUS,MLE,21.0 [18.3-23.6],21,18.3,23.6,4768,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,ESP,AGE20-PLUS,MLE,25.3 [24.1-26.5],25.3,24.1,26.5,4788,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,SUR,AGE20-PLUS,MLE,23.1 [20.6-25.7],23.1,20.6,25.7,4810,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,CHE,AGE20-PLUS,MLE,25.1 [23.9-26.4],25.1,23.9,26.4,4830,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,TZA,AGE20-PLUS,MLE,21.2 [19.2-23.2],21.2,19.2,23.2,4851,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,NAM,AGE20-PLUS,MLE,21.1 [18.9-23.3],21.1,18.9,23.3,4909,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,PAN,AGE20-PLUS,MLE,23.5 [21.3-25.8],23.5,21.3,25.8,4998,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,PER,AGE20-PLUS,MLE,23.0 [20.4-25.7],23,20.4,25.7,5020,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,PRT,AGE20-PLUS,MLE,25.0 [23.4-26.5],25,23.4,26.5,5042,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,RUS,AGE20-PLUS,MLE,25.0 [23.9-26.2],25,23.9,26.2,5063,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,LCA,AGE20-PLUS,MLE,22.8 [20.7-24.9],22.8,20.7,24.9,5084,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,STP,AGE20-PLUS,MLE,21.2 [19.0-23.5],21.2,19,23.5,5106,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,SRB,AGE20-PLUS,MLE,25.6 [24.1-27.0],25.6,24.1,27,5126,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,SGP,AGE20-PLUS,MLE,22.6 [21.6-23.5],22.6,21.6,23.5,5148,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,SLB,AGE20-PLUS,MLE,24.0 [21.6-26.4],24,21.6,26.4,5169,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,KOR,AGE20-PLUS,MLE,22.0 [20.7-23.4],22,20.7,23.4,5190,
