"","CC","Country","Year","Survey","Topic","Table","Indicator","By.Variable","Category","Characteristic","Precision","Value"
"46","MZ","Mozambique",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.2
"48","NM","Namibia",2006,"2006-07 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23.5
"50","NI","Niger",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.1
"52","NG","Nigeria",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23
"54","RW","Rwanda",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.5
"56","ST","Sao Tome and Principe",2008,"2008-09 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,24.7
"58","SN","Senegal",2010,"2010-11 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.3
"60","SL","Sierra Leone",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23.3
"62","SZ","Swaziland",2006,"2006-07 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,26.5
"64","TZ","Tanzania",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.5
"66","TG","Togo",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,21.6
"68","UG","Uganda",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.2
"70","ZM","Zambia",2007,"2007 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.4
"72","ZW","Zimbabwe",2010,"2010-11 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23.6
"74","AL","Albania",2008,"2008-09 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,24.8
"76","AM","Armenia",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23.7
"78","AZ","Azerbaijan",2006,"2006 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,24.8
"80","EG","Egypt",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,27.8
"82","JO","Jordan",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,27.7
"84","MB","Moldova",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,24.2
"86","MA","Morocco",2003,"2003-04 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,24.9
"88","TR","Turkey",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,26
"90","YE","Yemen",1997,"1997 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,21.2
"92","KK","Kazakhstan",1999,"1999 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.9
"94","KY","Kyrgyz Republic",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,24
"96","TJ","Tajikistan",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23.1
"98","TM","Turkmenistan",2000,"2000 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23
"100","UZ","Uzbekistan",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.5
"102","BD","Bangladesh",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,20.8
"104","KH","Cambodia",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,21
"106","IA","India",2006,"2005-06 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,19.9
"108","MV","Maldives",2009,"2009 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,24.4
"110","NP","Nepal",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,21
"112","PK","Pakistan",2012,"2012-13 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23.6
"114","TL","Timor-Leste",2009,"2009-10 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,20.5
"116","BO","Bolivia",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,25.9
"118","BR","Brazil",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,24
"120","CO","Colombia",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,25
"122","DR","Dominican Republic",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,24.2
"124","EC","Ecuador",2004,"2004 RHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,25.8
"126","ES","El Salvador",2002,"2002-03 RHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,26.1
"128","GU","Guatemala",2002,"2002 RHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,25.2
"130","GY","Guyana",2009,"2009 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,25.5
"132","HT","Haiti",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23
"134","HN","Honduras",2011,"2011-12 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,26
"136","NC","Nicaragua",2001,"2001 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,25.3
"138","PE","Peru",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,26.5
