"","CC","Country","Year","Survey","Topic","Table","Indicator","By.Variable","Category","Characteristic","Precision","Value"
"93","KY","Kyrgyz Republic",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,159.4
"95","TJ","Tajikistan",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,158.4
"97","TM","Turkmenistan",2000,"2000 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,159.2
"99","UZ","Uzbekistan",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,159.1
"101","BD","Bangladesh",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,150.9
"103","KH","Cambodia",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,152.9
"105","IA","India",2006,"2005-06 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,151.7
"107","MV","Maldives",2009,"2009 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,152
"109","NP","Nepal",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,151.1
"111","PK","Pakistan",2012,"2012-13 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,154.5
"113","TL","Timor-Leste",2009,"2009-10 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,150.7
"115","BO","Bolivia",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,151.6
"117","BR","Brazil",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,156.3
"119","CO","Colombia",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,155.9
"121","DR","Dominican Republic",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,156.7
"123","EC","Ecuador",2004,"2004 RHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,151.2
"125","ES","El Salvador",2002,"2002-03 RHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,152.3
"127","GU","Guatemala",2002,"2002 RHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,149.2
"129","GY","Guyana",2009,"2009 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,156.6
"131","HT","Haiti",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,159.4
"133","HN","Honduras",2011,"2011-12 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,153
"135","NC","Nicaragua",2001,"2001 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,153.7
"137","PE","Peru",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean",NA,"Total","Total",1,151.7
