Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
RL,Land,35,Cabo Verde,5110,Area,6610,Agricultural area,2011,1000 Ha,75,Fm,Manual Estimation
RL,Land,36,Cayman Islands,5110,Area,6610,Agricultural area,2011,1000 Ha,2.7,Fm,Manual Estimation
RL,Land,37,Central African Republic,5110,Area,6610,Agricultural area,2011,1000 Ha,5080,Fm,Manual Estimation
RL,Land,38,Sri Lanka,5110,Area,6610,Agricultural area,2011,1000 Ha,2730,Fm,Manual Estimation
RL,Land,39,Chad,5110,Area,6610,Agricultural area,2011,1000 Ha,49932,Fm,Manual Estimation
RL,Land,40,Chile,5110,Area,6610,Agricultural area,2011,1000 Ha,15759.4,Fm,Manual Estimation
RL,Land,41,"China, mainland",5110,Area,6610,Agricultural area,2011,1000 Ha,514553,Fm,Manual Estimation
RL,Land,44,Colombia,5110,Area,6610,Agricultural area,2011,1000 Ha,41721,Q,Official data reported on FAO Questionnaires from countries
RL,Land,45,Comoros,5110,Area,6610,Agricultural area,2011,1000 Ha,157,Fm,Manual Estimation
RL,Land,46,Congo,5110,Area,6610,Agricultural area,2011,1000 Ha,10596,Fm,Manual Estimation
RL,Land,47,Cook Islands,5110,Area,6610,Agricultural area,2011,1000 Ha,2,Fm,Manual Estimation
RL,Land,48,Costa Rica,5110,Area,6610,Agricultural area,2011,1000 Ha,1890,Fm,Manual Estimation
RL,Land,49,Cuba,5110,Area,6610,Agricultural area,2011,1000 Ha,6408,Q,Official data reported on FAO Questionnaires from countries
RL,Land,50,Cyprus,5110,Area,6610,Agricultural area,2011,1000 Ha,123.9,Q,Official data reported on FAO Questionnaires from countries
RL,Land,52,Azerbaijan,5110,Area,6610,Agricultural area,2011,1000 Ha,4768.7,Q,Official data reported on FAO Questionnaires from countries
RL,Land,53,Benin,5110,Area,6610,Agricultural area,2011,1000 Ha,3530,Fm,Manual Estimation
RL,Land,54,Denmark,5110,Area,6610,Agricultural area,2011,1000 Ha,2690,Q,Official data reported on FAO Questionnaires from countries
RL,Land,55,Dominica,5110,Area,6610,Agricultural area,2011,1000 Ha,26,Fm,Manual Estimation
RL,Land,56,Dominican Republic,5110,Area,6610,Agricultural area,2011,1000 Ha,2487,Fm,Manual Estimation
RL,Land,57,Belarus,5110,Area,6610,Agricultural area,2011,1000 Ha,8875,Q,Official data reported on FAO Questionnaires from countries
RL,Land,58,Ecuador,5110,Area,6610,Agricultural area,2011,1000 Ha,7346.1,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,59,Egypt,5110,Area,6610,Agricultural area,2011,1000 Ha,3620,Q,Official data reported on FAO Questionnaires from countries
RL,Land,60,El Salvador,5110,Area,6610,Agricultural area,2011,1000 Ha,1548,Fm,Manual Estimation
RL,Land,61,Equatorial Guinea,5110,Area,6610,Agricultural area,2011,1000 Ha,284,Fm,Manual Estimation
RL,Land,63,Estonia,5110,Area,6610,Agricultural area,2011,1000 Ha,945,Q,Official data reported on FAO Questionnaires from countries
RL,Land,64,Faroe Islands,5110,Area,6610,Agricultural area,2011,1000 Ha,3,Fm,Manual Estimation
RL,Land,65,Falkland Islands (Malvinas),5110,Area,6610,Agricultural area,2011,1000 Ha,1125,Fm,Manual Estimation
RL,Land,66,Fiji,5110,Area,6610,Agricultural area,2011,1000 Ha,425,Fm,Manual Estimation
RL,Land,67,Finland,5110,Area,6610,Agricultural area,2011,1000 Ha,2286.6,Q,Official data reported on FAO Questionnaires from countries
RL,Land,68,France,5110,Area,6610,Agricultural area,2011,1000 Ha,28852.5,Q,Official data reported on FAO Questionnaires from countries
RL,Land,69,French Guiana,5110,Area,6610,Agricultural area,2011,1000 Ha,23.1,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,70,French Polynesia,5110,Area,6610,Agricultural area,2011,1000 Ha,45.5,Fm,Manual Estimation
RL,Land,72,Djibouti,5110,Area,6610,Agricultural area,2011,1000 Ha,1702,Fm,Manual Estimation
RL,Land,73,Georgia,5110,Area,6610,Agricultural area,2011,1000 Ha,2467.4,Fm,Manual Estimation
RL,Land,74,Gabon,5110,Area,6610,Agricultural area,2011,1000 Ha,5160,Fm,Manual Estimation
RL,Land,75,Gambia,5110,Area,6610,Agricultural area,2011,1000 Ha,615,Fm,Manual Estimation
RL,Land,79,Germany,5110,Area,6610,Agricultural area,2011,1000 Ha,16719,Q,Official data reported on FAO Questionnaires from countries
RL,Land,80,Bosnia and Herzegovina,5110,Area,6610,Agricultural area,2011,1000 Ha,2151,Q,Official data reported on FAO Questionnaires from countries
RL,Land,81,Ghana,5110,Area,6610,Agricultural area,2011,1000 Ha,15720,Fm,Manual Estimation
RL,Land,83,Kiribati,5110,Area,6610,Agricultural area,2011,1000 Ha,34,Fm,Manual Estimation
RL,Land,84,Greece,5110,Area,6610,Agricultural area,2011,1000 Ha,8169,Fm,Manual Estimation
RL,Land,85,Greenland,5110,Area,6610,Agricultural area,2011,1000 Ha,235.9,Fm,Manual Estimation
RL,Land,86,Grenada,5110,Area,6610,Agricultural area,2011,1000 Ha,11,Fm,Manual Estimation
RL,Land,87,Guadeloupe,5110,Area,6610,Agricultural area,2011,1000 Ha,42,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,88,Guam,5110,Area,6610,Agricultural area,2011,1000 Ha,18,Fm,Manual Estimation
RL,Land,89,Guatemala,5110,Area,6610,Agricultural area,2011,1000 Ha,4418,Fm,Manual Estimation
RL,Land,90,Guinea,5110,Area,6610,Agricultural area,2011,1000 Ha,14300,Fm,Manual Estimation
RL,Land,91,Guyana,5110,Area,6610,Agricultural area,2011,1000 Ha,1678,Fm,Manual Estimation
RL,Land,93,Haiti,5110,Area,6610,Agricultural area,2011,1000 Ha,1830,Fm,Manual Estimation
RL,Land,95,Honduras,5110,Area,6610,Agricultural area,2011,1000 Ha,3230,Fm,Manual Estimation
RL,Land,96,"China, Hong Kong SAR",5110,Area,6610,Agricultural area,2011,1000 Ha,5.5,Fm,Manual Estimation
RL,Land,97,Hungary,5110,Area,6610,Agricultural area,2011,1000 Ha,5337,Q,Official data reported on FAO Questionnaires from countries
RL,Land,98,Croatia,5110,Area,6610,Agricultural area,2011,1000 Ha,1326.1,Q,Official data reported on FAO Questionnaires from countries
RL,Land,99,Iceland,5110,Area,6610,Agricultural area,2011,1000 Ha,1873.2,Fm,Manual Estimation
RL,Land,100,India,5110,Area,6610,Agricultural area,2011,1000 Ha,179675,Q,Official data reported on FAO Questionnaires from countries
RL,Land,101,Indonesia,5110,Area,6610,Agricultural area,2011,1000 Ha,56500,Fm,Manual Estimation
RL,Land,102,Iran (Islamic Republic of),5110,Area,6610,Agricultural area,2011,1000 Ha,48910,Fm,Manual Estimation
RL,Land,103,Iraq,5110,Area,6610,Agricultural area,2011,1000 Ha,7880,Fm,Manual Estimation
RL,Land,104,Ireland,5110,Area,6610,Agricultural area,2011,1000 Ha,4555,Q,Official data reported on FAO Questionnaires from countries
RL,Land,105,Israel,5110,Area,6610,Agricultural area,2011,1000 Ha,514,Fm,Manual Estimation
RL,Land,106,Italy,5110,Area,6610,Agricultural area,2011,1000 Ha,13852.6,Fm,Manual Estimation
RL,Land,107,Côte d'Ivoire,5110,Area,6610,Agricultural area,2011,1000 Ha,20600,Fm,Manual Estimation
RL,Land,108,Kazakhstan,5110,Area,6610,Agricultural area,2011,1000 Ha,209110,Fm,Manual Estimation
RL,Land,109,Jamaica,5110,Area,6610,Agricultural area,2011,1000 Ha,449,Fm,Manual Estimation
RL,Land,110,Japan,5110,Area,6610,Agricultural area,2011,1000 Ha,4561,Q,Official data reported on FAO Questionnaires from countries
RL,Land,112,Jordan,5110,Area,6610,Agricultural area,2011,1000 Ha,1002.6,Q,Official data reported on FAO Questionnaires from countries
RL,Land,113,Kyrgyzstan,5110,Area,6610,Agricultural area,2011,1000 Ha,10608.5,Q,Official data reported on FAO Questionnaires from countries
RL,Land,114,Kenya,5110,Area,6610,Agricultural area,2011,1000 Ha,27430,Fm,Manual Estimation
RL,Land,115,Cambodia,5110,Area,6610,Agricultural area,2011,1000 Ha,5655,Fm,Manual Estimation
RL,Land,116,Democratic People's Republic of Korea,5110,Area,6610,Agricultural area,2011,1000 Ha,2630,Fm,Manual Estimation
RL,Land,117,Republic of Korea,5110,Area,6610,Agricultural area,2011,1000 Ha,1756,Fm,Manual Estimation
RL,Land,118,Kuwait,5110,Area,6610,Agricultural area,2011,1000 Ha,152.5,Fm,Manual Estimation
RL,Land,119,Latvia,5110,Area,6610,Agricultural area,2011,1000 Ha,1816,Q,Official data reported on FAO Questionnaires from countries
RL,Land,120,Lao People's Democratic Republic,5110,Area,6610,Agricultural area,2011,1000 Ha,2446.5,Fm,Manual Estimation
RL,Land,121,Lebanon,5110,Area,6610,Agricultural area,2011,1000 Ha,648,Fm,Manual Estimation
RL,Land,122,Lesotho,5110,Area,6610,Agricultural area,2011,1000 Ha,2312,Fm,Manual Estimation
RL,Land,123,Liberia,5110,Area,6610,Agricultural area,2011,1000 Ha,2705,Fm,Manual Estimation
RL,Land,124,Libya,5110,Area,6610,Agricultural area,2011,1000 Ha,15351,Fm,Manual Estimation
RL,Land,125,Liechtenstein,5110,Area,6610,Agricultural area,2011,1000 Ha,6,Fm,Manual Estimation
RL,Land,126,Lithuania,5110,Area,6610,Agricultural area,2011,1000 Ha,2805.9,Q,Official data reported on FAO Questionnaires from countries
RL,Land,127,Marshall Islands,5110,Area,6610,Agricultural area,2011,1000 Ha,13,Fm,Manual Estimation
RL,Land,129,Madagascar,5110,Area,6610,Agricultural area,2011,1000 Ha,41395,Fm,Manual Estimation
RL,Land,130,Malawi,5110,Area,6610,Agricultural area,2011,1000 Ha,5585,Fm,Manual Estimation
RL,Land,131,Malaysia,5110,Area,6610,Agricultural area,2011,1000 Ha,7627.3,Fm,Manual Estimation
RL,Land,132,Maldives,5110,Area,6610,Agricultural area,2011,1000 Ha,7,Fm,Manual Estimation
RL,Land,133,Mali,5110,Area,6610,Agricultural area,2011,1000 Ha,41651,Fm,Manual Estimation
RL,Land,134,Malta,5110,Area,6610,Agricultural area,2011,1000 Ha,10.33,Q,Official data reported on FAO Questionnaires from countries
RL,Land,135,Martinique,5110,Area,6610,Agricultural area,2011,1000 Ha,26.9,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,136,Mauritania,5110,Area,6610,Agricultural area,2011,1000 Ha,39661,Fm,Manual Estimation
RL,Land,137,Mauritius,5110,Area,6610,Agricultural area,2011,1000 Ha,89,Fm,Manual Estimation
RL,Land,138,Mexico,5110,Area,6610,Agricultural area,2011,1000 Ha,106705,Fm,Manual Estimation
RL,Land,141,Mongolia,5110,Area,6610,Agricultural area,2011,1000 Ha,113507,Q,Official data reported on FAO Questionnaires from countries
RL,Land,142,Montserrat,5110,Area,6610,Agricultural area,2011,1000 Ha,3,Fm,Manual Estimation
RL,Land,143,Morocco,5110,Area,6610,Agricultural area,2011,1000 Ha,30103.8,Fm,Manual Estimation
RL,Land,144,Mozambique,5110,Area,6610,Agricultural area,2011,1000 Ha,49950,Fm,Manual Estimation
RL,Land,145,Micronesia (Federated States of),5110,Area,6610,Agricultural area,2011,1000 Ha,22,Fm,Manual Estimation
RL,Land,146,Republic of Moldova,5110,Area,6610,Agricultural area,2011,1000 Ha,2462,Fm,Manual Estimation
RL,Land,147,Namibia,5110,Area,6610,Agricultural area,2011,1000 Ha,38809,Fm,Manual Estimation
RL,Land,148,Nauru,5110,Area,6610,Agricultural area,2011,1000 Ha,0.4,Fm,Manual Estimation
RL,Land,149,Nepal,5110,Area,6610,Agricultural area,2011,1000 Ha,4126.6,Fm,Manual Estimation
RL,Land,150,Netherlands,5110,Area,6610,Agricultural area,2011,1000 Ha,1858.4,Q,Official data reported on FAO Questionnaires from countries
RL,Land,153,New Caledonia,5110,Area,6610,Agricultural area,2011,1000 Ha,190.3,Fm,Manual Estimation
RL,Land,154,The former Yugoslav Republic of Macedonia,5110,Area,6610,Agricultural area,2011,1000 Ha,1118,Q,Official data reported on FAO Questionnaires from countries
RL,Land,155,Vanuatu,5110,Area,6610,Agricultural area,2011,1000 Ha,187,Fm,Manual Estimation
RL,Land,156,New Zealand,5110,Area,6610,Agricultural area,2011,1000 Ha,11371,Q,Official data reported on FAO Questionnaires from countries
RL,Land,157,Nicaragua,5110,Area,6610,Agricultural area,2011,1000 Ha,5070.9,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,158,Niger,5110,Area,6610,Agricultural area,2011,1000 Ha,44482,Fm,Manual Estimation
RL,Land,159,Nigeria,5110,Area,6610,Agricultural area,2011,1000 Ha,71000,Fm,Manual Estimation
RL,Land,160,Niue,5110,Area,6610,Agricultural area,2011,1000 Ha,5,Fm,Manual Estimation
RL,Land,161,Norfolk Island,5110,Area,6610,Agricultural area,2011,1000 Ha,1,Fm,Manual Estimation
RL,Land,162,Norway,5110,Area,6610,Agricultural area,2011,1000 Ha,999.4,Q,Official data reported on FAO Questionnaires from countries
RL,Land,163,Northern Mariana Islands,5110,Area,6610,Agricultural area,2011,1000 Ha,3,Fm,Manual Estimation
RL,Land,165,Pakistan,5110,Area,6610,Agricultural area,2011,1000 Ha,27100,Fm,Manual Estimation
RL,Land,166,Panama,5110,Area,6610,Agricultural area,2011,1000 Ha,2267,Fm,Manual Estimation
RL,Land,167,Czech Republic,5110,Area,6610,Agricultural area,2011,1000 Ha,4229,Q,Official data reported on FAO Questionnaires from countries
RL,Land,168,Papua New Guinea,5110,Area,6610,Agricultural area,2011,1000 Ha,1190,Fm,Manual Estimation
RL,Land,169,Paraguay,5110,Area,6610,Agricultural area,2011,1000 Ha,21390,Fm,Manual Estimation
RL,Land,170,Peru,5110,Area,6610,Agricultural area,2011,1000 Ha,24104,Fm,Manual Estimation
RL,Land,171,Philippines,5110,Area,6610,Agricultural area,2011,1000 Ha,12230,Fm,Manual Estimation
RL,Land,173,Poland,5110,Area,6610,Agricultural area,2011,1000 Ha,14779,Q,Official data reported on FAO Questionnaires from countries
RL,Land,174,Portugal,5110,Area,6610,Agricultural area,2011,1000 Ha,3636,Fm,Manual Estimation
RL,Land,175,Guinea-Bissau,5110,Area,6610,Agricultural area,2011,1000 Ha,1630,Fm,Manual Estimation
RL,Land,176,Timor-Leste,5110,Area,6610,Agricultural area,2011,1000 Ha,373,Fm,Manual Estimation
RL,Land,177,Puerto Rico,5110,Area,6610,Agricultural area,2011,1000 Ha,195.3,Fm,Manual Estimation
RL,Land,178,Eritrea,5110,Area,6610,Agricultural area,2011,1000 Ha,7592,Fm,Manual Estimation
RL,Land,179,Qatar,5110,Area,6610,Agricultural area,2011,1000 Ha,65.7,Fm,Manual Estimation
RL,Land,180,Palau,5110,Area,6610,Agricultural area,2011,1000 Ha,5,Fm,Manual Estimation
RL,Land,181,Zimbabwe,5110,Area,6610,Agricultural area,2011,1000 Ha,16400,Fm,Manual Estimation
RL,Land,182,Réunion,5110,Area,6610,Agricultural area,2011,1000 Ha,45.6,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,183,Romania,5110,Area,6610,Agricultural area,2011,1000 Ha,13982,Q,Official data reported on FAO Questionnaires from countries
RL,Land,184,Rwanda,5110,Area,6610,Agricultural area,2011,1000 Ha,1840,Fm,Manual Estimation
RL,Land,185,Russian Federation,5110,Area,6610,Agricultural area,2011,1000 Ha,214650,Fm,Manual Estimation
RL,Land,187,"Saint Helena, Ascension and Tristan da Cunha",5110,Area,6610,Agricultural area,2011,1000 Ha,12,Fm,Manual Estimation
RL,Land,188,Saint Kitts and Nevis,5110,Area,6610,Agricultural area,2011,1000 Ha,6,Q,Official data reported on FAO Questionnaires from countries
RL,Land,189,Saint Lucia,5110,Area,6610,Agricultural area,2011,1000 Ha,10.6,Fm,Manual Estimation
RL,Land,190,Saint Pierre and Miquelon,5110,Area,6610,Agricultural area,2011,1000 Ha,2,Fm,Manual Estimation
RL,Land,191,Saint Vincent and the Grenadines,5110,Area,6610,Agricultural area,2011,1000 Ha,10,Fm,Manual Estimation
RL,Land,192,San Marino,5110,Area,6610,Agricultural area,2011,1000 Ha,1,Fm,Manual Estimation
RL,Land,193,Sao Tome and Principe,5110,Area,6610,Agricultural area,2011,1000 Ha,48.7,Fm,Manual Estimation
RL,Land,194,Saudi Arabia,5110,Area,6610,Agricultural area,2011,1000 Ha,173388,Fm,Manual Estimation
RL,Land,195,Senegal,5110,Area,6610,Agricultural area,2011,1000 Ha,9015,Fm,Manual Estimation
RL,Land,196,Seychelles,5110,Area,6610,Agricultural area,2011,1000 Ha,3,Fm,Manual Estimation
RL,Land,197,Sierra Leone,5110,Area,6610,Agricultural area,2011,1000 Ha,4054.69,Fm,Manual Estimation
RL,Land,198,Slovenia,5110,Area,6610,Agricultural area,2011,1000 Ha,458.5,Q,Official data reported on FAO Questionnaires from countries
RL,Land,199,Slovakia,5110,Area,6610,Agricultural area,2011,1000 Ha,1929.7,Q,Official data reported on FAO Questionnaires from countries
RL,Land,200,Singapore,5110,Area,6610,Agricultural area,2011,1000 Ha,0.73,Fm,Manual Estimation
RL,Land,201,Somalia,5110,Area,6610,Agricultural area,2011,1000 Ha,44129,Fm,Manual Estimation
RL,Land,202,South Africa,5110,Area,6610,Agricultural area,2011,1000 Ha,96374,Fm,Manual Estimation
RL,Land,203,Spain,5110,Area,6610,Agricultural area,2011,1000 Ha,27014,Q,Official data reported on FAO Questionnaires from countries
RL,Land,205,Western Sahara,5110,Area,6610,Agricultural area,2011,1000 Ha,5004,Fm,Manual Estimation
RL,Land,207,Suriname,5110,Area,6610,Agricultural area,2011,1000 Ha,84,Fm,Manual Estimation
RL,Land,208,Tajikistan,5110,Area,6610,Agricultural area,2011,1000 Ha,4855,Fm,Manual Estimation
RL,Land,209,Swaziland,5110,Area,6610,Agricultural area,2011,1000 Ha,1222,Fm,Manual Estimation
RL,Land,210,Sweden,5110,Area,6610,Agricultural area,2011,1000 Ha,3066,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,211,Switzerland,5110,Area,6610,Agricultural area,2011,1000 Ha,1531.6,Q,Official data reported on FAO Questionnaires from countries
RL,Land,212,Syrian Arab Republic,5110,Area,6610,Agricultural area,2011,1000 Ha,13915,Q,Official data reported on FAO Questionnaires from countries
RL,Land,213,Turkmenistan,5110,Area,6610,Agricultural area,2011,1000 Ha,33838,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,214,"China, Taiwan Province of",5110,Area,6610,Agricultural area,2011,1000 Ha,808,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,215,United Republic of Tanzania,5110,Area,6610,Agricultural area,2011,1000 Ha,38700,Fm,Manual Estimation
RL,Land,216,Thailand,5110,Area,6610,Agricultural area,2011,1000 Ha,21060,Fm,Manual Estimation
RL,Land,217,Togo,5110,Area,6610,Agricultural area,2011,1000 Ha,3665,Fm,Manual Estimation
RL,Land,218,Tokelau,5110,Area,6610,Agricultural area,2011,1000 Ha,0.6,Fm,Manual Estimation
RL,Land,219,Tonga,5110,Area,6610,Agricultural area,2011,1000 Ha,31,Fm,Manual Estimation
RL,Land,220,Trinidad and Tobago,5110,Area,6610,Agricultural area,2011,1000 Ha,54,Fm,Manual Estimation
RL,Land,221,Oman,5110,Area,6610,Agricultural area,2011,1000 Ha,1476,Fm,Manual Estimation
RL,Land,222,Tunisia,5110,Area,6610,Agricultural area,2011,1000 Ha,10072,Q,Official data reported on FAO Questionnaires from countries
RL,Land,223,Turkey,5110,Area,6610,Agricultural area,2011,1000 Ha,38247,Q,Official data reported on FAO Questionnaires from countries
RL,Land,224,Turks and Caicos Islands,5110,Area,6610,Agricultural area,2011,1000 Ha,1,Fm,Manual Estimation
RL,Land,225,United Arab Emirates,5110,Area,6610,Agricultural area,2011,1000 Ha,393.5,Fm,Manual Estimation
RL,Land,226,Uganda,5110,Area,6610,Agricultural area,2011,1000 Ha,14212,Fm,Manual Estimation
RL,Land,227,Tuvalu,5110,Area,6610,Agricultural area,2011,1000 Ha,1.8,Fm,Manual Estimation
RL,Land,229,United Kingdom,5110,Area,6610,Agricultural area,2011,1000 Ha,17164,Q,Official data reported on FAO Questionnaires from countries
RL,Land,230,Ukraine,5110,Area,6610,Agricultural area,2011,1000 Ha,41281,Q,Official data reported on FAO Questionnaires from countries
RL,Land,231,United States of America,5110,Area,6610,Agricultural area,2011,1000 Ha,406927.7,Fm,Manual Estimation
RL,Land,233,Burkina Faso,5110,Area,6610,Agricultural area,2011,1000 Ha,11770,Fm,Manual Estimation
RL,Land,234,Uruguay,5110,Area,6610,Agricultural area,2011,1000 Ha,15269,Fm,Manual Estimation
RL,Land,235,Uzbekistan,5110,Area,6610,Agricultural area,2011,1000 Ha,26630,Fm,Manual Estimation
RL,Land,236,Venezuela (Bolivarian Republic of),5110,Area,6610,Agricultural area,2011,1000 Ha,21600,Fm,Manual Estimation
RL,Land,237,Viet Nam,5110,Area,6610,Agricultural area,2011,1000 Ha,10793.3,Fm,Manual Estimation
RL,Land,238,Ethiopia,5110,Area,6610,Agricultural area,2011,1000 Ha,36325.2,Fm,Manual Estimation
RL,Land,239,British Virgin Islands,5110,Area,6610,Agricultural area,2011,1000 Ha,7,Fm,Manual Estimation
RL,Land,240,United States Virgin Islands,5110,Area,6610,Agricultural area,2011,1000 Ha,4,Fm,Manual Estimation
RL,Land,243,Wallis and Futuna Islands,5110,Area,6610,Agricultural area,2011,1000 Ha,6,Fm,Manual Estimation
RL,Land,244,Samoa,5110,Area,6610,Agricultural area,2011,1000 Ha,35,Fm,Manual Estimation
RL,Land,249,Yemen,5110,Area,6610,Agricultural area,2011,1000 Ha,23452,Fm,Manual Estimation
RL,Land,250,Democratic Republic of the Congo,5110,Area,6610,Agricultural area,2011,1000 Ha,25990,Fm,Manual Estimation
RL,Land,251,Zambia,5110,Area,6610,Agricultural area,2011,1000 Ha,23636,Fm,Manual Estimation
RL,Land,255,Belgium,5110,Area,6610,Agricultural area,2011,1000 Ha,1336,Q,Official data reported on FAO Questionnaires from countries
RL,Land,256,Luxembourg,5110,Area,6610,Agricultural area,2011,1000 Ha,131.27,Q,Official data reported on FAO Questionnaires from countries
RL,Land,259,Channel Islands,5110,Area,6610,Agricultural area,2011,1000 Ha,9.6,Fm,Manual Estimation
RL,Land,264,Isle of Man,5110,Area,6610,Agricultural area,2011,1000 Ha,42.57,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,270,Mayotte,5110,Area,6610,Agricultural area,2011,1000 Ha,12.2,Fm,Manual Estimation
RL,Land,272,Serbia,5110,Area,6610,Agricultural area,2011,1000 Ha,5061,Q,Official data reported on FAO Questionnaires from countries
RL,Land,273,Montenegro,5110,Area,6610,Agricultural area,2011,1000 Ha,513,Q,Official data reported on FAO Questionnaires from countries
RL,Land,276,Sudan,5110,Area,6610,Agricultural area,2011,1000 Ha,108678.8,Fm,Manual Estimation
RL,Land,277,South Sudan,5110,Area,6610,Agricultural area,2011,1000 Ha,28533.2,Fm,Manual Estimation
RL,Land,299,Occupied Palestinian Territory,5110,Area,6610,Agricultural area,2011,1000 Ha,260.5,Fm,Manual Estimation
RL,Land,351,China,5110,Area,6610,Agricultural area,2011,1000 Ha,515366.5,Fm,Manual Estimation
RL,Land,5000,World,5110,Area,6610,Agricultural area,2011,1000 Ha,4910709.63,A,"Aggregate, may include official, semi-official or estimated data"
RL,Land,5100,Africa,5110,Area,6610,Agricultural area,2011,1000 Ha,1168796.19,A,"Aggregate, may include official, semi-official or estimated data"
RL,Land,5101,Eastern Africa,5110,Area,6610,Agricultural area,2011,1000 Ha,339619.2,A,"Aggregate, may include official, semi-official or estimated data"
RL,Land,5102,Middle Africa,5110,Area,6610,Agricultural area,2011,1000 Ha,165830.7,A,"Aggregate, may include official, semi-official or estimated data"
RL,Land,5103,Northern Africa,5110,Area,6610,Agricultural area,2011,1000 Ha,214217.6,A,"Aggregate, may include official, semi-official or estimated data"
RL,Land,5104,Southern Africa,5110,Area,6610,Agricultural area,2011,1000 Ha,164643,A,"Aggregate, may include official, semi-official or estimated data"
RL,Land,5105,Western Africa,5110,Area,6610,Agricultural area,2011,1000 Ha,284485.69,A,"Aggregate, may include official, semi-official or estimated data"
