Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
RF,Fertilizers,28,Myanmar,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,116860,Fb,Data obtained as a balance
RF,Fertilizers,29,Burundi,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,2673,Fb,Data obtained as a balance
RF,Fertilizers,32,Cameroon,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,37358,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,33,Canada,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,2395233,Fb,Data obtained as a balance
RF,Fertilizers,38,Sri Lanka,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,209380,Fb,Data obtained as a balance
RF,Fertilizers,40,Chile,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,349959,Fb,Data obtained as a balance
RF,Fertilizers,41,"China, mainland",5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,38126293,Fb,Data obtained as a balance
RF,Fertilizers,44,Colombia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,608745,Fb,Data obtained as a balance
RF,Fertilizers,46,Congo,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1112,Fb,Data obtained as a balance
RF,Fertilizers,47,Cook Islands,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,9,Fb,Data obtained as a balance
RF,Fertilizers,48,Costa Rica,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,85476,Fb,Data obtained as a balance
RF,Fertilizers,49,Cuba,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,73936,Fb,Data obtained as a balance
RF,Fertilizers,50,Cyprus,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,7419,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,52,Azerbaijan,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,22512,Fb,Data obtained as a balance
RF,Fertilizers,53,Benin,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,5086,Fb,Data obtained as a balance
RF,Fertilizers,54,Denmark,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,183151,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,55,Dominica,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,160,Fb,Data obtained as a balance
RF,Fertilizers,56,Dominican Republic,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,39480,Fb,Data obtained as a balance
RF,Fertilizers,57,Belarus,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,601100,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,58,Ecuador,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,178586,Fb,Data obtained as a balance
RF,Fertilizers,59,Egypt,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1344990,Fb,Data obtained as a balance
RF,Fertilizers,60,El Salvador,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,82652,Fb,Data obtained as a balance
RF,Fertilizers,63,Estonia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,29803,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,66,Fiji,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,4101,Fb,Data obtained as a balance
RF,Fertilizers,67,Finland,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,200898,Fb,Data obtained as a balance
RF,Fertilizers,68,France,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1944450,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,70,French Polynesia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,349,Fb,Data obtained as a balance
RF,Fertilizers,73,Georgia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,2707,Z,"When the Fertilizer Utilization Account  (FUA)  does not balance due to utilization from stockpiles, apparent consumption has been set to zero"
RF,Fertilizers,74,Gabon,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,840,Fb,Data obtained as a balance
RF,Fertilizers,75,Gambia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,2628,Fb,Data obtained as a balance
RF,Fertilizers,79,Germany,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1640414,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,80,Bosnia and Herzegovina,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,96813,Fb,Data obtained as a balance
RF,Fertilizers,81,Ghana,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,10735,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,84,Greece,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,165820,Fb,Data obtained as a balance
RF,Fertilizers,89,Guatemala,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,180502,Fb,Data obtained as a balance
RF,Fertilizers,90,Guinea,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,6284,Fb,Data obtained as a balance
RF,Fertilizers,91,Guyana,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,6373,Fb,Data obtained as a balance
RF,Fertilizers,95,Honduras,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,83377,Fb,Data obtained as a balance
RF,Fertilizers,96,"China, Hong Kong SAR",5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,2376,Fb,Data obtained as a balance
RF,Fertilizers,97,Hungary,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,303445,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,98,Croatia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,147317,Fb,Data obtained as a balance
RF,Fertilizers,99,Iceland,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,8670,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,100,India,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,17323415,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,101,Indonesia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,2933822,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,102,Iran (Islamic Republic of),5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,244208,Fb,Data obtained as a balance
RF,Fertilizers,103,Iraq,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,138340,Fb,Data obtained as a balance
RF,Fertilizers,104,Ireland,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,296536,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,105,Israel,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,64300,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,106,Italy,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,516543,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,107,Côte d'Ivoire,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,25543,Fb,Data obtained as a balance
RF,Fertilizers,108,Kazakhstan,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,23900,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,109,Jamaica,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,4729,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,110,Japan,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,439801,Fb,Data obtained as a balance
RF,Fertilizers,112,Jordan,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,32808,Fb,Data obtained as a balance
RF,Fertilizers,113,Kyrgyzstan,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,25930,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,114,Kenya,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,111969,Fb,Data obtained as a balance
RF,Fertilizers,115,Cambodia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,33388,Fb,Data obtained as a balance
RF,Fertilizers,117,Republic of Korea,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,220061,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,118,Kuwait,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,5620,Fb,Data obtained as a balance
RF,Fertilizers,119,Latvia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,61875,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,121,Lebanon,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,16900,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,124,Libya,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,42187,Fb,Data obtained as a balance
RF,Fertilizers,126,Lithuania,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,52682,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,127,Marshall Islands,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,0,NV,Not available
RF,Fertilizers,128,"China, Macao SAR",5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,2,Fb,Data obtained as a balance
RF,Fertilizers,129,Madagascar,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,5755,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,130,Malawi,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,84938,Fb,Data obtained as a balance
RF,Fertilizers,131,Malaysia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,803354,Fb,Data obtained as a balance
RF,Fertilizers,132,Maldives,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,134,Fb,Data obtained as a balance
RF,Fertilizers,133,Mali,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,110299,Fb,Data obtained as a balance
RF,Fertilizers,134,Malta,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,394,Fb,Data obtained as a balance
RF,Fertilizers,137,Mauritius,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,7745,Fb,Data obtained as a balance
RF,Fertilizers,138,Mexico,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1454471,Fb,Data obtained as a balance
RF,Fertilizers,141,Mongolia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,13933,Fb,Data obtained as a balance
RF,Fertilizers,143,Morocco,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,180889,Fb,Data obtained as a balance
RF,Fertilizers,144,Mozambique,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,32590,Fb,Data obtained as a balance
RF,Fertilizers,146,Republic of Moldova,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,19208,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,147,Namibia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,4866,Fb,Data obtained as a balance
RF,Fertilizers,149,Nepal,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,53473,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,150,Netherlands,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,212312,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,153,New Caledonia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,686,Fb,Data obtained as a balance
RF,Fertilizers,154,The former Yugoslav Republic of Macedonia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,18143,P,Provisional official data
RF,Fertilizers,156,New Zealand,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,290277,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,157,Nicaragua,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,54979,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,158,Niger,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,3813,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,159,Nigeria,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,115770,Fb,Data obtained as a balance
RF,Fertilizers,162,Norway,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,96496,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,165,Pakistan,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,3193021,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,166,Panama,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,24152,Fb,Data obtained as a balance
RF,Fertilizers,167,Czech Republic,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,248024,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,168,Papua New Guinea,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,11561,Fb,Data obtained as a balance
RF,Fertilizers,169,Paraguay,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,100585,Fb,Data obtained as a balance
RF,Fertilizers,170,Peru,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,251242,Fb,Data obtained as a balance
RF,Fertilizers,171,Philippines,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,499586,Fb,Data obtained as a balance
RF,Fertilizers,173,Poland,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1094700,Fb,Data obtained as a balance
RF,Fertilizers,174,Portugal,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,98329,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,178,Eritrea,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,563,Fb,Data obtained as a balance
RF,Fertilizers,179,Qatar,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,143060,Fb,Data obtained as a balance
RF,Fertilizers,181,Zimbabwe,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,65763,Fb,Data obtained as a balance
RF,Fertilizers,183,Romania,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,313333,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,184,Rwanda,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,77,Fb,Data obtained as a balance
RF,Fertilizers,185,Russian Federation,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1262820,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,188,Saint Kitts and Nevis,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,24,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,189,Saint Lucia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,155,Fb,Data obtained as a balance
RF,Fertilizers,194,Saudi Arabia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,265650,Fb,Data obtained as a balance
RF,Fertilizers,195,Senegal,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,21097,Fb,Data obtained as a balance
RF,Fertilizers,196,Seychelles,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,30,Fb,Data obtained as a balance
RF,Fertilizers,198,Slovenia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,27118,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,199,Slovakia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,101004,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,200,Singapore,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,2541,Fb,Data obtained as a balance
RF,Fertilizers,202,South Africa,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,419000,E,Expert sources from FAO (including other divisions)
RF,Fertilizers,203,Spain,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,846700,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,207,Suriname,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,9242,Fb,Data obtained as a balance
RF,Fertilizers,208,Tajikistan,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,50483,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,210,Sweden,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,169800,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,211,Switzerland,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,46878,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,212,Syrian Arab Republic,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,131890,Fb,Data obtained as a balance
RF,Fertilizers,214,"China, Taiwan Province of",5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,162115,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,215,United Republic of Tanzania,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,56887,Fb,Data obtained as a balance
RF,Fertilizers,216,Thailand,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1532041,Fb,Data obtained as a balance
RF,Fertilizers,217,Togo,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,13308,Fb,Data obtained as a balance
RF,Fertilizers,219,Tonga,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,612,Fb,Data obtained as a balance
RF,Fertilizers,220,Trinidad and Tobago,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,0,Z,"When the Fertilizer Utilization Account  (FUA)  does not balance due to utilization from stockpiles, apparent consumption has been set to zero"
RF,Fertilizers,221,Oman,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,17360,Fb,Data obtained as a balance
RF,Fertilizers,222,Tunisia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,58777,Fb,Data obtained as a balance
RF,Fertilizers,223,Turkey,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1458492,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,225,United Arab Emirates,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,24570,Fb,Data obtained as a balance
RF,Fertilizers,226,Uganda,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,7609,Fb,Data obtained as a balance
RF,Fertilizers,229,United Kingdom,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1000000,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,230,Ukraine,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,898880,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,231,United States of America,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,11825687,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,233,Burkina Faso,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,29705,Fb,Data obtained as a balance
RF,Fertilizers,234,Uruguay,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,141136,Fb,Data obtained as a balance
