"","ItemName","AreaName","ElementName","Value","CO2RR","CO2SE","note","cal","proteinCO2","protein.cal.CO2","CO2.SE.weighted"
"604","Apples and products","China, mainland","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"626","Apples and products","Western Africa","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"631","Apples and products","Cabo Verde","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"633","Apples and products","Mauritius","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"643","Apples and products","Philippines","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"645","Apples and products","Cambodia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"675","Apples and products","Bulgaria","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"677","Apples and products","Nicaragua","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"678","Apples and products","Jamaica","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"680","Apples and products","Guyana","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"683","Apples and products","Nepal","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"685","Apples and products","Algeria","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"696","Apples and products","Polynesia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"700","Apples and products","Australia & New Zealand","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"706","Apples and products","South-Eastern Asia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"715","Apples and products","Kenya","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"719","Apples and products","Iraq","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"729","Apples and products","Maldives","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"730","Apples and products","Caribbean","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"733","Apples and products","Barbados","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"734","Apples and products","Finland","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"740","Apples and products","Armenia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"745","Apples and products","Israel","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"750","Apples and products","Lithuania","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"751","Apples and products","Sri Lanka","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"752","Apples and products","Zimbabwe","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"755","Apples and products","Uruguay","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"757","Apples and products","Small Island Developing States","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"760","Apples and products","Swaziland","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"767","Apples and products","Afghanistan","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"775","Apples and products","Trinidad and Tobago","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"779","Apples and products","Kazakhstan","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"787","Apples and products","Slovenia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"790","Apples and products","Georgia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"796","Apples and products","Czech Republic","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"797","Apples and products","Switzerland","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"801","Apples and products","Syrian Arab Republic","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"807","Apples and products","Mexico","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"809","Apples and products","Zambia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"818","Apples and products","New Zealand","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"820","Apples and products","Pakistan","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"829","Apples and products","El Salvador","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"830","Apples and products","Slovakia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"833","Apples and products","Togo","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"835","Apples and products","Belgium","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"839","Apples and products","Romania","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"840","Apples and products","Botswana","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"845","Apples and products","Melanesia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"846","Apples and products","Nigeria","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"853","Apples and products","Côte d'Ivoire","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"854","Apples and products","Mongolia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"856","Apples and products","New Caledonia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"857","Apples and products","Peru","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"860","Apples and products","Lao People's Democratic Republic","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"862","Apples and products","Kyrgyzstan","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"865","Apples and products","Malta","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"867","Apples and products","European Union","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"873","Apples and products","Turkmenistan","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"874","Apples and products","Netherlands","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"875","Apples and products","Europe","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"876","Apples and products","Bolivia (Plurinational State of)","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"879","Apples and products","Guatemala","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"880","Apples and products","Mauritania","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"885","Apples and products","Eastern Africa","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"891","Apples and products","Least Developed Countries","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"914","Apples and products","Serbia and Montenegro","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"916","Apples and products","Egypt","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"917","Apples and products","Benin","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"929","Apples and products","Northern America","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"941","Apples and products","Sweden","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"943","Apples and products","Belize","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"945","Apples and products","China","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"950","Apples and products","Oceania","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"953","Apples and products","Northern Africa","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"954","Apples and products","Serbia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"956","Apples and products","Southern Asia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"985","Apples and products","Americas","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"999","Apples and products","Land Locked Developing Countries","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"1002","Apples and products","Republic of Moldova","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"1006","Apples and products","Yemen","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"1014","Apples and products","Paraguay","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"1018","Apples and products","Western Asia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"1026","Apples and products","Viet Nam","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"1033","Aquatic Animals, Others","Venezuela (Bolivarian Republic of)","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1035","Aquatic Animals, Others","Caribbean","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1057","Aquatic Animals, Others","New Caledonia","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1061","Aquatic Animals, Others","Belarus","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1071","Aquatic Animals, Others","Greece","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1075","Aquatic Animals, Others","Europe","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1076","Aquatic Animals, Others","Australia","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1082","Aquatic Animals, Others","Chile","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1085","Aquatic Animals, Others","Middle Africa","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1093","Aquatic Animals, Others","Thailand","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1094","Aquatic Animals, Others","Eastern Asia","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1097","Aquatic Animals, Others","Kuwait","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1103","Aquatic Animals, Others","European Union","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1108","Aquatic Animals, Others","Bangladesh","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1111","Aquatic Animals, Others","Portugal","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1117","Aquatic Animals, Others","Central America","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1121","Aquatic Animals, Others","Costa Rica","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1123","Aquatic Animals, Others","China, mainland","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1124","Aquatic Animals, Others","Liberia","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1125","Aquatic Animals, Others","Brazil","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1126","Aquatic Animals, Others","Low Income Food Deficit Countries","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1139","Aquatic Animals, Others","Southern Asia","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1142","Aquatic Animals, Others","Chad","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1145","Aquatic Animals, Others","Congo","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1147","Aquatic Animals, Others","Austria","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1150","Aquatic Animals, Others","Estonia","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1164","Aquatic Animals, Others","Samoa","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1166","Aquatic Animals, Others","Spain","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1168","Aquatic Animals, Others","Libya","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1171","Aquatic Animals, Others","Togo","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1183","Aquatic Animals, Others","Belgium","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1194","Aquatic Animals, Others","China, Macao SAR","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1199","Aquatic Animals, Others","Japan","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1211","Aquatic Animals, Others","Ukraine","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1212","Aquatic Animals, Others","Bosnia and Herzegovina","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1213","Aquatic Animals, Others","United Arab Emirates","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1214","Aquatic Animals, Others","Asia","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1215","Aquatic Animals, Others","Haiti","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1217","Aquatic Animals, Others","Net Food Importing Developing Countries","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1220","Aquatic Animals, Others","Luxembourg","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1221","Aquatic Animals, Others","Africa","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1225","Aquatic Animals, Others","Dominica","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1230","Aquatic Animals, Others","Southern Europe","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1235","Aquatic Animals, Others","South America","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
"1239","Aquatic Animals, Others","Lao People's Democratic Republic","Protein supply quantity (g/capita/day)",0,1,NA,"",0,0,0,NA
