"","AreaName","ElementName","ItemName","Value"
"233","Zambia","Food supply (kcal/capita/day)","Apples and products",1
"234","Thailand","Food supply (kcal/capita/day)","Apples and products",1
"246","Saudi Arabia","Food supply (kcal/capita/day)","Apples and products",10
"247","Africa","Food supply (kcal/capita/day)","Apples and products",3
"248","United Kingdom","Food supply (kcal/capita/day)","Apples and products",21
"249","Ukraine","Food supply (kcal/capita/day)","Apples and products",19
"251","Uzbekistan","Food supply (kcal/capita/day)","Apples and products",1
"254","Iraq","Food supply (kcal/capita/day)","Apples and products",5
"255","Albania","Food supply (kcal/capita/day)","Apples and products",30
"257","Kazakhstan","Food supply (kcal/capita/day)","Apples and products",39
"264","Maldives","Food supply (kcal/capita/day)","Apples and products",10
"269","Syrian Arab Republic","Food supply (kcal/capita/day)","Apples and products",14
"274","China, Hong Kong SAR","Food supply (kcal/capita/day)","Apples and products",9
"277","Tajikistan","Food supply (kcal/capita/day)","Apples and products",5
"278","Asia","Food supply (kcal/capita/day)","Apples and products",10
"280","Serbia and Montenegro","Food supply (kcal/capita/day)","Apples and products",31
"285","Nepal","Food supply (kcal/capita/day)","Apples and products",4
"286","Algeria","Food supply (kcal/capita/day)","Apples and products",18
"303","Venezuela (Bolivarian Republic of)","Food supply (kcal/capita/day)","Apples and products",1
"306","Morocco","Food supply (kcal/capita/day)","Apples and products",20
"311","Swaziland","Food supply (kcal/capita/day)","Apples and products",5
"314","Eastern Africa","Food supply (kcal/capita/day)","Apples and products",0
"319","Least Developed Countries","Food supply (kcal/capita/day)","Apples and products",1
"322","New Caledonia","Food supply (kcal/capita/day)","Apples and products",18
"323","Land Locked Developing Countries","Food supply (kcal/capita/day)","Apples and products",4
"324","Slovakia","Food supply (kcal/capita/day)","Apples and products",13
"327","Costa Rica","Food supply (kcal/capita/day)","Apples and products",8
"330","Slovenia","Food supply (kcal/capita/day)","Apples and products",43
"332","Low Income Food Deficit Countries","Food supply (kcal/capita/day)","Apples and products",2
"335","Egypt","Food supply (kcal/capita/day)","Apples and products",10
"341","Armenia","Food supply (kcal/capita/day)","Apples and products",26
"344","Central America","Food supply (kcal/capita/day)","Apples and products",7
"348","Mozambique","Food supply (kcal/capita/day)","Apples and products",0
"351","Southern Europe","Food supply (kcal/capita/day)","Apples and products",19
"352","Greece","Food supply (kcal/capita/day)","Apples and products",9
"356","Mongolia","Food supply (kcal/capita/day)","Apples and products",5
"363","Guyana","Food supply (kcal/capita/day)","Apples and products",2
"366","Ireland","Food supply (kcal/capita/day)","Apples and products",7
"377","The former Yugoslav Republic of Macedonia","Food supply (kcal/capita/day)","Apples and products",21
"387","Senegal","Food supply (kcal/capita/day)","Apples and products",1
"390","France","Food supply (kcal/capita/day)","Apples and products",10
"393","Libya","Food supply (kcal/capita/day)","Apples and products",10
"394","Botswana","Food supply (kcal/capita/day)","Apples and products",4
"396","Malta","Food supply (kcal/capita/day)","Apples and products",14
"399","Gabon","Food supply (kcal/capita/day)","Apples and products",2
"414","Melanesia","Food supply (kcal/capita/day)","Apples and products",4
"422","Saint Lucia","Food supply (kcal/capita/day)","Apples and products",4
"426","China, mainland","Food supply (kcal/capita/day)","Apples and products",20
"441","Bahamas","Food supply (kcal/capita/day)","Apples and products",8
"449","Central Asia","Food supply (kcal/capita/day)","Apples and products",14
"455","Uruguay","Food supply (kcal/capita/day)","Apples and products",23
"470","Barbados","Food supply (kcal/capita/day)","Apples and products",16
"474","Sweden","Food supply (kcal/capita/day)","Apples and products",7
"476","French Polynesia","Food supply (kcal/capita/day)","Apples and products",8
"480","Austria","Food supply (kcal/capita/day)","Apples and products",70
"481","Sudan (former)","Food supply (kcal/capita/day)","Apples and products",0
"485","Northern America","Food supply (kcal/capita/day)","Apples and products",20
"502","Pakistan","Food supply (kcal/capita/day)","Apples and products",4
"503","Myanmar","Food supply (kcal/capita/day)","Apples and products",0
"514","Germany","Food supply (kcal/capita/day)","Apples and products",25
"517","United Republic of Tanzania","Food supply (kcal/capita/day)","Apples and products",0
"518","Zimbabwe","Food supply (kcal/capita/day)","Apples and products",2
"523","Switzerland","Food supply (kcal/capita/day)","Apples and products",49
"538","Small Island Developing States","Food supply (kcal/capita/day)","Apples and products",2
"564","Bangladesh","Food supply (kcal/capita/day)","Apples and products",1
"567","Bermuda","Food supply (kcal/capita/day)","Apples and products",3
"569","Brunei Darussalam","Food supply (kcal/capita/day)","Apples and products",7
"571","Namibia","Food supply (kcal/capita/day)","Apples and products",8
"578","Guinea-Bissau","Food supply (kcal/capita/day)","Apples and products",0
"579","Cambodia","Food supply (kcal/capita/day)","Apples and products",0
"603","Northern Europe","Food supply (kcal/capita/day)","Apples and products",19
"607","Ecuador","Food supply (kcal/capita/day)","Apples and products",6
"612","Montenegro","Food supply (kcal/capita/day)","Apples and products",31
"615","Turkey","Food supply (kcal/capita/day)","Apples and products",33
"619","India","Food supply (kcal/capita/day)","Apples and products",3
"621","Net Food Importing Developing Countries","Food supply (kcal/capita/day)","Apples and products",3
"623","Yemen","Food supply (kcal/capita/day)","Apples and products",2
"637","Chile","Food supply (kcal/capita/day)","Apples and products",12
"641","United Arab Emirates","Food supply (kcal/capita/day)","Apples and products",17
"644","Cameroon","Food supply (kcal/capita/day)","Apples and products",0
"646","Lithuania","Food supply (kcal/capita/day)","Apples and products",5
"648","Southern Asia","Food supply (kcal/capita/day)","Apples and products",4
"655","Fiji","Food supply (kcal/capita/day)","Apples and products",4
"656","Turkmenistan","Food supply (kcal/capita/day)","Apples and products",12
"659","Malawi","Food supply (kcal/capita/day)","Apples and products",0
"663","Eastern Asia","Food supply (kcal/capita/day)","Apples and products",19
"667","Australia & New Zealand","Food supply (kcal/capita/day)","Apples and products",21
"673","Liberia","Food supply (kcal/capita/day)","Apples and products",0
"686","Western Asia","Food supply (kcal/capita/day)","Apples and products",17
"688","Luxembourg","Food supply (kcal/capita/day)","Apples and products",24
"691","Kyrgyzstan","Food supply (kcal/capita/day)","Apples and products",24
"702","Saint Kitts and Nevis","Food supply (kcal/capita/day)","Apples and products",2
"703","Nicaragua","Food supply (kcal/capita/day)","Apples and products",5
"705","Mexico","Food supply (kcal/capita/day)","Apples and products",9
"709","Viet Nam","Food supply (kcal/capita/day)","Apples and products",1
"712","Azerbaijan","Food supply (kcal/capita/day)","Apples and products",15
"722","Kuwait","Food supply (kcal/capita/day)","Apples and products",9
"726","Samoa","Food supply (kcal/capita/day)","Apples and products",1
"731","Rwanda","Food supply (kcal/capita/day)","Apples and products",0
"732","Solomon Islands","Food supply (kcal/capita/day)","Apples and products",0
"744","Sao Tome and Principe","Food supply (kcal/capita/day)","Apples and products",1
"746","Belgium","Food supply (kcal/capita/day)","Apples and products",12
"747","Mauritius","Food supply (kcal/capita/day)","Apples and products",9
"748","Romania","Food supply (kcal/capita/day)","Apples and products",31
"758","Belize","Food supply (kcal/capita/day)","Apples and products",2
"761","Grenada","Food supply (kcal/capita/day)","Apples and products",7
"762","Ethiopia","Food supply (kcal/capita/day)","Apples and products",0
"770","Lao People's Democratic Republic","Food supply (kcal/capita/day)","Apples and products",0
"771","Spain","Food supply (kcal/capita/day)","Apples and products",16
"780","Hungary","Food supply (kcal/capita/day)","Apples and products",38
"783","Colombia","Food supply (kcal/capita/day)","Apples and products",3
"786","Vanuatu","Food supply (kcal/capita/day)","Apples and products",1
"793","Eastern Europe","Food supply (kcal/capita/day)","Apples and products",21
"798","Afghanistan","Food supply (kcal/capita/day)","Apples and products",3
"799","Finland","Food supply (kcal/capita/day)","Apples and products",19
"802","Northern Africa","Food supply (kcal/capita/day)","Apples and products",11
"810","Republic of Moldova","Food supply (kcal/capita/day)","Apples and products",1
"816","Guatemala","Food supply (kcal/capita/day)","Apples and products",2
"817","Croatia","Food supply (kcal/capita/day)","Apples and products",31
"825","Tunisia","Food supply (kcal/capita/day)","Apples and products",14
"832","Cabo Verde","Food supply (kcal/capita/day)","Apples and products",8
"836","Argentina","Food supply (kcal/capita/day)","Apples and products",19
"843","Madagascar","Food supply (kcal/capita/day)","Apples and products",0
"855","Poland","Food supply (kcal/capita/day)","Apples and products",23
"858","Sri Lanka","Food supply (kcal/capita/day)","Apples and products",1
"863","Southern Africa","Food supply (kcal/capita/day)","Apples and products",8
"869","Republic of Korea","Food supply (kcal/capita/day)","Apples and products",2
"872","Dominica","Food supply (kcal/capita/day)","Apples and products",8
"883","Middle Africa","Food supply (kcal/capita/day)","Apples and products",1
"892","Kiribati","Food supply (kcal/capita/day)","Apples and products",1
"910","Bolivia (Plurinational State of)","Food supply (kcal/capita/day)","Apples and products",3
"912","Congo","Food supply (kcal/capita/day)","Apples and products",0
"923","Cyprus","Food supply (kcal/capita/day)","Apples and products",13
"925","China, Macao SAR","Food supply (kcal/capita/day)","Apples and products",4
"930","Mauritania","Food supply (kcal/capita/day)","Apples and products",1
"931","Israel","Food supply (kcal/capita/day)","Apples and products",16
"936","Lesotho","Food supply (kcal/capita/day)","Apples and products",4
"939","New Zealand","Food supply (kcal/capita/day)","Apples and products",24
"944","Cuba","Food supply (kcal/capita/day)","Apples and products",0
"947","Trinidad and Tobago","Food supply (kcal/capita/day)","Apples and products",9
"959","Saint Vincent and the Grenadines","Food supply (kcal/capita/day)","Apples and products",18
"969","Bosnia and Herzegovina","Food supply (kcal/capita/day)","Apples and products",22
"970","Russian Federation","Food supply (kcal/capita/day)","Apples and products",21
"971","Bulgaria","Food supply (kcal/capita/day)","Apples and products",8
"972","Haiti","Food supply (kcal/capita/day)","Apples and products",0
"979","Norway","Food supply (kcal/capita/day)","Apples and products",26
"981","European Union","Food supply (kcal/capita/day)","Apples and products",21
"982","Italy","Food supply (kcal/capita/day)","Apples and products",21
"989","Western Europe","Food supply (kcal/capita/day)","Apples and products",24
"992","Brazil","Food supply (kcal/capita/day)","Apples and products",8
"1007","Latvia","Food supply (kcal/capita/day)","Apples and products",8
"1009","Honduras","Food supply (kcal/capita/day)","Apples and products",2
"1010","Angola","Food supply (kcal/capita/day)","Apples and products",1
"1011","Western Africa","Food supply (kcal/capita/day)","Apples and products",0
"1013","Peru","Food supply (kcal/capita/day)","Apples and products",8
"1016","Polynesia","Food supply (kcal/capita/day)","Apples and products",5
"1017","World","Food supply (kcal/capita/day)","Apples and products",11
"1021","Micronesia","Food supply (kcal/capita/day)","Apples and products",1
"1023","Nigeria","Food supply (kcal/capita/day)","Apples and products",0
"1025","Caribbean","Food supply (kcal/capita/day)","Apples and products",1
"1030","Kenya","Food supply (kcal/capita/day)","Apples and products",0
"1031","Serbia","Food supply (kcal/capita/day)","Apples and products",3
"1038","Northern America","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1043","Least Developed Countries","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1048","Northern Europe","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1049","Melanesia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1053","Asia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1055","Central Asia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1067","Bangladesh","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1073","Small Island Developing States","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1074","Cuba","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1081","Malaysia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1101","Eastern Europe","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1119","Saudi Arabia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1120","Gabon","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1132","Maldives","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1137","Caribbean","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1138","Botswana","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1153","Cyprus","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1157","Belarus","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1158","Ireland","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1167","Canada","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1182","Egypt","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1186","United Republic of Tanzania","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1191","Kuwait","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1198","Africa","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1204","Europe","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1206","Bahamas","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1208","Azerbaijan","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1223","Fiji","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1224","Samoa","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1228","Venezuela (Bolivarian Republic of)","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1236","The former Yugoslav Republic of Macedonia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1237","Benin","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1242","Madagascar","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1244","Japan","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1247","Lithuania","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1251","Philippines","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1260","India","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1264","Argentina","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1271","Grenada","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1293","Mexico","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1297","Central America","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1298","Solomon Islands","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1299","Cambodia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1311","Sweden","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1325","Australia","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1329","Togo","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1336","Net Food Importing Developing Countries","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1338","Viet Nam","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1341","Slovakia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1349","Eastern Africa","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1352","Bosnia and Herzegovina","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1354","Northern Africa","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1358","Liberia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1359","Lao People's Democratic Republic","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1361","Dominican Republic","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1363","United States of America","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1367","Turkmenistan","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1373","Ukraine","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1382","South Africa","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1389","Poland","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1394","Finland","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1396","China, Taiwan Province of","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1399","Middle Africa","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1403","Luxembourg","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1405","Mauritius","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1416","Kazakhstan","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1432","Indonesia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1437","Senegal","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1439","Djibouti","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1440","Angola","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1442","Thailand","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1450","Latvia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1455","Chad","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1463","Estonia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1469","New Caledonia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1472","China, Hong Kong SAR","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1474","Honduras","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1475","Oceania","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1477","French Polynesia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1482","Eastern Asia","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1484","Kenya","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1488","Nicaragua","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1490","China","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1496","Czech Republic","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1500","Albania","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1503","Chile","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1515","Denmark","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1520","Western Asia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1523","Iceland","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1532","Southern Asia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1540","Belgium","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1541","Vanuatu","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1552","Brazil","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1563","Ecuador","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1567","Austria","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1571","Georgia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1577","Uruguay","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1578","Russian Federation","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1580","Namibia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1588","South America","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1589","Slovenia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1590","Netherlands","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1593","Republic of Moldova","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1594","Land Locked Developing Countries","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1596","Southern Africa","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1597","France","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1599","Hungary","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1601","China, Macao SAR","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1607","Côte d'Ivoire","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1610","Jamaica","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1613","Brunei Darussalam","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1617","Dominica","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1620","World","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1623","Timor-Leste","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1625","Cabo Verde","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1629","United Kingdom","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1631","Croatia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1633","Low Income Food Deficit Countries","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1636","Republic of Korea","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1637","Libya","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1640","Americas","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1641","Portugal","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1649","Southern Europe","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1659","Iraq","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1660","Mauritania","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1668","Australia & New Zealand","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1673","Spain","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1676","Myanmar","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1679","Iran (Islamic Republic of)","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1680","Bulgaria","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1687","Democratic People's Republic of Korea","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1690","European Union","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1700","Turkey","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1701","Yemen","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1704","Serbia and Montenegro","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1719","Micronesia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1728","United Arab Emirates","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1742","South-Eastern Asia","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1750","Peru","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1755","Sri Lanka","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1758","Malta","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1761","New Zealand","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1764","Greece","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1767","Mozambique","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1773","Congo","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1776","Germany","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1780","Kiribati","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1782","Western Europe","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1783","Haiti","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1788","China, mainland","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1789","Romania","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1796","Norway","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1798","Italy","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1799","Western Africa","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1803","Costa Rica","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1804","Panama","Food supply (kcal/capita/day)","Aquatic Animals, Others",0
"1807","Polynesia","Food supply (kcal/capita/day)","Aquatic Animals, Others",1
"1820","Guatemala","Food supply (kcal/capita/day)","Aquatic Plants",0
"1825","Eastern Africa","Food supply (kcal/capita/day)","Aquatic Plants",0
"1839","Mali","Food supply (kcal/capita/day)","Aquatic Plants",0
"1840","Angola","Food supply (kcal/capita/day)","Aquatic Plants",0
"1843","Benin","Food supply (kcal/capita/day)","Aquatic Plants",0
"1848","Lao People's Democratic Republic","Food supply (kcal/capita/day)","Aquatic Plants",0
"1850","Kazakhstan","Food supply (kcal/capita/day)","Aquatic Plants",0
"1853","Central African Republic","Food supply (kcal/capita/day)","Aquatic Plants",0
"1857","Ukraine","Food supply (kcal/capita/day)","Aquatic Plants",0
"1860","Japan","Food supply (kcal/capita/day)","Aquatic Plants",1
"1861","Denmark","Food supply (kcal/capita/day)","Aquatic Plants",0
"1868","Grenada","Food supply (kcal/capita/day)","Aquatic Plants",0
"1881","Uganda","Food supply (kcal/capita/day)","Aquatic Plants",0
"1888","Iraq","Food supply (kcal/capita/day)","Aquatic Plants",0
"1894","India","Food supply (kcal/capita/day)","Aquatic Plants",0
"1898","Australia","Food supply (kcal/capita/day)","Aquatic Plants",0
"1900","Cambodia","Food supply (kcal/capita/day)","Aquatic Plants",0
"1904","Switzerland","Food supply (kcal/capita/day)","Aquatic Plants",0
"1906","Spain","Food supply (kcal/capita/day)","Aquatic Plants",0
"1917","Jordan","Food supply (kcal/capita/day)","Aquatic Plants",0
"1936","The former Yugoslav Republic of Macedonia","Food supply (kcal/capita/day)","Aquatic Plants",0
"1949","Land Locked Developing Countries","Food supply (kcal/capita/day)","Aquatic Plants",0
"1966","Fiji","Food supply (kcal/capita/day)","Aquatic Plants",0
"1968","Philippines","Food supply (kcal/capita/day)","Aquatic Plants",0
