,pair,Study.x,Location.x,Year.x,Crop.x,Cultivar.x,WateringRegime.x,Pptn.x,Irrign.x,TotH2O.x,CO2treatment.x,NapplicnQ.x,Napplicn.x,Phos_App.x,Temperature_treatment.x,TOS.x,CO2_indicator.x,Pair_Count.x,Pair.CO2_ID.x,X24hCO2.x,Yield.x,Zn.x,Fe.x,Ph.x,N.x,P.x,K.x,S.x,B.x,Ca.x,Mg.x,Mn.x,Cu.x,Znu.x,Feu.x,Phu.x,Nu.x,Pu.x,Ku.x,Su.x,Bu.x,Cau.x,Mgu.x,Mnu.x,Cuu.x,Study,Location,Year,Crop,Cultivar,WateringRegime,Pptn,Irrign,TotH2O,CO2treatment,NapplicnQ,Napplicn,Phos_App,Temperature_treatment,TOS,CO2_indicator,Pair_Count,Pair.CO2_ID,X24hCO2,Yield,Zn,Fe,Ph,N,P,K,S,B,Ca,Mg,Mn,Cu,Znu,Feu,Phu,Nu,Pu,Ku,Su,Bu,Cau,Mgu,Mnu,Cuu,RRYield,RRZn,RRFe,RRPh,RRN,RRP,RRK,RRS,RRB,RRCa,RRMg,RRMn,RRCu,RRZnu,RRFeu,RRPhu,RRNu,RRPu,RRKu,RRSu,RRBu,RRCau,RRMgu,RRMnu,RRCuu
11,108,RiceFACE,Shizukuishi_Japan,2008,Rice,Akitakomachi,Wet,,,,aCO2,Medium,80,131,ElevatedTemperature,,0,108,1080,,,28.96666667,10.86666667,,1.323333333,0.347333333,0.25,983.3333333,1.5,0.012,0.134333333,23.4,1.666666667,,,,,,,,,,,,,RiceFACE,Shizukuishi_Japan,2008,Rice,Akitakomachi,Wet,,,,eCO2,Medium,80,131,ElevatedTemperature,,1,108,1081,,,25.73333333,9.166666667,,1.193333333,0.331666667,0.246666667,873.3333333,1.366666667,0.012333333,0.126666667,27.63333333,1.666666667,,,,,,,,,,,,,,0.888377445,0.843558282,,0.901763224,0.954894436,0.986666668,0.888135593,0.911111111,1.02777775,0.942928045,1.180911681,1,,,,,,,,,,,,
12,109,RiceFACE,Tsukubamirai_Japan,2010,Rice,Akitakomachi,Wet,,,,aCO2,Medium,80,,NormalTemperature,,0,109,1090,,507,30.8,12.4,,1.2125,0.3335,0.305,882.5,2.6,,0.13375,37.475,3.575,15615.6,6286.8,,614.7375,169.0845,154.635,447427.5,1318.2,,67.81125,18999.825,1812.525,RiceFACE,Tsukubamirai_Japan,2010,Rice,Akitakomachi,Wet,,,,eCO2,Medium,80,,NormalTemperature,,1,109,1091,,528,31.2,12.425,,1.1675,0.33375,0.3075,820,2.875,,0.131,31.05,3.025,16473.6,6560.4,,616.44,176.22,162.36,432960,1518,,69.168,16394.4,1597.2,1.041420118,1.012987013,1.002016129,,0.962886598,1.000749625,1.008196721,0.92917847,1.105769231,,0.979439252,0.828552368,0.846153846,1.054945055,1.043519756,,1.002769475,1.042200793,1.049956349,0.967665152,1.151570323,,1.020007742,0.862871105,0.881201639
13,11,AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Wet,133,96,229,aCO2,Medium,50,0,,TOS1,0,11,110,No,309.7158218,27.3575,32.2875,2.173841667,13.76437625,,,,,,,,,8473.050595,9999.949596,673.2731584,4263.045102,,,,,,,,,AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Wet,133,96,229,eCO2,Medium,50,0,,TOS1,1,11,111,No,416.0906298,28.76,28.7975,1.758908333,13.174155,,,,,,,,,11966.76651,11982.36991,731.865276,5481.642451,,,,,,,,,1.343459392,1.051265649,0.891908633,0.809124399,0.957119652,,,,,,,,,1.412332711,1.198243031,1.087025774,1.285851386,,,,,,,,
14,110,RiceFACE,Tsukubamirai_Japan,2010,Rice,Bekoaoba,Wet,,,,aCO2,High,160,,NormalTemperature,,0,110,1100,,,25,10.125,,1.36,0.3515,0.36,987.5,2.05,,0.13075,29.775,3.125,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,Bekoaoba,Wet,,,,eCO2,High,160,,NormalTemperature,,1,110,1101,,,23.725,9.775,,1.2175,0.3535,0.3625,872.5,2.25,,0.1295,23.85,2.625,,,,,,,,,,,,,,0.949,0.965432099,,0.895220588,1.0056899,1.006944444,0.883544304,1.097560976,,0.990439771,0.801007557,0.84,,,,,,,,,,,,
15,111,RiceFACE,Tsukubamirai_Japan,2010,Rice,Hoshiaoba,Wet,,,,aCO2,High,160,,NormalTemperature,,0,111,1110,,,28.35,11.75,,1.4375,0.35025,0.3225,1060,2.1,0.0115,0.14025,44.65,4,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,Hoshiaoba,Wet,,,,eCO2,High,160,,NormalTemperature,,1,111,1111,,,27.225,10.85,,1.29,0.36075,0.345,952.5,2.3,0.013,0.144,43.55,3.125,,,,,,,,,,,,,,0.96031746,0.923404255,,0.897391304,1.029978587,1.069767442,0.898584906,1.095238095,1.130434783,1.026737968,0.975363942,0.78125,,,,,,,,,,,,
16,112,RiceFACE,Tsukubamirai_Japan,2010,Rice,IR72,Wet,,,,aCO2,High,160,,NormalTemperature,,0,112,1120,,,22.15,9.5,,1.3725,0.36,0.285,1077.5,1.875,0.013,0.13925,28.475,3.475,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,IR72,Wet,,,,eCO2,High,160,,NormalTemperature,,1,112,1121,,,22.475,8.95,,1.245,0.3415,0.2725,967.5,2.125,0.01225,0.13275,24.45,3.525,,,,,,,,,,,,,,1.014672686,0.942105263,,0.907103825,0.948611111,0.956140351,0.897911833,1.133333333,0.942307692,0.953321364,0.858647937,1.014388489,,,,,,,,,,,,
17,113,RiceFACE,Tsukubamirai_Japan,2010,Rice,Kokuriku193,Wet,,,,aCO2,High,160,,NormalTemperature,,0,113,1130,,,20.575,10.75,,1.215,0.3395,0.31,1110,1.825,,0.132,30.7,3.275,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,Kokuriku193,Wet,,,,eCO2,High,160,,NormalTemperature,,1,113,1131,,,20.925,11.075,,1.1075,0.361,0.335,1005,2.225,0.012,0.1445,31.95,2.925,,,,,,,,,,,,,,1.017010936,1.030232558,,0.911522634,1.063328424,1.080645161,0.905405405,1.219178082,,1.09469697,1.040716612,0.893129771,,,,,,,,,,,,
18,114,RiceFACE,Shizukuishi_Japan,2008,Rice,Koshihikari,Wet,,,,aCO2,Medium,80,131,NormalTemperature,,0,114,1140,,612,21.13333333,7.766666667,,1.063333333,0.312,0.246666667,796.6666667,1.166666667,,0.12,19.96666667,1.466666667,12933.6,4753.2,,650.7599998,190.944,150.9600002,487560,714.0000002,,73.44,12219.6,897.6000002,RiceFACE,Shizukuishi_Japan,2008,Rice,Koshihikari,Wet,,,,eCO2,Medium,80,131,NormalTemperature,,1,114,1141,,672,20.7,7.6,,1.013333333,0.32,0.256666667,773.3333333,1.233333333,0.011333333,0.125333333,23.36666667,1.566666667,13910.4,5107.2,,680.9599998,215.04,172.4800002,519680,828.7999998,7.615999776,84.22399978,15702.4,1052.8,1.098039216,0.979495268,0.978540772,,0.952978056,1.025641026,1.04054054,0.970711297,1.057142857,,1.044444442,1.170283806,1.068181818,1.075524216,1.074476142,,1.046407278,1.126194067,1.142554319,1.065879071,1.160784313,,1.146840956,1.285017513,1.172905526
19,115,RiceFACE,Tsukubamirai_Japan,2010,Rice,Koshihikari,Wet,,,,aCO2,Low,0,,NormalTemperature,,0,115,1150,,400,29.875,11.125,,1.06,0.324,0.2975,815,2.85,0.0105,0.13625,29.75,3.325,11950,4450,,424,129.6,119,326000,1140,4.2,54.5,11900,1330,RiceFACE,Tsukubamirai_Japan,2010,Rice,Koshihikari,Wet,,,,eCO2,Low,0,,NormalTemperature,,1,115,1151,,455,30.65,11.25,,1.0075,0.32525,0.3,752.5,3.25,0.0115,0.13425,27.925,2.675,13945.75,5118.75,,458.4125,147.98875,136.5,342387.5,1478.75,5.2325,61.08375,12705.875,1217.125,1.1375,1.025941423,1.011235955,,0.950471698,1.003858025,1.008403361,0.923312883,1.140350877,1.095238095,0.985321101,0.938655462,0.804511278,1.167008368,1.150280899,,1.081161557,1.141888503,1.147058824,1.050268405,1.297149123,1.245833333,1.120802752,1.067720588,0.915131579
20,116,RiceFACE,Tsukubamirai_Japan,2010,Rice,Koshihikari,Wet,,,,aCO2,Medium,80,,NormalTemperature,,0,116,1160,,552,28.9,11.375,,1.185,0.32825,0.2925,857.5,2.4,,0.138,30.475,3,15952.8,6279,,654.12,181.194,161.46,473340,1324.8,,76.176,16822.2,1656,RiceFACE,Tsukubamirai_Japan,2010,Rice,Koshihikari,Wet,,,,eCO2,Medium,80,,NormalTemperature,,1,116,1161,,642,27.35,10.775,,1.085,0.30875,0.2825,775,2.5,0.0105,0.13075,25.1,2.55,17558.7,6917.55,,696.57,198.2175,181.365,497550,1605,6.741,83.9415,16114.2,1637.1,1.163043478,0.946366782,0.947252747,,0.915611814,0.940594059,0.965811966,0.903790087,1.041666667,,0.947463768,0.823625923,0.85,1.100665714,1.10169613,,1.064896349,1.093951786,1.123281308,1.051147167,1.211503623,,1.101941556,0.957912758,0.988586957
21,117,RiceFACE,Tsukubamirai_Japan,2010,Rice,Koshihikari,Wet,,,,aCO2,Medium,80,,ElevatedTemperature,,0,117,1170,,,31.075,12.75,,1.2275,0.32975,0.2925,915,2.5,0.01125,0.1395,30.375,3.05,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,Koshihikari,Wet,,,,eCO2,Medium,80,,ElevatedTemperature,,1,117,1171,,,30.275,11.675,,1.1125,0.30575,0.28,830,2.625,0.01075,0.129,24.025,2.6,,,,,,,,,,,,,,0.974255833,0.915686275,,0.906313646,0.927217589,0.957264957,0.907103825,1.05,0.955555556,0.924731183,0.790946502,0.852459016,,,,,,,,,,,,
22,118,RiceFACE,Tsukubamirai_Japan,2010,Rice,Koshihikari,Wet,,,,aCO2,High,120,,NormalTemperature,,0,118,1180,,,27.875,11.25,,1.27,0.33,0.2825,910,2.275,0.0105,0.139,30.85,3.325,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,Koshihikari,Wet,,,,eCO2,High,120,,NormalTemperature,,1,118,1181,,,27.6,10.775,,1.135,0.32575,0.28,815,2.625,0.01125,0.136,26.575,3.125,,,,,,,,,,,,,,0.990134529,0.957777778,,0.893700787,0.987121212,0.991150442,0.895604396,1.153846154,1.071428571,0.978417266,0.861426256,0.939849624,,,,,,,,,,,,
23,119,RiceFACE,Tsukubamirai_Japan,2010,Rice,Lemont,Wet,,,,aCO2,High,160,,NormalTemperature,,0,119,1190,,,27.8,11.375,,1.48,0.38525,0.315,1120,1.925,,0.135,44.775,3.725,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,Lemont,Wet,,,,eCO2,High,160,,NormalTemperature,,1,119,1191,,,27.025,10.975,,1.3675,0.37325,0.31,1032.5,1.85,,0.13125,39.9,3.125,,,,,,,,,,,,,,0.972122302,0.964835165,,0.923986486,0.968851395,0.984126984,0.921875,0.961038961,,0.972222222,0.891122278,0.838926174,,,,,,,,,,,,
24,12,AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Wet,79,96,175,aCO2,Medium,50,0,,TOS2,0,12,120,No,208.8248848,37.43,38.495,2.125925,13.81458375,,,,,,,,,7816.315438,8038.71394,443.9460432,2884.82886,,,,,,,,,AGFACE_Australia_Wheat,Horsham_Australia,2007,wheat,Yitpi,Wet,79,96,175,eCO2,Medium,50,0,,TOS2,1,12,121,No,341.9719662,31.76,37.1325,1.920225,13.33893375,,,,,,,,,10861.02965,12698.27403,656.6631188,4561.541401,,,,,,,,,1.637601604,0.848517232,0.964605793,0.903242118,0.965568995,,,,,,,,,1.38953318,1.579639993,1.479150741,1.581217335,,,,,,,,
25,120,RiceFACE,Tsukubamirai_Japan,2010,Rice,Milyang23,Wet,,,,aCO2,High,160,,NormalTemperature,,0,120,1200,,,25.275,12.325,,1.5425,0.3925,0.3175,1185,2.025,,0.14675,26.275,3.5,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,Milyang23,Wet,,,,eCO2,High,160,,NormalTemperature,,1,120,1201,,,26.475,10.75,,1.3875,0.401,0.3325,1092.5,2.1,0.01075,0.14925,26.55,2.85,,,,,,,,,,,,,,1.047477745,0.872210953,,0.899513776,1.021656051,1.047244094,0.921940928,1.037037037,,1.017035775,1.010466223,0.814285714,,,,,,,,,,,,
26,121,RiceFACE,Tsukubamirai_Japan,2010,Rice,Miriroman,Wet,,,,aCO2,High,160,,NormalTemperature,,0,121,1210,,,26.25,13.675,,1.2275,0.28725,0.2975,870,2.35,0.01425,0.1175,34.55,2.65,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,Miriroman,Wet,,,,eCO2,High,160,,NormalTemperature,,1,121,1211,,,23.575,9.95,,1.08,0.2785,0.305,770,2.4,0.01475,0.11575,29.525,2.025,,,,,,,,,,,,,,0.898095238,0.727605119,,0.879837067,0.969538729,1.025210084,0.885057471,1.021276596,1.035087719,0.985106383,0.854558611,0.764150943,,,,,,,,,,,,
27,122,RiceFACE,Tsukubamirai_Japan,2010,Rice,Nihonbare,Wet,,,,aCO2,High,160,,NormalTemperature,,0,122,1220,,,25.225,11.525,,1.3275,0.29175,0.26,982.5,2.125,0.011,0.1175,29.95,3.375,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,Nihonbare,Wet,,,,eCO2,High,160,,NormalTemperature,,1,122,1221,,,26.375,11.65,,1.225,0.30425,0.28,910,2.15,0.01225,0.11825,27.2,2.75,,,,,,,,,,,,,,1.045589693,1.010845987,,0.922787194,1.042844901,1.076923077,0.926208651,1.011764706,1.113636364,1.006382979,0.908180301,0.814814815,,,,,,,,,,,,
28,123,RiceFACE,Tsukubamirai_Japan,2010,Rice,Norin8,Wet,,,,aCO2,Medium,80,,NormalTemperature,,0,123,1230,,431,32.375,11.425,,1.2375,0.31875,0.2925,950,2.65,0.01375,0.12525,40.15,3.45,13953.625,4924.175,,533.3625,137.38125,126.0675,409450,1142.15,5.92625,53.98275,17304.65,1486.95,RiceFACE,Tsukubamirai_Japan,2010,Rice,Norin8,Wet,,,,eCO2,Medium,80,,NormalTemperature,,1,123,1231,,586,29.075,10.475,,1.0925,0.3055,0.295,855,2.725,0.0135,0.12225,32.125,3.475,17037.95,6138.35,,640.205,179.023,172.87,501030,1596.85,7.911,71.6385,18825.25,2036.35,1.35962877,0.898069498,0.916849015,,0.882828283,0.958431373,1.008547009,0.9,1.028301887,0.981818182,0.976047904,0.800124533,1.007246377,1.221041127,1.246574299,,1.200318733,1.303110868,1.371249529,1.223665893,1.39810883,1.334908247,1.327062812,1.087872335,1.369481153
29,124,RiceFACE,Tsukubamirai_Japan,2010,Rice,SY63,Wet,,,,aCO2,Medium,80,,NormalTemperature,,0,124,1240,,,28.15,10.9,,1.3875,0.36725,0.3225,1100,2.625,0.0135,0.144,46.6,2.85,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,SY63,Wet,,,,eCO2,Medium,80,,NormalTemperature,,1,124,1241,,,27.4,10.225,,1.23,0.3545,0.325,1010,2.35,0.0125,0.1395,40.5,2.55,,,,,,,,,,,,,,0.973357016,0.938073394,,0.886486486,0.965282505,1.007751938,0.918181818,0.895238095,0.925925926,0.96875,0.869098712,0.894736842,,,,,,,,,,,,
30,125,RiceFACE,Tsukubamirai_Japan,2010,Rice,SY63,Wet,,,,aCO2,Medium,80,,ElevatedTemperature,,0,125,1250,,,28.4,10.6,,1.38,0.3655,0.325,1110,2.75,0.01375,0.14375,43.975,2.85,,,,,,,,,,,,,RiceFACE,Tsukubamirai_Japan,2010,Rice,SY63,Wet,,,,eCO2,Medium,80,,ElevatedTemperature,,1,125,1251,,,27.25,10.95,,1.28,0.36,0.32,1030,2.85,0.01275,0.143,38.575,2.6,,,,,,,,,,,,,,0.959507042,1.033018868,,0.927536232,0.98495212,0.984615385,0.927927928,1.036363636,0.927272727,0.994782609,0.877202956,0.912280702,,,,,,,,,,,,
31,126,RiceFACE,Shizukuishi_Japan,2008,Rice,Takanari,Wet,,,,aCO2,Medium,80,131,NormalTemperature,,0,126,1260,,492,23.63333333,7.866666667,,1.29,0.371,0.3,1096.666667,1.233333333,0.012666667,0.131333333,23.63333333,1.733333333,11627.6,3870.4,,634.68,182.532,147.6,539560.0002,606.7999998,6.232000164,64.61599984,11627.6,852.7999998,RiceFACE,Shizukuishi_Japan,2008,Rice,Takanari,Wet,,,,eCO2,Medium,80,131,NormalTemperature,,1,126,1261,,571,22.06666667,7.5,,1.226666667,0.358,0.293333333,1043.333333,,0.012666667,0.129666667,25.26666667,1.666666667,12600.06667,4282.5,,700.4266669,204.418,167.4933331,595743.3331,,7.232666857,74.03966686,14427.26667,951.6666669,1.160569106,0.93370945,0.95338983,,0.950904393,0.964959569,0.977777777,0.951367781,,1,0.98730965,1.069111425,0.961538462,1.083634342,1.106474783,,1.103590261,1.119902264,1.13477868,1.104128054,,1.160569106,1.145841077,1.24077769,1.115931833
