country,CO2expected_percent_dietary_protein-mean,CO2expected_percent_dietary_protein-Cil,CO2expected_perceont_dietary_protein-Ciu,CO2expectedproteinchange_percent_of_diet_willupdate-mean,CO2expectedproteinchange_percent_of_diet_willupdate-Cil,CO2expectedproteinchange_percent_of_diet_willupdate-Ciu,,,,
South_Africa,-3.305979005,-7.09,0.670424933,-0.389331899,-0.84,0.078953258,,,,
Cabo_Verde,-3.296804379,-7.15,0.620731222,-0.385261019,-0.84,0.072537984,,,,
Serbia,-3.277379935,-6.52,-0.005428883,-0.396205398,-0.79,-0.000656303,,,,
United_Arab_Emirates,-3.257852289,-5.08,-1.430894488,-0.436923672,-0.68,-0.191903014,,,,
Mauritius,-3.254246701,-5.05,-1.45355414,-0.388161067,-0.60,-0.17337749,,,,
Honduras,-3.210671632,-9.03,2.81541591,-0.330243916,-0.93,0.289588622,,,,
Croatia,-3.189348038,-4.97,-1.390240186,-0.359005446,-0.56,-0.156490854,,,,
Namibia,-3.173868797,-7.50,1.323991968,-0.373125092,-0.88,0.155650613,,,,
Seychelles,-3.157780309,-5.58,-0.665282382,-0.429281099,-0.76,-0.090441109,,,,
Italy,-3.141522687,-4.90,-1.382905039,-0.402347898,-0.63,-0.17711441,,,,
Montenegro,-3.064731831,-5.97,-0.144704523,-0.341080131,-0.66,-0.016104456,,,,
Kuwait,-3.062273203,-4.66,-1.456992984,-0.405183419,-0.62,-0.192781427,,,,
Portugal,-3.049017036,-5.03,-1.049327044,-0.414866943,-0.68,-0.142777524,,,,
El_Salvador,-3.034538603,-10.58,4.690980058,-0.354736855,-1.24,0.548374475,,,,
Zimbabwe,-3.033270865,-9.36,3.587153632,-0.320687402,-0.99,0.379245715,,,,
Estonia,-2.970133749,-4.53,-1.404890194,-0.365163061,-0.56,-0.172724209,,,,
Trinidad_and_Tobago,-2.959577519,-5.26,-0.641551496,-0.301767173,-0.54,-0.065414466,,,,
Malaysia,-2.958477124,-4.74,-1.15965608,-0.335785115,-0.54,-0.131620166,,,,
Gabon,-2.95350413,-5.66,-0.219901116,-0.373599443,-0.72,-0.027816089,,,,
Uganda,-2.931089068,-12.76,6.9591075,-0.272292987,-1.19,0.64648877,,,,
Brunei_Darussalam,-2.92693292,-4.55,-1.285798679,-0.317834774,-0.49,-0.139624495,,,,
New_Zealand,-2.911552774,-4.90,-0.921640101,-0.356945172,-0.60,-0.112989532,,,,
Ireland,-2.905256561,-4.96,-0.83103386,-0.373458401,-0.64,-0.106825876,,,,
Belgium,-2.880105485,-4.59,-1.168315798,-0.316784513,-0.50,-0.128503749,,,,
New_Caledonia,-2.862151598,-4.31,-1.412969302,-0.347792944,-0.52,-0.17169627,,,,
Mauritania,-2.848183365,-5.39,-0.297240552,-0.357718268,-0.68,-0.037331998,,,,
Central_African_Republic,-2.844741822,-8.62,3.045185387,-0.281604658,-0.85,0.301446825,,,,
Dominican_Republic,-2.841737908,-5.86,0.195972937,-0.282662228,-0.58,0.019493053,,,,
Nigeria,-2.828969439,-8.88,3.293803216,-0.275409723,-0.86,0.32066286,,,,
Mongolia,-2.821228217,-3.86,-1.779448416,-0.393105813,-0.54,-0.24794574,,,,
Israel,-2.814446719,-4.57,-1.035483535,-0.41826353,-0.68,-0.153886373,,,,
United_Kingdom,-2.746795888,-4.35,-1.14077308,-0.350012387,-0.55,-0.145363807,,,,
Belize,-2.74273149,-6.70,1.271941568,-0.288805532,-0.71,0.133933549,,,,
Maldives,-2.737776149,-4.05,-1.420642198,-0.42136086,-0.62,-0.218645713,,,,
Cyprus,-2.730403612,-4.48,-0.974729484,-0.337553538,-0.55,-0.120503571,,,,
Japan,-2.715765315,-4.27,-1.158924543,-0.368343748,-0.58,-0.157186855,,,,
Costa_Rica,-2.714586814,-6.48,1.071379513,-0.297419387,-0.71,0.117383992,,,,
Panama,-2.712226321,-4.65,-0.740290645,-0.326877391,-0.56,-0.089219794,,,,
Saint_Vincent_and_the_Grenadines,-2.688012772,-4.24,-1.119151797,-0.330097931,-0.52,-0.137435988,,,,
Venezuela_(Bolivarian_Republic_of),-2.686648094,-5.91,0.612458824,-0.314058822,-0.69,0.071594079,,,,
Canada,-2.671448093,-4.75,-0.579063324,-0.338037607,-0.60,-0.073273061,,,,
Netherlands_Antilles,-2.670822332,-3.84,-1.501108979,-0.32274589,-0.46,-0.1813961,,,,
Czech_Republic,-2.652876175,-4.09,-1.217535033,-0.311462111,-0.48,-0.142945244,,,,
Dominica,-2.635726016,-4.46,-0.806416076,-0.337799236,-0.57,-0.103351688,,,,
Spain,-2.627938671,-4.40,-0.854952192,-0.35413076,-0.59,-0.115210021,,,,
Norway,-2.627353583,-3.81,-1.442468413,-0.338900459,-0.49,-0.186062969,,,,
Slovenia,-2.616141541,-4.52,-0.672735799,-0.343233776,-0.59,-0.08826191,,,,
Mexico,-2.607974249,-7.63,2.618393205,-0.313914383,-0.92,0.315168483,,,,
Lithuania,-2.581384024,-3.95,-1.20929732,-0.395279057,-0.61,-0.18517582,,,,
Botswana,-2.578025251,-6.55,1.482408237,-0.308850761,-0.78,0.177594425,,,,
Ecuador,-2.57562184,-3.97,-1.171920631,-0.275711967,-0.42,-0.125450304,,,,
Austria,-2.571889455,-3.96,-1.16370563,-0.304904263,-0.47,-0.137960365,,,,
Brazil,-2.57145527,-7.76,2.658578702,-0.303785064,-0.92,0.314077601,,,,
Colombia,-2.565475714,-6.10,1.048175046,-0.274487961,-0.65,0.1121474,,,,
Germany,-2.551057097,-3.96,-1.123654309,-0.308854736,-0.48,-0.136040058,,,,
Eritrea,-2.542684726,-7.15,2.071191952,-0.330781577,-0.93,0.269444392,,,,
Denmark,-2.512954259,-3.77,-1.248938765,-0.33703195,-0.51,-0.167504946,,,,
France,-2.497045544,-3.86,-1.12024995,-0.325796908,-0.50,-0.14616232,,,,
Paraguay,-2.487501378,-8.34,3.50880503,-0.268285618,-0.90,0.378436746,,,,
Switzerland,-2.485569538,-3.80,-1.165330507,-0.287794267,-0.44,-0.134929011,,,,
Finland,-2.485559345,-3.61,-1.357398982,-0.349838642,-0.51,-0.191051812,,,,
Bahamas,-2.460445138,-4.05,-0.858175937,-0.324353772,-0.53,-0.113130993,,,,
Saint_Kitts_and_Nevis,-2.433604575,-4.22,-0.646185026,-0.289241455,-0.50,-0.076801095,,,,
Samoa,-2.414685803,-3.67,-1.159178835,-0.269144409,-0.41,-0.129203767,,,,
Saint_Lucia,-2.361945633,-4.83,0.110284759,-0.325595513,-0.67,0.015202815,,,,
Barbados,-2.331193453,-4.27,-0.377050462,-0.291881471,-0.53,-0.047209314,,,,
Bermuda,-2.293877934,-3.45,-1.13349058,-0.299002259,-0.45,-0.14774816,,,,
Australia,-2.289324593,-3.63,-0.940828047,-0.301048641,-0.48,-0.123719898,,,,
United_States_of_America,-2.23071824,-4.09,-0.36144109,-0.288169723,-0.53,-0.046691858,,,,
French_Polynesia,-2.221724559,-3.61,-0.836294876,-0.30779041,-0.50,-0.11585754,,,,
Argentina,-2.216249513,-3.43,-0.991391838,-0.297613904,-0.46,-0.133131217,,,,
Sweden,-2.191968335,-3.35,-1.032811641,-0.315994155,-0.48,-0.148890126,,,,
Netherlands,-2.163157146,-3.47,-0.855660054,-0.300526938,-0.48,-0.11887666,,,,
Luxembourg,-2.121783092,-3.22,-1.016651039,-0.282155731,-0.43,-0.135194742,,,,
Gambia,-2.05219992,-6.12,2.064387497,-0.205588813,-0.61,0.206809761,,,,
Antigua_and_Barbuda,-1.984670452,-3.12,-0.843505625,-0.299289642,-0.47,-0.127201217,,,,
Iceland,-1.853580176,-2.83,-0.882131905,-0.305681506,-0.47,-0.145475989,,,,
Grenada,-1.84024596,-3.40,-0.270889846,-0.2391533,-0.44,-0.035204099,,,,
Mali,-1.723275765,-6.11,2.735045167,-0.2015195,-0.71,0.319835598,,,,
Chad,-1.375770156,-7.85,5.129770851,-0.179301193,-1.02,0.668552103,,,,
Sudan,-1.006721542,-4.85,2.843087639,-0.130233238,-0.63,0.367792378,,,,
Burkina_Faso,-0.611393076,-6.45,5.32573474,-0.07813913,-0.82,0.68065586,,,,
Niger,-0.205366083,-5.19,4.784175348,-0.02836882,-0.72,0.660875488,,,,
Andorra,,,,,,,,,,
Bahrain,,,,,,,,,,
Bhutan,,,,,,,,,,
Cook_Islands,,,,,,,,,,
Equatorial_Guinea,,,,,,,,,,
Iraq,,,,,,,,,,
Marshall_Islands,,,,,,,,,,
Micronesia_(Federated_States_of),,,,,,,,,,
Monaco,,,,,,,,,,
Nauru,,,,,,,,,,
Niue,,,,,,,,,,
Oman,,,,,,,,,,
Palau,,,,,,,,,,
Papua_New_Guinea,,,,,,,,,,
Qatar,,,,,,,,,,
San_Marino,,,,,,,,,,
Singapore,,,,,,,,,,
Somalia,,,,,,,,,,
Tonga,,,,,,,,,,
Tuvalu,,,,,,,,,,
,,,,,,,,,,
Afghanistan,,,,,,,,,,
,,,,,,,,,,
