Column1,V1,mRRYield,mRRFe,mRRprotein,mRRZn,mRRB,mRRCa,mRRCu,mRRK,mRRMg,mRRMn,mRRN,mRRP,mRRS,Location,Year,Crop,Watering,Fert,TOS,Cv
120,Tsukubamirai__Japan 2010 Rice Wet Medium NA 86Y8 ,NA,0.98459846,NA,1.011575803,0.988372093,1.032520325,0.911392405,1.017094017,1.004892368,0.846287367,0.985177866,1.006610356,0.978986403,Tsukubamirai__Japan,2010,Rice,Wet,Medium,NA,86Y8
121,Tsukubamirai__Japan 2010 Rice Wet Medium NA Aikoku ,NA,0.86784141,NA,0.87665886,0.989247312,0.964912281,0.797202797,0.93081761,0.896147404,0.733225108,0.873333333,0.891551072,0.885057471,Tsukubamirai__Japan,2010,Rice,Wet,Medium,NA,Aikoku
122,Tsukubamirai__Japan 2010 Rice Wet Medium NA Akidawara ,NA,0.906504065,NA,0.905674282,1.02020202,1.040816327,0.93442623,1.008547009,1,0.835801674,0.906666667,0.97718911,0.890862944,Tsukubamirai__Japan,2010,Rice,Wet,Medium,NA,Akidawara
123,Tsukubamirai__Japan 2010 Rice Wet Medium NA Akihikari ,NA,0.928057554,NA,0.985255854,0.99047619,0.761904762,0.721893491,0.985074627,0.971319312,0.838087248,0.930693069,0.978325859,0.919889503,Tsukubamirai__Japan,2010,Rice,Wet,Medium,NA,Akihikari
124,Tsukubamirai__Japan 2010 Rice Wet Medium NA Akita63 ,NA,0.968109339,NA,0.949748744,1.057471264,1.571428571,0.908333333,1.007874016,0.992277992,0.870356883,0.939330544,0.988617886,0.933333333,Tsukubamirai__Japan,2010,Rice,Wet,Medium,NA,Akita63
125,Tsukubamirai__Japan 2010 Rice Wet Medium NA Akitakomachi ,NA,1.002016129,NA,1.012987013,1.105769231,8.5,0.846153846,1.008196721,0.979439252,0.828552368,0.962886598,1.000749625,0.92917847,Tsukubamirai__Japan,2010,Rice,Wet,Medium,NA,Akitakomachi
126,Tsukubamirai__Japan 2010 Rice Wet Medium NA Koshihikari ,NA,0.930569948,NA,0.960817007,1.045918367,1.103896104,0.851239669,0.961538462,0.936036036,0.807313065,0.910880829,0.933890578,0.905500705,Tsukubamirai__Japan,2010,Rice,Wet,Medium,NA,Koshihikari
127,Tsukubamirai__Japan 2010 Rice Wet Medium NA Norin8 ,NA,0.916849015,NA,0.898069498,1.028301887,0.981818182,1.007246377,1.008547009,0.976047904,0.800124533,0.882828283,0.958431373,0.9,Tsukubamirai__Japan,2010,Rice,Wet,Medium,NA,Norin8
128,Tsukubamirai__Japan 2010 Rice Wet Medium NA SY63 ,NA,0.984883721,NA,0.966401415,0.96744186,0.926605505,0.903508772,0.996138996,0.981754996,0.873033398,0.906955736,0.975093825,0.923076923,Tsukubamirai__Japan,2010,Rice,Wet,Medium,NA,SY63
129,Tsukubamirai__Japan 2010 Rice Wet Medium NA Takanari ,NA,0.987437186,NA,0.909191584,0.978723404,1,0.878787879,0.976744186,0.965517241,0.841281139,0.956607495,0.966397849,0.918604651,Tsukubamirai__Japan,2010,Rice,Wet,Medium,NA,Takanari
95,Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Bohatyr ,NA,0.968730457,0.947698745,0.908333333,0.996441281,1.015444015,0.969298246,1.060846561,0.969498911,0.970027248,0.9486427,0.968118196,1.004552352,Horsham__Australia,2010,Field_peas,Wet,Low,25/05/2006,Bohatyr
96,Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Kaspa ,0.941007666,1.042908224,0.985185185,0.972273567,0.979381443,0.98089172,0.988095238,1.035805627,1.028888889,0.991689751,1.024700599,1.039969834,1.001364256,Horsham__Australia,2010,Field_peas,Wet,Low,25/05/2006,Kaspa
97,Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0601 ,1.414339404,0.939168218,1.03156708,0.872070313,0.968531469,1,0.934108527,1.016949153,1.028368794,1.013774105,1.003861004,1.023346304,0.978323699,Horsham__Australia,2010,Field_peas,Wet,Low,25/05/2006,OZP0601
98,Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0902 ,NA,0.967120181,NA,0.888245033,0.947916667,1.120481928,0.961702128,0.944554455,1.002314815,0.904109589,0.926364234,0.848271822,0.896260555,Horsham__Australia,2010,Field_peas,Wet,Low,25/05/2006,OZP0902
99,Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Sturt ,1.294640406,0.950458716,0.955271565,0.859311741,0.973684211,0.890804598,0.934156379,1.002604167,0.969498911,0.964467005,0.974493623,0.909984871,0.974632844,Horsham__Australia,2010,Field_peas,Wet,Low,25/05/2006,Sturt
26,Champaign__Illinois 2008 Corn Dry Medium NA Cv34B43 ,NA,0.932952924,NA,0.927977839,1.028735632,0.769230769,0.868686869,0.96969697,0.907563025,0.865384615,0.882716049,0.927813163,0.981865285,Champaign__Illinois,2008,Corn,Dry,Medium,NA,Cv34B43
27,Champaign__Illinois 2008 Corn Dry Medium NA DKC61-19 ,NA,0.872531418,NA,1.015604681,1.05625,1,0.770833333,0.975806452,1.005167959,1,0.885106383,0.950787402,0.989873418,Champaign__Illinois,2008,Corn,Dry,Medium,NA,DKC61-19
1,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark ,NA,0.985120893,NA,1.021015762,0.833769634,0.974926254,1.03125,1,0.951456311,0.980988593,1.030480657,1.02743249,0.971675846,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Clark
2,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight ,NA,0.932938856,NA,0.956812652,1.077691454,0.974802016,0.99609375,0.99744898,0.951076321,1.026041667,1.002463054,0.982601131,0.981907895,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Dwight
3,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer ,NA,0.905607477,NA,0.927741935,0.762081784,1.002360346,0.917594655,0.998691099,0.972826087,1.059964727,0.985,0.961504029,0.948987247,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Flyer
4,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda ,NA,0.893273543,NA,0.942907593,0.976038339,1.010045662,0.936507937,0.993857494,0.953921569,0.903772132,1.021839563,0.929948839,0.982442139,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Loda
5,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana ,NA,0.958477509,NA,0.932786885,0.852980132,0.960985626,0.971014493,0.976923077,0.93972332,1.044342508,1.008935825,0.941409343,0.959415584,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Pana
6,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer ,NA,0.923712651,NA,0.932919255,0.888189739,0.925961538,1.018779343,0.995115995,0.931352459,0.977675135,1.002726919,0.939344925,0.954869359,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Spencer
7,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Williams ,NA,0.963474827,NA,0.940504808,0.801476015,1.026794258,1.005928854,0.996207332,0.964781217,1.065857886,0.996474736,0.942236788,0.93618677,Champaign__Illinois,2001,soybean,Dry,Low,26/05/1997,Williams
8,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Clark ,NA,0.990274983,NA,0.935796487,0.943920044,0.981989708,0.935018051,1.009864365,0.976973684,1.063079777,0.995892457,1.004610226,0.990306947,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Clark
9,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Dwight ,NA,0.970262794,NA,0.924404762,0.992081448,0.870946822,0.752066116,1.039525692,0.966292135,1.034024896,0.995238095,1.019933555,0.989291598,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Dwight
10,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Flyer ,NA,0.960756833,NA,0.946280992,1.00125,0.958293839,0.919678715,0.993556701,0.985347985,0.94100295,0.971501644,1.023131673,0.990922844,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Flyer
11,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Loda ,NA,0.921204746,NA,0.925364078,0.977257525,0.9375,0.966956522,1.018158236,0.985386221,1.004616805,0.979841897,1.004103406,0.961264822,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Loda
12,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Pana ,NA,0.970212766,NA,0.908767773,0.957771261,0.929558011,0.88368336,1.007894737,0.969331873,0.995697074,1.010647011,0.981788079,0.989769821,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Pana
13,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer ,NA,0.923737207,NA,0.943046358,0.948991696,0.945823928,0.914728682,1.008588957,0.980414747,1.00274223,0.98011257,1.002930096,0.945482866,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Spencer
14,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams ,NA,1.03804738,NA,0.941986947,0.946857143,0.941239316,0.949596774,1.015544041,0.986618005,0.9971537,0.974529347,1.022556391,0.949286846,Champaign__Illinois,2002,soybean,Dry,Low,31/05/1998,Williams
15,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark ,NA,0.925762712,NA,1.035567715,0.938717068,0.941651706,0.961538462,1.007915567,0.936936937,0.907509158,1.024486572,1.041023166,0.994252874,Champaign__Illinois,2004,soybean,Dry,Low,27/05/2000,Clark
16,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight ,NA,0.967569375,NA,0.947972973,1.002333722,0.912096774,0.931092437,0.97124183,0.945295405,1.010462075,1.058326289,0.978001833,0.982352941,Champaign__Illinois,2004,soybean,Dry,Low,27/05/2000,Dwight
17,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer ,NA,0.977900552,NA,0.95480226,0.939480097,0.946261682,0.943298969,1.02310536,0.996231156,1.022532189,1.00859454,1.07073329,0.9675,Champaign__Illinois,2004,soybean,Dry,Low,27/05/2000,Flyer
18,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda ,NA,0.964748418,NA,0.914798206,0.938123752,0.899590164,0.909688013,0.970783533,0.952076677,0.971070395,1.027235772,1.006003431,0.980876494,Champaign__Illinois,2004,soybean,Dry,Low,27/05/2000,Loda
19,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Pana ,NA,0.971715328,NA,0.913094539,0.92413414,0.964824121,0.91969697,0.981792717,0.965336134,0.990671642,1.025947282,0.941278066,0.978947368,Champaign__Illinois,2004,soybean,Dry,Low,27/05/2000,Pana
20,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Spencer ,NA,0.971467858,NA,0.979020979,0.936111111,0.889800703,0.916071429,1.003865979,0.976442874,1.028397566,1.016988417,1.052886734,0.960062647,Champaign__Illinois,2004,soybean,Dry,Low,27/05/2000,Spencer
21,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Williams ,NA,0.902183502,NA,0.961106115,0.915860015,0.910497981,0.933928571,0.981481481,0.950738916,0.924671053,1.013033175,1.046336882,0.958730159,Champaign__Illinois,2004,soybean,Dry,Low,27/05/2000,Williams
22,Champaign__Illinois 2006 soybean Dry Low 24/05/2002 Pana ,NA,1.029876374,NA,0.969040248,0.969001148,0.880668258,0.947626841,1.060273973,0.97403946,0.963366337,0.975677831,1.031570316,0.976210705,Champaign__Illinois,2006,soybean,Dry,Low,24/05/2002,Pana
23,Champaign__Illinois 2007 soybean Dry Low 21/05/2003 Pana ,NA,0.915795943,NA,0.93824228,0.963560335,0.944107744,0.95890411,0.95262484,0.935357493,0.882648785,1.009543568,0.930561331,0.960636516,Champaign__Illinois,2007,soybean,Dry,Low,21/05/2003,Pana
28,Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Loda ,NA,0.996961512,NA,0.911857958,0.955213904,0.908084164,0.903945111,1.012211669,0.968879668,0.995712755,1.004088307,0.99212963,0.96593674,Champaign__Illinois,2008,soybean,Dry,Low,16/06/2004,Loda
29,Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Pana ,NA,1.036743516,NA,1.01503268,0.998760843,0.931309904,1.001694915,1.015602837,0.992677824,0.99470339,1.01313003,1.021729289,0.996641478,Champaign__Illinois,2008,soybean,Dry,Low,16/06/2004,Pana
