,Row,Study,Data_Type,Location,Method,Portion_of_plant,Year.of.study,Crop,Elevated_CO2_Target_ppm,Elevated_CO2_Achieved_ppm,Ambient_CO2_ppm,FACE_ring_diameter_m,code,Level1,Level2,Level3,WateringRegime,Pptn,Irrign,TotH2O,NapplicnQ,Napplicn,TOS,Cultivar,potsfield,nightFACE,Zn,Fe,N,P,K,S,B,Ca,Mg,Mn,Cu,Yield,CorrYield,protein,CO2treatment,LocYrCrL1L2L3WNTC,LocYrCrL1L2WNTC,LocYrCrL1WNTC,LocYrCrWNTC
11,524,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,11,2,4,19,Dry,NA,0,NA,Low,0,26/05/1997,Dwight,check,,46.7,81.1,6.01,0.535,1.98,3070,43.9,0.335,0.254,35.8,14.6,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 2 4 19 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight
12,525,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,12,2,5,5,Dry,NA,0,NA,Low,0,26/05/1997,Dwight,check,,38.9,72,5.96,0.629,1.98,3010,45.9,0.321,0.235,24.7,13.1,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 2 5 5 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 2 5 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight
13,526,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,13,3,13,24,Dry,NA,0,NA,Low,0,26/05/1997,Dwight,check,,40.9,70.7,6.04,0.545,1.92,2950,46.1,0.343,0.252,35.2,14.4,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 3 13 24 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight
14,527,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,14,3,14,11,Dry,NA,0,NA,Low,0,26/05/1997,Dwight,check,,38.4,66.9,6.43,0.518,1.87,2890,51.8,0.347,0.237,41.9,12.5,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 3 14 11 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 3 14 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight
15,528,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,15,4,15,10,Dry,NA,0,NA,Low,0,26/05/1997,Dwight,check,,37.2,66.7,5.97,0.535,1.95,2950,46.1,0.344,0.252,37.2,11.8,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 4 15 10 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 4 15 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight
16,529,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,16,4,16,13,Dry,NA,0,NA,Low,0,26/05/1997,Dwight,check,,39.5,75.6,6.19,0.617,1.95,3040,46.3,0.373,0.254,31.2,11.3,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 4 16 13 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Dwight,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight
17,530,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,17,1,2,20,Dry,NA,0,NA,Low,0,26/05/1997,Flyer,check,,35.5,86.1,6.55,0.577,1.86,3370,99.6,0.361,0.245,30,8.8,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 1 2 20 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer
18,531,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,18,1,3,23,Dry,NA,0,NA,Low,0,26/05/1997,Flyer,check,,39.4,75.7,6.31,0.585,1.95,3450,45,0.316,0.226,28.5,11.5,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 1 3 23 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 1 3 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer
19,532,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,19,2,4,25,Dry,NA,0,NA,Low,0,26/05/1997,Flyer,check,,43.8,81.9,6.72,0.548,1.93,3480,45.1,0.306,0.226,27.9,13.4,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 2 4 25 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer
20,533,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,20,2,5,11,Dry,NA,0,NA,Low,0,26/05/1997,Flyer,check,,34.3,87.6,6.46,0.568,1.97,3210,45.4,0.315,0.232,23.7,10.5,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 2 5 11 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 2 5 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer
21,534,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,21,3,13,21,Dry,NA,0,NA,Low,0,26/05/1997,Flyer,check,,39,78.7,6.3,0.539,1.96,3220,47.2,0.292,0.226,29.9,13.1,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 3 13 21 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer
22,535,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,22,3,14,17,Dry,NA,0,NA,Low,0,26/05/1997,Flyer,check,,36.2,64.3,6.48,0.477,1.84,3020,42.5,0.324,0.218,38.3,10.1,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 3 14 17 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 3 14 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer
23,536,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,23,4,15,9,Dry,NA,0,NA,Low,0,26/05/1997,Flyer,check,,33.9,63.1,6.36,0.518,1.87,2970,51.6,0.319,0.219,29.7,9.1,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 4 15 9 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 4 15 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer
24,537,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,24,4,16,20,Dry,NA,0,NA,Low,0,26/05/1997,Flyer,check,,36.7,74.3,6.43,0.57,1.89,3260,50.2,0.312,0.223,25.6,9.6,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 4 16 20 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Flyer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer
25,538,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,25,1,2,4,Dry,NA,0,NA,Low,0,26/05/1997,Loda,check,,39.4,88.2,6.05,0.661,2.06,3210,43,0.285,0.259,29.1,12.4,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 1 2 4 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda
26,539,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,26,1,3,18,Dry,NA,0,NA,Low,0,26/05/1997,Loda,check,,40.3,71.4,6.09,0.596,2.09,3070,47.3,0.266,0.244,28.2,12.9,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 1 3 18 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 1 3 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda
27,540,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,27,2,4,24,Dry,NA,0,NA,Low,0,26/05/1997,Loda,check,,47.6,85.1,5.84,0.642,2.13,3090,54.2,0.267,0.256,31.6,16.1,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 2 4 24 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda
28,541,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,28,2,5,4,Dry,NA,0,NA,Low,0,26/05/1997,Loda,check,,38.5,82.3,6,0.65,2.06,3070,46.4,0.291,0.241,23.9,12.9,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 2 5 4 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 2 5 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda
29,542,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,29,3,13,23,Dry,NA,0,NA,Low,0,26/05/1997,Loda,check,,42.2,78,5.96,0.595,1.97,3150,51.6,0.263,0.256,38,14.8,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 3 13 23 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda
30,543,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,30,3,14,9,Dry,NA,0,NA,Low,0,26/05/1997,Loda,check,,41.8,72.6,6.25,0.531,1.92,3120,41.2,0.269,0.243,33.7,14.2,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 3 14 9 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 3 14 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda
31,544,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,31,4,15,18,Dry,NA,0,NA,Low,0,26/05/1997,Loda,check,,39.6,72.5,5.99,0.586,2.02,3050,48.4,0.28,0.245,31.6,13.1,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 4 15 18 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 4 15 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda
32,545,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,32,4,16,21,Dry,NA,0,NA,Low,0,26/05/1997,Loda,check,,40.7,83.2,5.96,0.643,1.98,3080,39,0.28,0.249,31.2,13.4,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 4 16 21 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Loda,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda
33,546,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,33,1,2,25,Dry,NA,0,NA,Low,0,26/05/1997,Pana,check,,39.3,79.8,6.2,0.652,1.94,3070,62,0.346,0.253,31.6,10.9,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 1 2 25 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana
34,547,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,34,1,3,9,Dry,NA,0,NA,Low,0,26/05/1997,Pana,check,,43,76.4,6.34,0.588,1.9,3020,47.2,0.35,0.235,31.9,13.4,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 1 3 9 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 1 3 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana
35,548,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,35,2,4,4,Dry,NA,0,NA,Low,0,26/05/1997,Pana,check,,54.4,81.8,5.93,0.675,2.05,3250,54.9,0.365,0.251,31.8,16.5,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 2 4 4 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana
36,549,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,36,2,5,18,Dry,NA,0,NA,Low,0,26/05/1997,Pana,check,,40.4,81.7,6.04,0.654,2,2990,48.3,0.36,0.243,25.8,12.7,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 2 5 18 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 2 5 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana
37,550,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,37,3,13,6,Dry,NA,0,NA,Low,0,26/05/1997,Pana,check,,43.4,74.8,6.01,0.609,1.96,2890,50.7,0.346,0.243,35.9,13.9,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 3 13 6 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 3 13 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana
38,551,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,38,3,14,22,Dry,NA,0,NA,Low,0,26/05/1997,Pana,check,,44.7,69.3,6.24,0.568,1.86,2960,53.4,0.351,0.242,43.4,13.7,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 3 14 22 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 3 14 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 3 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana
39,552,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,39,4,15,15,Dry,NA,0,NA,Low,0,26/05/1997,Pana,check,,42.6,77.3,6.22,0.568,1.86,2850,44.3,0.343,0.231,35.5,13.8,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 4 15 15 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 4 15 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana
40,553,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,40,4,16,9,Dry,NA,0,NA,Low,0,26/05/1997,Pana,check,,45.9,81.5,6.48,0.59,1.85,3110,58.9,0.404,0.265,31.5,13.9,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 4 16 9 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 4 16 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean 4 Dry Low 26/05/1997 Pana,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana
41,554,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,41,1,2,14,Dry,NA,0,NA,Low,0,26/05/1997,Spencer,check,,36.3,84.9,6.38,0.627,2.08,3270,54.6,0.237,0.246,32.9,8.9,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 1 2 14 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 1 2 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer
42,555,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,42,1,3,25,Dry,NA,0,NA,Low,0,26/05/1997,Spencer,check,,41,77.5,6.42,0.629,2.11,3200,49.4,0.228,0.229,30.9,11.7,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 1 3 25 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 1 3 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 1 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer
43,556,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,43,2,4,22,Dry,NA,0,NA,Low,0,26/05/1997,Spencer,check,,46,78.3,6.43,0.606,2.09,3200,45.3,0.275,0.25,33.1,11.7,NA,NA,NA,aCO2,Champaign__Illinois 2001 soybean 2 4 22 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 2 4 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer
44,557,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2001,soybean,550,548.6,370,20,44,2,5,17,Dry,NA,0,NA,Low,0,26/05/1997,Spencer,check,,37.5,74.7,6.5,0.66,2.08,3160,44.4,0.236,0.231,26,10.4,NA,NA,NA,eCO2,Champaign__Illinois 2001 soybean 2 5 17 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 2 5 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean 2 Dry Low 26/05/1997 Spencer,Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer
