"","location","year","crop","water","fertiliser","TOS","cultivar","LocYrCrWNTC","mRRB","mRRCa","mRRCu","mRRFe","mRRK","mRRMg","mRRMn","mRRN","mRRP","mRRP","mRRS","mRRZn"
"c..Tsukubamirai__Japan....2010....Rice....Wet....High....NA....6","Tsukubamirai__Japan","2010","Rice","Wet","High","NA","Lemont","Tsukubamirai__Japan 2010 Rice Wet High NA Lemont ","0.961038961038961","0.393939393939394","0.838926174496644","0.964835164835165","0.984126984126984","0.972222222222222","0.891122278056951","0.923986486486487","0.968851395197923","0.968851395197923","0.921875","0.972122302158273"
"c..Tsukubamirai__Japan....2010....Rice....Wet....High....NA....7","Tsukubamirai__Japan","2010","Rice","Wet","High","NA","Milyang23","Tsukubamirai__Japan 2010 Rice Wet High NA Milyang23 ","1.03703703703704","1.26470588235294","0.814285714285714","0.872210953346856","1.04724409448819","1.01703577512777","1.0104662226451","0.899513776337115","1.02165605095541","1.02165605095541","0.921940928270042","1.04747774480712"
"c..Tsukubamirai__Japan....2010....Rice....Wet....High....NA....8","Tsukubamirai__Japan","2010","Rice","Wet","High","NA","Miriroman","Tsukubamirai__Japan 2010 Rice Wet High NA Miriroman ","1.02127659574468","1.03508771929825","0.764150943396226","0.727605118829982","1.02521008403361","0.985106382978724","0.854558610709117","0.879837067209776","0.969538729329852","0.969538729329852","0.885057471264368","0.898095238095238"
"c..Tsukubamirai__Japan....2010....Rice....Wet....High....NA....9","Tsukubamirai__Japan","2010","Rice","Wet","High","NA","Nihonbare","Tsukubamirai__Japan 2010 Rice Wet High NA Nihonbare ","1.01176470588235","1.11363636363636","0.814814814814815","1.01084598698482","1.07692307692308","1.0063829787234","0.908180300500835","0.922787193973635","1.04284490145673","1.04284490145673","0.926208651399491","1.04558969276511"
"c..Tsukubamirai__Japan....2010....Rice....Wet....High....NA....10","Tsukubamirai__Japan","2010","Rice","Wet","High","NA","Takanari","Tsukubamirai__Japan 2010 Rice Wet High NA Takanari ","1.11267605633803","1.02083333333333","0.888888888888889","1.002457002457","1.07563025210084","1.06862745098039","0.933002481389578","0.910233393177738","1.05695746214852","1.05695746214852","0.901098901098901","0.967171717171717"
"c..Tsukubamirai__Japan....2010....Rice....Wet....Low....NA...","Tsukubamirai__Japan","2010","Rice","Wet","Low","NA","Koshihikari","Tsukubamirai__Japan 2010 Rice Wet Low NA Koshihikari ","1.14035087719298","1.0952380952381","0.804511278195489","1.01123595505618","1.00840336134454","0.985321100917431","0.938655462184874","0.950471698113208","1.00385802469136","1.00385802469136","0.923312883435583","1.02594142259414"
"c..Tsukubamirai__Japan....2010....Rice....Wet....Medium....NA...","Tsukubamirai__Japan","2010","Rice","Wet","Medium","NA","86Y8","Tsukubamirai__Japan 2010 Rice Wet Medium NA 86Y8 ","0.988372093023256","1.03252032520325","0.911392405063291","0.984598459845984","1.01709401709402","1.00489236790607","0.846287367405979","0.985177865612648","1.00661035622475","1.00661035622475","0.978986402966625","1.01157580283794"
"c..Tsukubamirai__Japan....2010....Rice....Wet....Medium....NA....1","Tsukubamirai__Japan","2010","Rice","Wet","Medium","NA","Aikoku","Tsukubamirai__Japan 2010 Rice Wet Medium NA Aikoku ","0.989247311827957","0.964912280701754","0.797202797202797","0.86784140969163","0.930817610062893","0.896147403685092","0.733225108225108","0.873333333333333","0.891551071878941","0.891551071878941","0.885057471264368","0.876658860265418"
"c..Tsukubamirai__Japan....2010....Rice....Wet....Medium....NA....2","Tsukubamirai__Japan","2010","Rice","Wet","Medium","NA","Akidawara","Tsukubamirai__Japan 2010 Rice Wet Medium NA Akidawara ","1.02020202020202","1.04081632653061","0.934426229508197","0.90650406504065","1.00854700854701","1","0.835801674179008","0.906666666666667","0.977189109639441","0.977189109639441","0.890862944162436","0.905674281503316"
"c..Tsukubamirai__Japan....2010....Rice....Wet....Medium....NA....3","Tsukubamirai__Japan","2010","Rice","Wet","Medium","NA","Akihikari","Tsukubamirai__Japan 2010 Rice Wet Medium NA Akihikari ","0.990476190476191","0.761904761904762","0.72189349112426","0.928057553956835","0.985074626865672","0.97131931166348","0.838087248322148","0.930693069306931","0.978325859491779","0.978325859491779","0.919889502762431","0.985255854293148"
"c..Tsukubamirai__Japan....2010....Rice....Wet....Medium....NA....4","Tsukubamirai__Japan","2010","Rice","Wet","Medium","NA","Akita63","Tsukubamirai__Japan 2010 Rice Wet Medium NA Akita63 ","1.05747126436782","1.57142857142857","0.908333333333333","0.968109339407745","1.00787401574803","0.992277992277992","0.870356882738529","0.939330543933054","0.988617886178862","0.988617886178862","0.933333333333333","0.949748743718593"
"c..Tsukubamirai__Japan....2010....Rice....Wet....Medium....NA....5","Tsukubamirai__Japan","2010","Rice","Wet","Medium","NA","Akitakomachi","Tsukubamirai__Japan 2010 Rice Wet Medium NA Akitakomachi ","1.10576923076923","8.5","0.846153846153846","1.00201612903226","1.00819672131148","0.979439252336449","0.828552368245497","0.962886597938144","1.00074962518741","1.00074962518741","0.929178470254957","1.01298701298701"
"c..Tsukubamirai__Japan....2010....Rice....Wet....Medium....NA....6","Tsukubamirai__Japan","2010","Rice","Wet","Medium","NA","Koshihikari","Tsukubamirai__Japan 2010 Rice Wet Medium NA Koshihikari ","1.04591836734694","1.1038961038961","0.851239669421488","0.930569948186528","0.961538461538462","0.936036036036036","0.807313064913722","0.910880829015544","0.933890577507599","0.933890577507599","0.905500705218618","0.960817007086286"
"c..Tsukubamirai__Japan....2010....Rice....Wet....Medium....NA....7","Tsukubamirai__Japan","2010","Rice","Wet","Medium","NA","Norin8","Tsukubamirai__Japan 2010 Rice Wet Medium NA Norin8 ","1.02830188679245","0.981818181818182","1.00724637681159","0.916849015317287","1.00854700854701","0.976047904191617","0.800124533001245","0.882828282828283","0.95843137254902","0.95843137254902","0.9","0.898069498069498"
"c..Tsukubamirai__Japan....2010....Rice....Wet....Medium....NA....8","Tsukubamirai__Japan","2010","Rice","Wet","Medium","NA","SY63","Tsukubamirai__Japan 2010 Rice Wet Medium NA SY63 ","0.967441860465116","0.926605504587156","0.903508771929825","0.984883720930233","0.996138996138996","0.981754995655951","0.873033397736682","0.906955736224029","0.975093824633231","0.975093824633231","0.923076923076923","0.966401414677277"
