AreaName,ElementName,ItemName,Value
Burundi,Protein supply quantity (g/capita/day),"Sweeteners, Other",0
Burundi,Protein supply quantity (g/capita/day),Tea (including mate),0
Burundi,Protein supply quantity (g/capita/day),Tomatoes and products,0
Burundi,Protein supply quantity (g/capita/day),"Vegetables, Other",1.9
Burundi,Protein supply quantity (g/capita/day),Wheat and products,1.1
Burundi,Protein supply quantity (g/capita/day),Wine,0
Burundi,Protein supply quantity (g/capita/day),Yams,0
Burundi,Protein supply quantity (g/capita/day),"Aquatic Products, Other",0
Burundi,Protein supply quantity (g/capita/day),Eggs,0.1
Burundi,Protein supply quantity (g/capita/day),Milk - Excluding Butter,0.5
Burundi,Protein supply quantity (g/capita/day),Miscellaneous,0
Burundi,Protein supply quantity (g/capita/day),Offals,0.3
Burundi,Protein supply quantity (g/capita/day),Treenuts,0
Comoros,Protein supply quantity (g/capita/day),"Alcohol, Non-Food",0
Comoros,Protein supply quantity (g/capita/day),Apples and products,0
Comoros,Protein supply quantity (g/capita/day),"Aquatic Animals, Others",0
Comoros,Protein supply quantity (g/capita/day),Aquatic Plants,0
Comoros,Protein supply quantity (g/capita/day),Bananas,2.5
Comoros,Protein supply quantity (g/capita/day),Barley and products,0
Comoros,Protein supply quantity (g/capita/day),Beans,0
Comoros,Protein supply quantity (g/capita/day),Beer,0
Comoros,Protein supply quantity (g/capita/day),"Beverages, Alcoholic",0
Comoros,Protein supply quantity (g/capita/day),"Beverages, Fermented",0
Comoros,Protein supply quantity (g/capita/day),Bovine Meat,0.9
Comoros,Protein supply quantity (g/capita/day),"Butter, Ghee",0
Comoros,Protein supply quantity (g/capita/day),Cassava and products,2.2
Comoros,Protein supply quantity (g/capita/day),Cephalopods,0
Comoros,Protein supply quantity (g/capita/day),"Cereals, Other",0.1
Comoros,Protein supply quantity (g/capita/day),"Citrus, Other",0
Comoros,Protein supply quantity (g/capita/day),Cloves,0
Comoros,Protein supply quantity (g/capita/day),Cocoa Beans and products,0
Comoros,Protein supply quantity (g/capita/day),Coconut Oil,0
Comoros,Protein supply quantity (g/capita/day),Coconuts - Incl Copra,1.1
Comoros,Protein supply quantity (g/capita/day),Coffee and products,0
Comoros,Protein supply quantity (g/capita/day),Cottonseed,0
Comoros,Protein supply quantity (g/capita/day),Cottonseed Oil,0
Comoros,Protein supply quantity (g/capita/day),Cream,0
Comoros,Protein supply quantity (g/capita/day),Crustaceans,0
Comoros,Protein supply quantity (g/capita/day),Dates,0
Comoros,Protein supply quantity (g/capita/day),Demersal Fish,0
Comoros,Protein supply quantity (g/capita/day),"Fats, Animals, Raw",0
Comoros,Protein supply quantity (g/capita/day),"Fish, Body Oil",0
Comoros,Protein supply quantity (g/capita/day),"Fish, Liver Oil",0
Comoros,Protein supply quantity (g/capita/day),Freshwater Fish,0
Comoros,Protein supply quantity (g/capita/day),"Fruits, Other",0.1
Comoros,Protein supply quantity (g/capita/day),Grapefruit and products,0
Comoros,Protein supply quantity (g/capita/day),Grapes and products (excl wine),0
Comoros,Protein supply quantity (g/capita/day),Groundnut Oil,0
Comoros,Protein supply quantity (g/capita/day),Groundnuts (Shelled Eq),0.8
Comoros,Protein supply quantity (g/capita/day),Honey,0
Comoros,Protein supply quantity (g/capita/day),"Lemons, Limes and products",0
Comoros,Protein supply quantity (g/capita/day),Maize and products,1.2
Comoros,Protein supply quantity (g/capita/day),Maize Germ Oil,0
Comoros,Protein supply quantity (g/capita/day),"Marine Fish, Other",0.6
Comoros,Protein supply quantity (g/capita/day),"Meat, Aquatic Mammals",0
Comoros,Protein supply quantity (g/capita/day),"Meat, Other",0
Comoros,Protein supply quantity (g/capita/day),Millet and products,0
Comoros,Protein supply quantity (g/capita/day),"Molluscs, Other",0
Comoros,Protein supply quantity (g/capita/day),Mutton & Goat Meat,0.3
Comoros,Protein supply quantity (g/capita/day),Oats,0
Comoros,Protein supply quantity (g/capita/day),"Oilcrops Oil, Other",0
Comoros,Protein supply quantity (g/capita/day),"Oilcrops, Other",0
Comoros,Protein supply quantity (g/capita/day),Olive Oil,0
Comoros,Protein supply quantity (g/capita/day),Olives (including preserved),0
Comoros,Protein supply quantity (g/capita/day),Onions,0
Comoros,Protein supply quantity (g/capita/day),"Oranges, Mandarines",0
Comoros,Protein supply quantity (g/capita/day),Palm kernels,0
Comoros,Protein supply quantity (g/capita/day),Palm Oil,0
Comoros,Protein supply quantity (g/capita/day),Palmkernel Oil,0
Comoros,Protein supply quantity (g/capita/day),Peas,0
Comoros,Protein supply quantity (g/capita/day),Pelagic Fish,7.1
Comoros,Protein supply quantity (g/capita/day),Pepper,0
Comoros,Protein supply quantity (g/capita/day),Pigmeat,0
Comoros,Protein supply quantity (g/capita/day),Pimento,0
Comoros,Protein supply quantity (g/capita/day),Pineapples and products,0
Comoros,Protein supply quantity (g/capita/day),Plantains,0
Comoros,Protein supply quantity (g/capita/day),Potatoes and products,0
Comoros,Protein supply quantity (g/capita/day),Poultry Meat,3.5
Comoros,Protein supply quantity (g/capita/day),"Pulses, Other and products",7.8
Comoros,Protein supply quantity (g/capita/day),Rape and Mustard Oil,0
Comoros,Protein supply quantity (g/capita/day),Rape and Mustardseed,0
Comoros,Protein supply quantity (g/capita/day),Rice (Milled Equivalent),13.2
Comoros,Protein supply quantity (g/capita/day),Ricebran Oil,0
Comoros,Protein supply quantity (g/capita/day),"Roots, Other",0.5
Comoros,Protein supply quantity (g/capita/day),Rye and products,0
Comoros,Protein supply quantity (g/capita/day),Sesame seed,0
Comoros,Protein supply quantity (g/capita/day),Sesameseed Oil,0
Comoros,Protein supply quantity (g/capita/day),Sorghum and products,0
Comoros,Protein supply quantity (g/capita/day),Soyabean Oil,0
Comoros,Protein supply quantity (g/capita/day),Soyabeans,0
Comoros,Protein supply quantity (g/capita/day),"Spices, Other",0
Comoros,Protein supply quantity (g/capita/day),Sugar (Raw Equivalent),0
Comoros,Protein supply quantity (g/capita/day),Sugar beet,0
Comoros,Protein supply quantity (g/capita/day),Sugar cane,0
Comoros,Protein supply quantity (g/capita/day),Sugar non-centrifugal,0
Comoros,Protein supply quantity (g/capita/day),Sunflower seed,0
Comoros,Protein supply quantity (g/capita/day),Sunflowerseed Oil,0
Comoros,Protein supply quantity (g/capita/day),Sweet potatoes,0.3
Comoros,Protein supply quantity (g/capita/day),"Sweeteners, Other",0
Comoros,Protein supply quantity (g/capita/day),Tea (including mate),0
Comoros,Protein supply quantity (g/capita/day),Tomatoes and products,0.1
Comoros,Protein supply quantity (g/capita/day),"Vegetables, Other",0.3
Comoros,Protein supply quantity (g/capita/day),Wheat and products,4.1
Comoros,Protein supply quantity (g/capita/day),Wine,0
Comoros,Protein supply quantity (g/capita/day),Yams,0.2
Comoros,Protein supply quantity (g/capita/day),"Aquatic Products, Other",0
Comoros,Protein supply quantity (g/capita/day),Eggs,0.3
Comoros,Protein supply quantity (g/capita/day),Milk - Excluding Butter,1
Comoros,Protein supply quantity (g/capita/day),Miscellaneous,0.1
Comoros,Protein supply quantity (g/capita/day),Offals,0.3
Comoros,Protein supply quantity (g/capita/day),Treenuts,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Alcohol, Non-Food",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Apples and products,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Aquatic Animals, Others",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Aquatic Plants,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Bananas,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Barley and products,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Beans,1.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Beer,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Beverages, Alcoholic",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Beverages, Fermented",0.2
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Bovine Meat,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Butter, Ghee",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Cassava and products,4.4
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Cephalopods,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Cereals, Other",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Citrus, Other",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Cloves,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Cocoa Beans and products,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Coconut Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Coconuts - Incl Copra,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Coffee and products,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Cottonseed,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Cottonseed Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Cream,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Crustaceans,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Dates,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Demersal Fish,0.2
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Fats, Animals, Raw",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Fish, Body Oil",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Fish, Liver Oil",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Freshwater Fish,1.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Fruits, Other",0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Grapefruit and products,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Grapes and products (excl wine),0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Groundnut Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Groundnuts (Shelled Eq),1.6
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Honey,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Lemons, Limes and products",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Maize and products,5.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Maize Germ Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Marine Fish, Other",0.2
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Meat, Aquatic Mammals",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Meat, Other",1.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Millet and products,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Molluscs, Other",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Mutton & Goat Meat,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Oats,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Oilcrops Oil, Other",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Oilcrops, Other",0.6
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Olive Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Olives (including preserved),0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Onions,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Oranges, Mandarines",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Palm kernels,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Palm Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Palmkernel Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Peas,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Pelagic Fish,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Pepper,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Pigmeat,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Pimento,0.2
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Pineapples and products,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Plantains,0.4
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Potatoes and products,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Poultry Meat,0.4
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Pulses, Other and products",0.8
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Rape and Mustard Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Rape and Mustardseed,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Rice (Milled Equivalent),1.2
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Ricebran Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Roots, Other",0.4
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Rye and products,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Sesame seed,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Sesameseed Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Sorghum and products,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Soyabean Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Soyabeans,0.8
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Spices, Other",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Sugar (Raw Equivalent),0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Sugar beet,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Sugar cane,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Sugar non-centrifugal,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Sunflower seed,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Sunflowerseed Oil,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Sweet potatoes,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Sweeteners, Other",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Tea (including mate),0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Tomatoes and products,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Vegetables, Other",1.5
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Wheat and products,1.5
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Wine,0.2
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Yams,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),"Aquatic Products, Other",0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Eggs,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Milk - Excluding Butter,0.2
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Miscellaneous,0
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Offals,0.1
Democratic Republic of the Congo,Protein supply quantity (g/capita/day),Treenuts,0
Eritrea,Protein supply quantity (g/capita/day),"Alcohol, Non-Food",0
Eritrea,Protein supply quantity (g/capita/day),Apples and products,0
Eritrea,Protein supply quantity (g/capita/day),"Aquatic Animals, Others",0
Eritrea,Protein supply quantity (g/capita/day),Aquatic Plants,0
Eritrea,Protein supply quantity (g/capita/day),Bananas,0
Eritrea,Protein supply quantity (g/capita/day),Barley and products,2.5
Eritrea,Protein supply quantity (g/capita/day),Beans,0
Eritrea,Protein supply quantity (g/capita/day),Beer,0
Eritrea,Protein supply quantity (g/capita/day),"Beverages, Alcoholic",0
Eritrea,Protein supply quantity (g/capita/day),"Beverages, Fermented",0
Eritrea,Protein supply quantity (g/capita/day),Bovine Meat,1.8
Eritrea,Protein supply quantity (g/capita/day),"Butter, Ghee",0
Eritrea,Protein supply quantity (g/capita/day),Cassava and products,0
Eritrea,Protein supply quantity (g/capita/day),Cephalopods,0
Eritrea,Protein supply quantity (g/capita/day),"Cereals, Other",3.3
Eritrea,Protein supply quantity (g/capita/day),"Citrus, Other",0
Eritrea,Protein supply quantity (g/capita/day),Cloves,0
Eritrea,Protein supply quantity (g/capita/day),Cocoa Beans and products,0
Eritrea,Protein supply quantity (g/capita/day),Coconut Oil,0
Eritrea,Protein supply quantity (g/capita/day),Coconuts - Incl Copra,0
Eritrea,Protein supply quantity (g/capita/day),Coffee and products,0
Eritrea,Protein supply quantity (g/capita/day),Cottonseed,0
Eritrea,Protein supply quantity (g/capita/day),Cottonseed Oil,0
Eritrea,Protein supply quantity (g/capita/day),Cream,0
Eritrea,Protein supply quantity (g/capita/day),Crustaceans,0
Eritrea,Protein supply quantity (g/capita/day),Dates,0
Eritrea,Protein supply quantity (g/capita/day),Demersal Fish,0
Eritrea,Protein supply quantity (g/capita/day),"Fats, Animals, Raw",0
Eritrea,Protein supply quantity (g/capita/day),"Fish, Body Oil",0
Eritrea,Protein supply quantity (g/capita/day),"Fish, Liver Oil",0
Eritrea,Protein supply quantity (g/capita/day),Freshwater Fish,0
Eritrea,Protein supply quantity (g/capita/day),"Fruits, Other",0
Eritrea,Protein supply quantity (g/capita/day),Grapefruit and products,0
Eritrea,Protein supply quantity (g/capita/day),Grapes and products (excl wine),0
Eritrea,Protein supply quantity (g/capita/day),Groundnut Oil,0
Eritrea,Protein supply quantity (g/capita/day),Groundnuts (Shelled Eq),0.1
Eritrea,Protein supply quantity (g/capita/day),Honey,0
Eritrea,Protein supply quantity (g/capita/day),"Lemons, Limes and products",0
Eritrea,Protein supply quantity (g/capita/day),Maize and products,0.7
Eritrea,Protein supply quantity (g/capita/day),Maize Germ Oil,0
Eritrea,Protein supply quantity (g/capita/day),"Marine Fish, Other",0
Eritrea,Protein supply quantity (g/capita/day),"Meat, Aquatic Mammals",0
Eritrea,Protein supply quantity (g/capita/day),"Meat, Other",0.2
Eritrea,Protein supply quantity (g/capita/day),Millet and products,0.6
Eritrea,Protein supply quantity (g/capita/day),"Molluscs, Other",0
Eritrea,Protein supply quantity (g/capita/day),Mutton & Goat Meat,0.9
Eritrea,Protein supply quantity (g/capita/day),Oats,0
Eritrea,Protein supply quantity (g/capita/day),"Oilcrops Oil, Other",0
Eritrea,Protein supply quantity (g/capita/day),"Oilcrops, Other",0
Eritrea,Protein supply quantity (g/capita/day),Olive Oil,0
Eritrea,Protein supply quantity (g/capita/day),Olives (including preserved),0
Eritrea,Protein supply quantity (g/capita/day),Onions,0
Eritrea,Protein supply quantity (g/capita/day),"Oranges, Mandarines",0
Eritrea,Protein supply quantity (g/capita/day),Palm kernels,0
Eritrea,Protein supply quantity (g/capita/day),Palm Oil,0
Eritrea,Protein supply quantity (g/capita/day),Palmkernel Oil,0
Eritrea,Protein supply quantity (g/capita/day),Peas,0.2
Eritrea,Protein supply quantity (g/capita/day),Pelagic Fish,0.1
Eritrea,Protein supply quantity (g/capita/day),Pepper,0
Eritrea,Protein supply quantity (g/capita/day),Pigmeat,0
Eritrea,Protein supply quantity (g/capita/day),Pimento,0
Eritrea,Protein supply quantity (g/capita/day),Pineapples and products,0
Eritrea,Protein supply quantity (g/capita/day),Plantains,0
Eritrea,Protein supply quantity (g/capita/day),Potatoes and products,0
Eritrea,Protein supply quantity (g/capita/day),Poultry Meat,0.1
Eritrea,Protein supply quantity (g/capita/day),"Pulses, Other and products",4.5
Eritrea,Protein supply quantity (g/capita/day),Rape and Mustard Oil,0
Eritrea,Protein supply quantity (g/capita/day),Rape and Mustardseed,0
Eritrea,Protein supply quantity (g/capita/day),Rice (Milled Equivalent),0
Eritrea,Protein supply quantity (g/capita/day),Ricebran Oil,0
Eritrea,Protein supply quantity (g/capita/day),"Roots, Other",0.6
Eritrea,Protein supply quantity (g/capita/day),Rye and products,0
Eritrea,Protein supply quantity (g/capita/day),Sesame seed,0
Eritrea,Protein supply quantity (g/capita/day),Sesameseed Oil,0
Eritrea,Protein supply quantity (g/capita/day),Sorghum and products,18.3
Eritrea,Protein supply quantity (g/capita/day),Soyabean Oil,0
Eritrea,Protein supply quantity (g/capita/day),Soyabeans,0
Eritrea,Protein supply quantity (g/capita/day),"Spices, Other",0
Eritrea,Protein supply quantity (g/capita/day),Sugar (Raw Equivalent),0
Eritrea,Protein supply quantity (g/capita/day),Sugar beet,0
Eritrea,Protein supply quantity (g/capita/day),Sugar cane,0
Eritrea,Protein supply quantity (g/capita/day),Sugar non-centrifugal,0
Eritrea,Protein supply quantity (g/capita/day),Sunflower seed,0
Eritrea,Protein supply quantity (g/capita/day),Sunflowerseed Oil,0
Eritrea,Protein supply quantity (g/capita/day),Sweet potatoes,0
Eritrea,Protein supply quantity (g/capita/day),"Sweeteners, Other",0
Eritrea,Protein supply quantity (g/capita/day),Tea (including mate),0
Eritrea,Protein supply quantity (g/capita/day),Tomatoes and products,0
Eritrea,Protein supply quantity (g/capita/day),"Vegetables, Other",0.3
Eritrea,Protein supply quantity (g/capita/day),Wheat and products,12.6
Eritrea,Protein supply quantity (g/capita/day),Wine,0
Eritrea,Protein supply quantity (g/capita/day),Yams,0
Eritrea,Protein supply quantity (g/capita/day),"Aquatic Products, Other",0
Eritrea,Protein supply quantity (g/capita/day),Eggs,0.1
Eritrea,Protein supply quantity (g/capita/day),Milk - Excluding Butter,2.5
Eritrea,Protein supply quantity (g/capita/day),Miscellaneous,0
Eritrea,Protein supply quantity (g/capita/day),Offals,0.8
Eritrea,Protein supply quantity (g/capita/day),Treenuts,0
Seychelles,Protein supply quantity (g/capita/day),"Alcohol, Non-Food",0
Seychelles,Protein supply quantity (g/capita/day),Apples and products,0
Seychelles,Protein supply quantity (g/capita/day),"Aquatic Animals, Others",0.1
Seychelles,Protein supply quantity (g/capita/day),Aquatic Plants,0
Seychelles,Protein supply quantity (g/capita/day),Bananas,0.5
Seychelles,Protein supply quantity (g/capita/day),Barley and products,0.2
Seychelles,Protein supply quantity (g/capita/day),Beans,0.5
Seychelles,Protein supply quantity (g/capita/day),Beer,0.5
Seychelles,Protein supply quantity (g/capita/day),"Beverages, Alcoholic",0
Seychelles,Protein supply quantity (g/capita/day),"Beverages, Fermented",0
Seychelles,Protein supply quantity (g/capita/day),Bovine Meat,1.6
Seychelles,Protein supply quantity (g/capita/day),"Butter, Ghee",0
Seychelles,Protein supply quantity (g/capita/day),Cassava and products,0.1
Seychelles,Protein supply quantity (g/capita/day),Cephalopods,0.3
