country,countrycode,c3 grain fraction ,c4 grain fraction or none,fraction C3 veg,fraction c4 veg,fraction legumes
Central African Republic,CAF,0,1,0.999671185,0.000328815,0
Chad,TCD,0,1,1,0,0
Chile,CHL,1,0,0.552925737,0.36638737,0.080686892
China,CHN,1,0,0.886189257,0.015669876,0.098140867
Colombia,COL,1,0,0.802893167,0.028023248,0.169083585
Comoros,COM,0,1,1,0,0
Congo,COG,0,1,0.983318623,0.001134545,0.015546832
Costa Rica,CRI,1,0,0.744089282,0.251565838,0.00434488
Côte d'Ivoire,CIV,0,1,0.444545932,0.545018641,0.010435426
Croatia,HRV,1,0,0.856052055,0.053727722,0.090220223
Cuba,CUB,0,1,0.999350102,0.000648392,1.51E-06
Cyprus,CYP,0,1,0.763513503,0.146623192,0.089863305
Czech Republic,CZE,1,0,0.893577487,0.100977263,0.00544525
Democratic People's Republic of Korea,PRK,0,1,0.997776825,0.002223175,0
Democratic Republic of the Congo,COD,0,1,0.992528079,0.00022882,0.0072431
Denmark,DNK,0,1,0.748276014,0.138937867,0.112786118
Djibouti,DJI,0,1,0.999144332,0.000855668,0
Dominica,DMA,0,1,0.963394045,0.036379898,0.000226057
Dominican Republic,DOM,1,0,1,0,0
Ecuador,ECU,1,0,0.855157499,0.015712384,0.129130117
Egypt,EGY,0,1,0.786901649,0.000192088,0.212906263
El Salvador,SLV,1,0,0.667335392,0.325509269,0.007155339
Eritrea,ERI,0,1,1,0,0
Estonia,EST,1,0,0.942771132,0.051856567,0.005372302
Ethiopia,ETH,0.000456259,0.999543741,0.986110103,0.000107015,0.013782882
Fiji,FJI,1,0,0.979232857,0.020767143,0
Finland,FIN,1,0,0.842359324,0.099491034,0.058149642
France,FRA,1,0,0.599586725,0.091586305,0.30882697
French Polynesia,PYF,0,1,0.652928153,0.333017331,0.014054516
Gabon,GAB,0,1,0.989268961,0.006876989,0.00385405
Gambia,GMB,0,1,0.982787944,0.016771945,0.000440111
Georgia,GEO,1,0,0.949967125,0.047346726,0.002686148
Germany,DEU,1,0,0.848050721,0.122923042,0.029026236
Ghana,GHA,0,1,0.782796333,0.002924674,0.214278993
Greece,GRC,1,0,0.86820311,0.038944206,0.092852684
Grenada,GRD,0,1,0.907830808,0.090758438,0.001410755
Guatemala,GTM,1,0,0.901377618,0.016868434,0.081753949
Guinea,GIN,0,1,0.301692595,0.698307405,0
Guinea-Bissau,GNB,0,1,1,0,0
Guyana,GUY,0,1,0.55527192,0.170819634,0.273908445
Haiti,HTI,1,0,0.995818126,0.00388042,0.000301454
Honduras,HND,1,0,0.96183452,0.035401893,0.002763587
Hungary,HUN,0,1,0.533972274,0.104825893,0.361201833
Iceland,ISL,0,1,0.733366395,0.264343072,0.002290533
India,IND,0,1,0.878088785,0.000622006,0.121289209
Indonesia,IDN,0,1,0.705463933,0.151117776,0.143418291
Iran (Islamic Republic of),IRN,0,1,0.962771213,0.017311199,0.019917587
Ireland,IRL,0,1,0.744793446,0.212520431,0.042686122
Israel,ISR,0,1,0.678504722,0.278857895,0.042637383
Italy,ITA,1,0,0.785142315,0.149396286,0.065461399
Jamaica,JAM,0,1,0.925379345,0.021595668,0.053024986
Japan,JPN,1,0,0.87057782,0.115364476,0.014057704
Jordan,JOR,0,1,0.890260902,0.049232485,0.060506614
Kazakhstan,KAZ,1,0,0.940768526,0.03572048,0.023510993
Kenya,KEN,0,1,0.818753573,6.49E-05,0.18118151
Kiribati,KIR,0,1,1,0,0
Kuwait,KWT,1,0,0.93665054,0.048815854,0.014533606
Kyrgyzstan,KGZ,1,0,0.982334837,0.010116832,0.00754833
Lao People's Democratic Republic,LAO,1,0,1,0,0
Latvia,LVA,1,0,0.951726092,0.043182844,0.005091064
Lebanon,LBN,0,1,0.709701138,0.134758372,0.155540491
Lesotho,LSO,0,1,1,0,0
Liberia,LBR,0,1,0.66985503,0.33014497,0
Libya,LBY,0,1,0.878735378,0.000798659,0.120465963
Lithuania,LTU,1,0,0.967902069,0.021425179,0.010672752
Luxembourg,LUX,1,0,0.862783434,0.115553038,0.021663528
Madagascar,MDG,0,1,0.969610715,0.009323986,0.021065299
Malawi,MWI,0,1,0.98867173,0.001642169,0.009686101
Malaysia,MYS,1,0,0.979099835,0.010935786,0.00996438
Maldives,MDV,0,1,0.932516262,0.019068056,0.048415682
Mali,MLI,0,1,0.99693864,0.000502418,0.002558942
Malta,MLT,0,1,0.899909969,0.057297181,0.042792849
Mauritania,MRT,1,0,0.995281458,0.004718542,0
Mauritius,MUS,0,1,0.771182999,0.196144196,0.032672805
Mexico,MEX,1,0,0.541797439,0.375619873,0.082582688
Mongolia,MNG,1,0,0.989930165,0.009666356,0.000403478
Montenegro,MNE,1,0,0.928493993,0.02013271,0.051373297
Morocco,MAR,0,1,0.633279612,0.001230419,0.365489968
Mozambique,MOZ,0,1,1,0,0
Myanmar,MMR,1,0,1,0,0
Namibia,NAM,0,1,0.983027501,0.011416025,0.005556474
Nepal,NPL,0,1,0.998786383,0.000648677,0.00056494
Netherlands,NLD,1,0,0.864566511,0.0373242,0.098109289
Netherlands Antilles,ANT,0,1,1,0,0
New Caledonia,NCL,0,1,0.790443946,0.207907225,0.001648829
New Zealand,NZL,1,0,0.634294247,0.194869807,0.170835947
Nicaragua,NIC,0,1,0.938817026,0.060766957,0.000416016
Niger,NER,0,1,0.886720029,0.000610514,0.112669457
Nigeria,NGA,0,1,0.846368964,0.153631036,0
Norway,NOR,0,1,0.702204271,0.265927957,0.031867771
Occupied Palestinian Territory,PSE,1,0,0.808023384,0.129299353,0.062677264
Pakistan,PAK,1,0,0.922789985,0.000738071,0.076471943
Panama,PAN,1,0,0.803340726,0.19528733,0.001371943
Paraguay,PRY,1,0,0.941328102,0.058671898,0
Peru,PER,1,0,0.434270449,0.410258105,0.155471447
Philippines,PHL,1,0,0.963516626,0.008857987,0.027625387
Poland,POL,1,0,0.893304994,0.049058388,0.057636618
Portugal,PRT,1,0,0.920249612,0.02515661,0.054593779
Republic of Korea,KOR,0,1,0.980506277,0.019491783,1.94E-06
Republic of Moldova,MDA,1,0,0.916488911,0.007208351,0.076302739
Romania,ROU,1,0,0.924239649,0.011914577,0.063845775
Russian Federation,RUS,0,1,0.931400408,0.04880338,0.019796212
Rwanda,RWA,0,1,0.965826112,0.000544731,0.033629156
Saint Kitts and Nevis,KNA,0,1,1,0,0
Saint Lucia,LCA,0,1,0.771887743,0.227906041,0.000206216
Saint Vincent and the Grenadines,VCT,0,1,0.945593223,0.053821302,0.000585475
Samoa,WSM,0,1,0.981514749,0.018485251,0
Sao Tome and Principe,STP,0,1,0.996072882,0.002659783,0.001267334
Saudi Arabia,SAU,1,0,0.916552279,0.076546115,0.006901606
Senegal,SEN,0,1,0.871091052,0.119189199,0.009719749
Serbia,SRB,1,0,0.748957963,0.009396595,0.241645442
Seychelles,SYC,0,1,0.944867684,0.028193213,0.026939103
Sierra Leone,SLE,0,1,0.99999218,7.82E-06,0
Slovakia,SVK,1,0,0.851963366,0.097172883,0.05086375
Slovenia,SVN,1,0,0.85574761,0.105835911,0.038416479
Solomon Islands,SLB,0,1,0.994909349,0.003612793,0.001477859
South Africa,ZAF,0.015994388,0.984005612,0.454352289,0.501735252,0.043912459
Spain,ESP,0,1,0.77204473,0.05027374,0.177681529
Sri Lanka,LKA,0,1,0.875839149,0.00128611,0.122874741
Sudan (former),SDN,1,0,0.997823484,0.001052209,0.001124307
Suriname,SUR,0,1,0.920070446,0,0.079929554
Swaziland,SWZ,0.063754022,0.936245978,0.883462011,0.004724139,0.11181385
Sweden,SWE,1,0,0.594903556,0.218734138,0.186362306
Switzerland,CHE,1,0,0.808759557,0.139747281,0.051493162
Syrian Arab Republic,SYR,1,0,0.869873888,0.005019934,0.125106178
Tajikistan,TJK,1,0,0.987164415,0,0.012835585
Thailand,THA,0,1,0.881646984,0.002788548,0.115564468
The former Yugoslav Republic of Macedonia,MKD,0,1,0.877110456,0.022391913,0.100497631
Timor-Leste,TLS,0,1,0.937666965,0,0.062333035
Togo,TGO,0,1,0.999068821,0.000517819,0.000413361
Trinidad and Tobago,TTO,1,0,0.829246539,0.167922421,0.00283104
Tunisia,TUN,1,0,0.931174236,0.003680451,0.065145313
Turkey,TUR,1,0,0.842977328,0.010853312,0.146169361
Turkmenistan,TKM,0,1,1,0,0
Uganda,UGA,0,1,0.99962955,0.00037045,0
Ukraine,UKR,1,0,0.992408001,0.006864567,0.000727432
United Arab Emirates,ARE,1,0,0.892402984,0.087198851,0.020398165
United Kingdom,GBR,1,0,0.552749632,0.19561134,0.251639028
United Republic of Tanzania,TZA,0.039045085,0.960954915,0.932631081,0.056815765,0.010553154
United States of America,USA,1,0,0.46132425,0.4367809,0.10189485
Uruguay,URY,1,0,0.833221665,0.151091685,0.01568665
Uzbekistan,UZB,1,0,0.993762841,0.000926443,0.005310716
Vanuatu,VUT,1,0,0.995104623,0.004746644,0.000148733
Venezuela (Bolivarian Republic of),VEN,1,0,0.923507243,0.064604797,0.01188796
Viet Nam,VNM,1,0,0.99773921,0.00226079,0
Yemen,YEM,0,1,0.979222046,0.001884039,0.018893915
Zambia,ZMB,0,1,0.999551484,0.000441392,7.12E-06
Zimbabwe,ZWE,1,0,0.848736367,0.041361628,0.109902005
CALACA,CALACA,1,0,0.65973589,0.243640066,0.096624044
CANAME,CANAME,1,0,0.864925677,0.014628171,0.120446151
CEEAEU,CEEAEU,1,0,0.912925614,0.040986063,0.046088322
ESEASP,ESEASP,1,0,0.928464075,0.030648352,0.040887573
HIGHIN,HIGHIN,1,0,0.69384725,0.206452298,0.099700452
SOTRLA,SOTRLA,1,0,0.913782799,0.059557131,0.02666007
SUSAAF,SUSAAF,0.001304645,0.998695355,0.839041809,0.14074904,0.020209151
SOASIA,SOASIA,1,0,0.963630351,0.000507596,0.035862054
